date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,72.0,75.4,71.05,75.31,75.31,129100,28,USD,2.28,0.89,1.39,156.1798,17974000
2023-06-01,70.04,71.56,69.4,71.2,71.2,103300,29,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-31,69.6,71.92,68.87,70.08,70.08,101300,30,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-30,72.03,72.28,68.97,69.53,69.53,92900,31,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-26,71.69,72.78,71.25,72.13,72.13,70000,35,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-25,74.43,75.1,71.36,71.68,71.68,96800,36,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-24,76.11,76.68,73.21,74.59,74.59,96500,37,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-23,75.47,78.73,75.47,77.38,77.38,161500,38,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-22,74.65,76.76,74.61,75.34,75.34,95400,39,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-19,77.0,77.68,73.56,74.35,74.35,108700,42,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-18,78.71,78.71,75.45,76.9,76.9,100500,43,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-17,77.14,79.92,75.12,78.93,78.93,146400,44,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-16,76.83,77.66,75.47,77.14,77.14,64500,45,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-15,76.02,77.85,74.8,77.59,77.59,74400,46,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-12,77.9,77.9,74.81,75.65,75.65,58300,49,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-11,76.63,77.78,75.97,77.71,77.71,64000,50,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-10,78.67,79.02,76.6,77.59,77.59,82300,51,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-09,77.03,79.0,76.06,77.86,77.86,82400,52,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-08,79.61,79.73,75.76,77.45,77.45,81100,53,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-05,80.0,85.7,78.54,79.33,79.33,161300,56,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-04,74.59,76.96,73.65,76.71,76.71,79000,57,USD,2.28,0.89,1.39,156.1798,17974000
2023-05-03,75.17,77.04,75.09,75.43,75.43,65400,58,USD,2.28,0.89,1.39,156.1798,17974000
