date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,0.22,0.222,0.21,0.222,0.222,715500,28,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-06-01,0.203,0.219,0.2,0.212,0.212,823100,29,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-31,0.206,0.23,0.195,0.204,0.204,2558100,30,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-30,0.188,0.209,0.182,0.205,0.205,953700,31,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-26,0.191,0.198,0.166,0.183,0.183,1705900,35,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-25,0.203,0.21,0.184,0.187,0.187,555500,36,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-24,0.2,0.221,0.193,0.21,0.21,1807000,37,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-23,0.19,0.202,0.183,0.2,0.2,1449300,38,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-22,0.171,0.196,0.165,0.19,0.19,2330900,39,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-19,0.179,0.179,0.159,0.162,0.162,1919400,42,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-18,0.183,0.19,0.17,0.173,0.173,1809200,43,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-17,0.194,0.199,0.18,0.182,0.182,1546200,44,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-16,0.195,0.204,0.188,0.2,0.2,530300,45,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-15,0.19,0.2,0.18,0.2,0.2,596900,46,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-12,0.185,0.208,0.181,0.187,0.187,815100,49,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-11,0.208,0.216,0.185,0.208,0.208,771100,50,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-10,0.199,0.21,0.194,0.203,0.203,960600,51,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-09,0.212,0.215,0.186,0.193,0.193,702200,52,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-08,0.19,0.215,0.19,0.21,0.21,1333200,53,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-05,0.176,0.205,0.174,0.186,0.186,1562600,56,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-04,0.172,0.178,0.167,0.17,0.17,1189400,57,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-03,0.182,0.186,0.169,0.172,0.172,992300,58,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-02,0.19,0.195,0.179,0.182,0.182,731000,59,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-05-01,0.2,0.201,0.185,0.19,0.19,1332300,60,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-28,0.196,0.209,0.196,0.199,0.199,891500,63,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-27,0.205,0.214,0.195,0.208,0.208,653700,64,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-26,0.214,0.226,0.19,0.208,0.208,759200,65,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-25,0.209,0.236,0.197,0.213,0.213,1813200,66,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-24,0.21,0.213,0.193,0.209,0.209,1654100,67,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-21,0.224,0.229,0.2,0.203,0.203,2157500,70,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-20,0.246,0.25,0.22,0.224,0.224,1419300,71,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-19,0.268,0.268,0.23,0.243,0.243,2388400,72,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-18,0.3,0.31,0.251,0.26,0.26,3396000,73,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-17,0.247,0.61,0.24,0.32,0.32,26220400,74,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-14,0.241,0.26,0.23,0.237,0.237,597900,77,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-13,0.265,0.267,0.213,0.242,0.242,1401800,78,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-12,0.26,0.273,0.251,0.254,0.254,955700,79,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-11,0.249,0.256,0.241,0.251,0.251,440300,80,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-10,0.24,0.252,0.231,0.252,0.252,677400,81,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-06,0.26,0.261,0.238,0.242,0.242,761100,85,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-05,0.309,0.309,0.26,0.26,0.26,1139700,86,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-04,0.3,0.32,0.29,0.31,0.31,846200,87,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-04-03,0.305,0.32,0.28,0.284,0.284,955100,88,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-03-31,0.327,0.327,0.303,0.315,0.315,927700,91,USD,-0.16,-0.13,-0.03,-23.0769,165865900
2023-03-30,0.31,0.327,0.295,0.317,0.317,583500,92,USD,-0.15,-0.15,0,0,161205800
2023-03-29,0.32,0.324,0.28,0.294,0.294,911000,93,USD,-0.15,-0.15,0,0,161205800
2023-03-28,0.325,0.325,0.295,0.302,0.302,756600,94,USD,-0.15,-0.15,0,0,161205800
2023-03-27,0.322,0.33,0.29,0.311,0.311,818000,95,USD,-0.15,-0.15,0,0,161205800
2023-03-24,0.36,0.371,0.3,0.325,0.325,1475600,98,USD,-0.15,-0.15,0,0,161205800
2023-03-23,0.396,0.4,0.359,0.363,0.363,589700,99,USD,-0.15,-0.15,0,0,161205800
2023-03-22,0.403,0.407,0.37,0.377,0.377,535900,100,USD,-0.15,-0.15,0,0,161205800
2023-03-21,0.382,0.414,0.374,0.403,0.403,625900,101,USD,-0.15,-0.15,0,0,161205800
