date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,61.27,62.82,60.0,62.68,62.68,1092900,28,USD,0.23,0.25,-0.02,-8,93000000
2023-06-01,58.73,60.75,58.73,60.26,60.26,618600,29,USD,0.23,0.25,-0.02,-8,93000000
2023-05-31,57.44,58.74,56.01,58.29,58.29,810800,30,USD,0.23,0.25,-0.02,-8,93000000
2023-05-30,59.54,59.84,57.37,57.51,57.51,332000,31,USD,0.23,0.25,-0.02,-8,93000000
2023-05-26,59.22,59.8,58.65,59.56,59.56,241000,35,USD,0.23,0.25,-0.02,-8,93000000
2023-05-25,59.53,60.13,58.28,59.06,59.06,221800,36,USD,0.23,0.25,-0.02,-8,93000000
2023-05-24,60.36,60.36,58.5,59.53,59.53,330900,37,USD,0.23,0.25,-0.02,-8,93000000
2023-05-23,61.84,63.26,60.28,60.36,60.36,546000,38,USD,0.23,0.25,-0.02,-8,93000000
2023-05-22,62.7,63.04,61.91,62.2,62.2,528400,39,USD,0.23,0.25,-0.02,-8,93000000
2023-05-19,63.0,63.54,62.14,62.63,62.63,674900,42,USD,0.23,0.25,-0.02,-8,93000000
2023-05-18,61.55,63.0,61.1,62.87,62.87,555700,43,USD,0.23,0.25,-0.02,-8,93000000
2023-05-17,60.65,62.31,60.35,61.84,61.84,364300,44,USD,0.23,0.25,-0.02,-8,93000000
2023-05-16,61.88,62.09,60.12,60.2,60.2,484800,45,USD,0.23,0.25,-0.02,-8,93000000
2023-05-15,61.79,62.85,61.33,62.43,62.43,441400,46,USD,0.23,0.25,-0.02,-8,93000000
2023-05-12,61.3,61.9,60.75,61.76,61.76,336800,49,USD,0.23,0.25,-0.02,-8,93000000
2023-05-11,60.56,61.95,60.23,60.94,60.94,391600,50,USD,0.23,0.25,-0.02,-8,93000000
2023-05-10,62.5,62.5,59.08,60.64,60.64,555300,51,USD,0.23,0.25,-0.02,-8,93000000
2023-05-09,58.75,60.19,58.71,59.83,59.83,366100,52,USD,0.23,0.25,-0.02,-8,93000000
2023-05-08,59.69,60.46,57.96,59.18,59.18,299100,53,USD,0.23,0.25,-0.02,-8,93000000
2023-05-05,59.03,60.04,57.83,59.5,59.5,344100,56,USD,0.23,0.25,-0.02,-8,93000000
2023-05-04,59.26,59.76,57.4,57.78,57.78,274800,57,USD,0.23,0.25,-0.02,-8,93000000
2023-05-03,60.1,60.92,59.28,59.43,59.43,374500,58,USD,0.23,0.25,-0.02,-8,93000000
2023-05-02,60.79,61.07,58.56,59.92,59.92,320300,59,USD,0.23,0.25,-0.02,-8,93000000
2023-05-01,60.32,61.72,60.32,61.37,61.37,252200,60,USD,0.23,0.25,-0.02,-8,93000000
2023-04-28,59.24,60.48,59.24,60.29,60.29,300100,63,USD,0.23,0.25,-0.02,-8,93000000
2023-04-27,58.11,59.74,57.7,59.55,59.55,252600,64,USD,0.23,0.25,-0.02,-8,93000000
2023-04-26,58.18,59.04,57.23,57.5,57.5,382300,65,USD,0.23,0.25,-0.02,-8,93000000
2023-04-25,59.92,59.92,58.43,58.48,58.48,340500,66,USD,0.23,0.25,-0.02,-8,93000000
2023-04-24,60.48,61.03,59.49,59.97,59.97,226100,67,USD,0.23,0.25,-0.02,-8,93000000
2023-04-21,59.82,60.83,59.68,60.72,60.72,260500,70,USD,0.23,0.25,-0.02,-8,93000000
2023-04-20,61.38,61.5,59.48,59.96,59.96,371400,71,USD,0.23,0.25,-0.02,-8,93000000
2023-04-19,61.3,62.1,60.82,61.84,61.84,244600,72,USD,0.23,0.25,-0.02,-8,93000000
2023-04-18,61.94,62.4,61.12,61.54,61.54,233700,73,USD,0.23,0.25,-0.02,-8,93000000
2023-04-17,60.89,61.81,60.89,61.48,61.48,212100,74,USD,0.23,0.25,-0.02,-8,93000000
2023-04-14,60.36,61.46,60.04,61.07,61.07,259000,77,USD,0.23,0.25,-0.02,-8,93000000
2023-04-13,60.13,60.9,59.96,60.6,60.6,235200,78,USD,0.23,0.25,-0.02,-8,93000000
2023-04-12,60.8,61.05,59.52,59.56,59.56,210200,79,USD,0.23,0.25,-0.02,-8,93000000
2023-04-11,60.14,61.05,59.63,60.22,60.22,249380,80,USD,0.23,0.25,-0.02,-8,93000000
2023-04-10,58.81,60.53,58.7,60.11,60.11,349442,81,USD,0.23,0.25,-0.02,-8,93000000
2023-04-06,58.98,59.36,58.09,59.27,59.27,225900,85,USD,0.23,0.25,-0.02,-8,93000000
