date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,180.32,184.08,180.165,183.0,182.6942,290768,28,USD,2.17,2.07,0.1,4.8309,35982000
2023-06-01,175.71,180.37,174.79,179.54,179.24,304826,29,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-31,177.8,177.8,174.26,175.38,175.0869,306320,30,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-30,175.78,178.76,174.9,178.45,178.1518,252374,31,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-26,176.28,177.53,174.68,176.08,175.7858,222930,35,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-25,172.02,175.76,170.505,175.55,175.2567,219950,36,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-24,171.84,174.8975,169.155,172.25,171.9622,441699,37,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-23,174.75,176.045,174.165,175.06,174.7675,190756,38,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-22,177.83,178.84,173.83,175.03,174.7375,240554,39,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-19,179.62,179.81,175.94,177.39,177.0936,186227,42,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-18,177.95,179.42,175.78,178.6,178.3016,173859,43,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-17,175.67,178.03,174.88,177.91,177.6127,162426,44,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-16,176.21,176.46,173.93,175.4,175.1069,179082,45,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-15,177.1,178.49,175.59,177.57,177.2733,155639,46,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-12,177.1,178.11,176.04,176.85,176.5545,121120,49,USD,2.17,2.07,0.1,4.8309,35982000
2023-05-11,176.73,177.495,175.0,176.86,176.5645,130142,50,USD,2.17,2.07,0.1,4.8309,35982000
