date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2022-09-30,0.728,0.78,0.71,0.71,0.71,131500,0,USD,-0.04,-0.04,0,0,84710000
2022-09-29,0.683,0.74,0.683,0.731,0.731,123500,1,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-28,0.718,0.77,0.657,0.765,0.765,159500,2,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-27,0.73,0.75,0.654,0.741,0.741,291600,3,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-26,0.75,0.78,0.665,0.71,0.71,306800,4,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-23,0.78,0.79,0.733,0.75,0.75,259900,7,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-22,0.819,0.844,0.788,0.817,0.817,129500,8,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-21,0.84,0.902,0.82,0.823,0.823,128800,9,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-20,0.884,0.918,0.8,0.83,0.83,150500,10,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-19,0.951,0.951,0.85,0.9,0.9,237000,11,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-16,0.985,1.04,0.95,0.95,0.95,100300,14,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-15,1.03,1.08,1.0,1.01,1.01,134900,15,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-14,1.12,1.12,1.03,1.03,1.03,358500,16,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-13,1.09,1.16,1.02,1.13,1.13,442300,17,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-12,1.1,1.18,1.06,1.09,1.09,287600,18,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-09,1.07,1.18,1.04,1.06,1.06,283300,21,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-08,1.12,1.16,0.99,1.07,1.07,215700,22,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-07,1.09,1.15,1.02,1.15,1.15,240500,23,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-06,1.01,1.08,0.968,1.07,1.07,214600,24,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-02,0.93,1.02,0.925,0.998,0.998,234600,28,USD,0.02,-0.07,0.09,128.5714,82126600
2022-09-01,0.97,1.0,0.901,0.914,0.914,132500,29,USD,0.02,-0.07,0.09,128.5714,82126600
2022-08-31,0.884,1.05,0.884,1.0,1.0,178600,30,USD,0.02,-0.07,0.09,128.5714,82126600
2022-08-30,0.964,0.99,0.9,0.901,0.901,102000,31,USD,0.02,-0.07,0.09,128.5714,82126600
