date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,39.22,40.57,39.03,40.48,40.2752,105621,28,USD,0.65,0.52,0.13,25,31179000
2023-06-01,38.61,38.8,37.99,38.75,38.5539,65425,29,USD,0.65,0.52,0.13,25,31179000
2023-05-31,39.53,39.53,38.18,38.5,38.3052,162526,30,USD,0.65,0.52,0.13,25,31179000
2023-05-30,39.12,39.67,39.01,39.51,39.3101,75832,31,USD,0.65,0.52,0.13,25,31179000
2023-05-26,38.82,39.6,38.39,39.45,39.2504,73254,35,USD,0.65,0.52,0.13,25,31179000
2023-05-25,39.52,39.61,38.04,38.79,38.5937,75343,36,USD,0.65,0.52,0.13,25,31179000
2023-05-24,39.93,39.99,39.01,39.77,39.5687,139166,37,USD,0.65,0.52,0.13,25,31179000
2023-05-23,39.06,40.4379,38.675,40.13,39.9269,95816,38,USD,0.65,0.52,0.13,25,31179000
2023-05-22,39.51,39.68,38.975,39.295,39.0961,64849,39,USD,0.65,0.52,0.13,25,31179000
2023-05-19,39.68,39.75,38.83,39.53,39.33,128554,42,USD,0.65,0.52,0.13,25,31179000
2023-05-18,38.38,39.47,38.31,39.25,39.0514,73498,43,USD,0.65,0.52,0.13,25,31179000
2023-05-17,37.77,38.63,37.0,38.42,38.2256,67163,44,USD,0.65,0.52,0.13,25,31179000
2023-05-16,37.83,37.9,37.16,37.44,37.2505,61516,45,USD,0.65,0.52,0.13,25,31179000
2023-05-15,37.75,38.18,37.67,38.04,37.8475,46318,46,USD,0.65,0.52,0.13,25,31179000
2023-05-12,37.64,37.98,37.255,37.85,37.6585,37317,49,USD,0.65,0.52,0.13,25,31179000
2023-05-11,37.31,37.73,37.03,37.66,37.4694,42371,50,USD,0.65,0.52,0.13,25,31179000
2023-05-10,37.84,37.96,37.33,37.71,37.5192,60008,51,USD,0.65,0.52,0.13,25,31179000
2023-05-09,37.22,37.54,36.825,37.36,37.1709,50106,52,USD,0.65,0.52,0.13,25,31179000
2023-05-08,38.07,38.07,37.25,37.44,37.2505,43985,53,USD,0.65,0.52,0.13,25,31179000
2023-05-05,37.28,38.195,37.28,38.08,37.8873,86785,56,USD,0.65,0.52,0.13,25,31179000
2023-05-04,37.42,37.48,36.345,37.05,36.6337,141017,57,USD,0.65,0.52,0.13,25,31179000
2023-05-03,38.9,39.705,37.6,37.68,37.2566,163870,58,USD,0.65,0.52,0.13,25,31179000
2023-05-02,39.25,39.62,38.4831,38.96,38.5222,123435,59,USD,0.65,0.52,0.13,25,31179000
2023-05-01,37.84,40.49,37.7,39.54,39.0957,137331,60,USD,0.65,0.52,0.13,25,31179000
2023-04-28,36.98,38.65,36.7667,37.87,37.4445,178516,63,USD,0.65,0.52,0.13,25,31179000
2023-04-27,35.39,36.18,35.39,35.87,35.4669,75622,64,USD,0.65,0.52,0.13,25,31179000
2023-04-26,35.97,36.055,35.18,35.36,34.9627,86532,65,USD,0.65,0.52,0.13,25,31179000
2023-04-25,37.45,37.66,36.01,36.2,35.7932,123758,66,USD,0.65,0.52,0.13,25,31179000
2023-04-24,38.05,38.43,37.67,37.72,37.2961,71332,67,USD,0.65,0.52,0.13,25,31179000
2023-04-21,38.59,38.59,37.585,38.12,37.6916,62424,70,USD,0.65,0.52,0.13,25,31179000
2023-04-20,38.12,38.76,38.12,38.67,38.2355,88605,71,USD,0.65,0.52,0.13,25,31179000
2023-04-19,38.01,38.52,37.9,38.46,38.0278,84774,72,USD,0.65,0.52,0.13,25,31179000
2023-04-18,37.74,38.37,37.5525,38.23,37.8004,145804,73,USD,0.65,0.52,0.13,25,31179000
2023-04-17,37.11,37.87,37.06,37.77,37.3456,65619,74,USD,0.65,0.52,0.13,25,31179000
2023-04-14,37.67,38.06,36.84,37.1,36.6831,104158,77,USD,0.65,0.52,0.13,25,31179000
2023-04-13,36.93,37.64,36.65,37.44,37.0193,117264,78,USD,0.65,0.52,0.13,25,31179000
2023-04-12,36.77,37.175,36.77,36.96,36.5447,60531,79,USD,0.65,0.52,0.13,25,31179000
2023-04-11,36.2,36.75,36.04,36.56,36.1492,76627,80,USD,0.65,0.52,0.13,25,31179000
2023-04-10,35.28,36.15,35.28,36.04,35.635,100653,81,USD,0.65,0.52,0.13,25,31179000
2023-04-06,35.25,35.7,35.07,35.36,34.9627,65015,85,USD,0.65,0.52,0.13,25,31179000
2023-04-05,35.19,35.29,34.76,35.11,34.7155,78689,86,USD,0.65,0.52,0.13,25,31179000
2023-04-04,36.03,36.1,35.1,35.35,34.9528,103884,87,USD,0.65,0.52,0.13,25,31179000
2023-04-03,36.2,36.38,35.68,35.89,35.4867,103415,88,USD,0.65,0.52,0.13,25,31179000
2023-03-31,35.93,36.145,35.69,36.06,35.6548,107550,91,USD,0.65,0.52,0.13,25,31179000
2023-03-30,35.29,36.25,35.29,35.64,35.2395,76930,92,USD,0.53,0.54,-0.01,-1.8519,30953000
2023-03-29,35.68,35.79,35.03,35.18,34.7847,66286,93,USD,0.53,0.54,-0.01,-1.8519,30953000
2023-03-28,34.98,35.54,34.84,35.48,35.0813,122917,94,USD,0.53,0.54,-0.01,-1.8519,30953000
2023-03-27,35.02,35.26,34.81,35.05,34.6561,80626,95,USD,0.53,0.54,-0.01,-1.8519,30953000
2023-03-24,34.15,34.875,34.15,34.73,34.3397,94004,98,USD,0.53,0.54,-0.01,-1.8519,30953000
