date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,16.86,17.92,16.23,17.78,17.6322,38900,28,USD,0.62,0.5,0.12,24,25405900
2023-06-01,16.43,16.79,16.355,16.52,16.3827,14900,29,USD,0.62,0.5,0.12,24,25405900
2023-05-31,16.73,16.74,16.1,16.43,16.2934,38200,30,USD,0.62,0.5,0.12,24,25405900
2023-05-30,16.81,16.893,16.59,16.79,16.6504,13300,31,USD,0.62,0.5,0.12,24,25405900
2023-05-26,16.66,16.85,15.79,16.67,16.5314,13200,35,USD,0.62,0.5,0.12,24,25405900
2023-05-25,16.78,16.901,16.32,16.58,16.4422,18600,36,USD,0.62,0.5,0.12,24,25405900
2023-05-24,16.59,16.95,16.37,16.7,16.5612,39000,37,USD,0.62,0.5,0.12,24,25405900
2023-05-23,16.25,16.94,16.25,16.73,16.5909,19600,38,USD,0.62,0.5,0.12,24,25405900
2023-05-22,16.17,16.33,15.85,16.25,16.1149,19100,39,USD,0.62,0.5,0.12,24,25405900
2023-05-19,17.01,17.01,15.94,16.03,15.8967,27600,42,USD,0.62,0.5,0.12,24,25405900
2023-05-18,16.47,16.79,16.19,16.64,16.5017,27200,43,USD,0.62,0.5,0.12,24,25405900
2023-05-17,15.85,16.52,15.84,16.42,16.2835,31800,44,USD,0.62,0.5,0.12,24,25405900
2023-05-16,15.69,15.88,15.27,15.7,15.5695,30400,45,USD,0.62,0.5,0.12,24,25405900
2023-05-15,15.26,15.7,15.02,15.63,15.5001,20000,46,USD,0.62,0.5,0.12,24,25405900
2023-05-12,15.06,15.37,14.895,15.3,15.1728,24300,49,USD,0.62,0.5,0.12,24,25405900
2023-05-11,14.79,15.02,14.51,14.95,14.8257,20700,50,USD,0.62,0.5,0.12,24,25405900
2023-05-10,15.03,15.03,14.65,14.94,14.8158,27700,51,USD,0.62,0.5,0.12,24,25405900
2023-05-09,14.72,15.14,14.48,14.75,14.6274,22500,52,USD,0.62,0.5,0.12,24,25405900
2023-05-08,15.18,15.31,14.76,14.76,14.6373,32800,53,USD,0.62,0.5,0.12,24,25405900
2023-05-05,14.63,15.18,14.3,14.96,14.8356,43100,56,USD,0.62,0.5,0.12,24,25405900
2023-05-04,14.8,14.8,13.1,14.3,14.1811,69200,57,USD,0.62,0.5,0.12,24,25405900
2023-05-03,15.04,15.51,14.84,14.93,14.8059,36100,58,USD,0.62,0.5,0.12,24,25405900
2023-05-02,15.87,15.87,14.64,14.96,14.8356,75200,59,USD,0.62,0.5,0.12,24,25405900
2023-05-01,16.35,16.35,15.5,15.93,15.6191,70700,60,USD,0.62,0.5,0.12,24,25405900
2023-04-28,16.2,16.85,16.19,16.35,16.0309,21000,63,USD,0.62,0.5,0.12,24,25405900
2023-04-27,16.05,16.4,15.89,16.21,15.8936,22100,64,USD,0.62,0.5,0.12,24,25405900
2023-04-26,15.8,16.02,15.7,15.9,15.5896,47300,65,USD,0.62,0.5,0.12,24,25405900
2023-04-25,15.99,16.285,15.79,15.8,15.4916,10800,66,USD,0.62,0.5,0.12,24,25405900
2023-04-24,16.2,16.266,15.88,16.12,15.8053,17200,67,USD,0.62,0.5,0.12,24,25405900
2023-04-21,16.14,16.31,15.8,16.3,15.9818,27100,70,USD,0.62,0.5,0.12,24,25405900
2023-04-20,16.25,16.436,16.02,16.23,15.9132,20200,71,USD,0.62,0.5,0.12,24,25405900
2023-04-19,16.31,16.79,16.31,16.54,16.2171,12600,72,USD,0.62,0.5,0.12,24,25405900
2023-04-18,16.6,16.698,16.19,16.26,15.9426,29400,73,USD,0.62,0.5,0.12,24,25405900
2023-04-17,16.0,16.73,15.99,16.45,16.1289,16900,74,USD,0.62,0.5,0.12,24,25405900
2023-04-14,16.55,16.55,15.8,15.97,15.6583,24400,77,USD,0.62,0.5,0.12,24,25405900
2023-04-13,16.3,16.455,16.3,16.36,16.0407,17300,78,USD,0.62,0.5,0.12,24,25405900
2023-04-12,16.79,16.79,16.31,16.42,16.0995,26800,79,USD,0.62,0.5,0.12,24,25405900
2023-04-11,16.69,16.93,16.5,16.59,16.2662,25800,80,USD,0.62,0.5,0.12,24,25405900
2023-04-10,16.5,16.7,16.5,16.55,16.227,36600,81,USD,0.62,0.5,0.12,24,25405900
2023-04-06,15.9,16.26,15.66,16.23,15.9132,28000,85,USD,0.62,0.5,0.12,24,25405900
2023-04-05,16.24,16.3,15.94,15.95,15.6387,40900,86,USD,0.62,0.5,0.12,24,25405900
2023-04-04,17.13,17.13,16.17,16.36,16.0407,30000,87,USD,0.62,0.5,0.12,24,25405900
2023-04-03,17.17,17.17,16.58,17.05,16.7172,46600,88,USD,0.62,0.5,0.12,24,25405900
2023-03-31,16.75,17.47,16.6,17.09,16.7564,97000,91,USD,0.62,0.5,0.12,24,25405900
2023-03-30,17.175,17.175,16.34,16.6,16.276,11600,92,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-29,17.13,17.23,16.8,17.06,16.727,28500,93,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-28,17.06,17.235,16.82,16.92,16.5897,17600,94,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-27,17.15,17.4,17.03,17.13,16.7956,20300,95,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-24,16.3,16.93,16.248,16.87,16.5407,26800,98,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-23,17.14,17.14,16.25,16.48,16.1583,51000,99,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-22,17.62,17.83,16.93,16.95,16.6191,32400,100,USD,0.52,0.6,-0.08,-13.3333,25560100
2023-03-21,17.21,17.67,17.116,17.57,17.227,28900,101,USD,0.52,0.6,-0.08,-13.3333,25560100
