date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,5.39,5.6308,5.31,5.37,5.1782,8575,28,USD,0.02,,,,11428000
2023-06-01,5.51,5.52,5.34,5.38,5.1879,6696,29,USD,0.02,,,,11428000
2023-05-31,5.69,5.69,5.5,5.5,5.3036,12207,30,USD,0.02,,,,11428000
2023-05-30,5.5,5.748,5.5,5.61,5.4096,15739,31,USD,0.02,,,,11428000
2023-05-26,5.59,5.66,5.5,5.52,5.3229,9829,35,USD,0.02,,,,11428000
2023-05-25,5.6,5.6,5.4101,5.43,5.2361,4926,36,USD,0.02,,,,11428000
2023-05-24,5.44,5.6,5.3677,5.5903,5.3906,11423,37,USD,0.02,,,,11428000
2023-05-23,5.27,5.5,5.27,5.44,5.2457,10071,38,USD,0.02,,,,11428000
2023-05-22,5.22,5.25,5.12,5.25,5.0625,10112,39,USD,0.02,,,,11428000
2023-05-19,5.21,5.21,5.07,5.18,4.995,13706,42,USD,0.02,,,,11428000
2023-05-18,5.06,5.15,5.06,5.09,4.9082,4441,43,USD,0.02,,,,11428000
2023-05-17,5.11,5.22,4.95,5.21,5.0239,17498,44,USD,0.02,,,,11428000
2023-05-16,5.4,5.4718,5.17,5.19,5.0046,11456,45,USD,0.02,,,,11428000
2023-05-15,5.36,5.6,5.27,5.39,5.1975,24965,46,USD,0.02,,,,11428000
2023-05-12,5.77,5.9,5.67,5.6722,5.2768,29074,49,USD,0.02,,,,11428000
2023-05-11,5.75,5.78,5.6104,5.7496,5.3488,6227,50,USD,0.02,,,,11428000
2023-05-10,5.95,5.96,5.4222,5.75,5.3491,31574,51,USD,0.02,,,,11428000
2023-05-09,5.84,5.89,5.73,5.86,5.4515,7948,52,USD,0.02,,,,11428000
2023-05-08,6.01,6.0299,5.73,5.83,5.4236,18110,53,USD,0.02,,,,11428000
2023-05-05,5.43,5.96,5.43,5.94,5.5259,16113,56,USD,0.02,,,,11428000
2023-05-04,5.39,5.39,4.61,5.236,4.871,39711,57,USD,0.02,,,,11428000
2023-05-03,6.2,6.2,5.425,5.46,5.0794,53711,58,USD,0.02,,,,11428000
2023-05-02,5.9891,6.11,5.7028,6.09,5.6654,9913,59,USD,0.02,,,,11428000
2023-05-01,6.16,6.19,5.8,6.01,5.591,25082,60,USD,0.02,,,,11428000
2023-04-28,6.08,6.2009,6.08,6.167,5.7371,8536,63,USD,0.02,,,,11428000
2023-04-27,6.1,6.25,6.0262,6.19,5.7585,14905,64,USD,0.02,,,,11428000
2023-04-26,5.82,6.2,5.82,6.0102,5.5912,11727,65,USD,0.02,,,,11428000
2023-04-25,5.86,5.905,5.85,5.85,5.4422,4801,66,USD,0.02,,,,11428000
2023-04-24,5.94,5.94,5.7727,5.92,5.5073,13642,67,USD,0.02,,,,11428000
2023-04-21,5.9239,5.9499,5.7509,5.88,5.4701,14725,70,USD,0.02,,,,11428000
2023-04-20,5.96,5.98,5.67,5.88,5.4701,8249,71,USD,0.02,,,,11428000
2023-04-19,5.56,5.98,5.56,5.98,5.5631,9702,72,USD,0.02,,,,11428000
2023-04-18,5.6,5.65,5.5,5.65,5.2561,8714,73,USD,0.02,,,,11428000
2023-04-17,5.49,5.6825,5.49,5.62,5.2282,2829,74,USD,0.02,,,,11428000
2023-04-14,5.52,5.55,5.4009,5.49,5.1073,9980,77,USD,0.02,,,,11428000
2023-04-13,5.602,5.68,5.53,5.53,5.1445,9888,78,USD,0.02,,,,11428000
