date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,6.97,7.37,6.86,7.31,7.31,3045100,0,USD,-0.07,-0.08,0.01,12.5,152416000
2023-03-30,7.05,7.06,6.905,6.95,6.95,4449200,1,USD,-0.06,-0.08,0.02,25,152416000
2023-03-29,6.59,6.94,6.43,6.9,6.9,1687700,2,USD,-0.06,-0.08,0.02,25,152416000
2023-03-28,6.85,6.85,6.26,6.46,6.46,2369600,3,USD,-0.06,-0.08,0.02,25,152416000
2023-03-27,6.55,6.928,6.38,6.87,6.87,1665000,4,USD,-0.06,-0.08,0.02,25,152416000
2023-03-24,6.7,6.73,6.24,6.5,6.5,2371000,7,USD,-0.06,-0.08,0.02,25,152416000
2023-03-23,7.03,7.1,6.61,6.88,6.88,1581100,8,USD,-0.06,-0.08,0.02,25,152416000
2023-03-22,7.06,7.28,6.82,6.82,6.82,1479500,9,USD,-0.06,-0.08,0.02,25,152416000
2023-03-21,6.49,7.13,6.49,7.1,7.1,1865400,10,USD,-0.06,-0.08,0.02,25,152416000
2023-03-20,6.33,6.465,6.24,6.45,6.45,1063000,11,USD,-0.06,-0.08,0.02,25,152416000
2023-03-17,6.55,6.69,6.299,6.39,6.39,2658700,14,USD,-0.06,-0.08,0.02,25,152416000
2023-03-16,6.06,6.75,5.97,6.665,6.665,1673800,15,USD,-0.06,-0.08,0.02,25,152416000
2023-03-15,6.3,6.35,5.84,6.04,6.04,2197200,16,USD,-0.06,-0.08,0.02,25,152416000
2023-03-14,6.47,6.645,6.27,6.49,6.49,1471600,17,USD,-0.06,-0.08,0.02,25,152416000
2023-03-13,6.04,6.425,5.821,6.38,6.38,1600400,18,USD,-0.06,-0.08,0.02,25,152416000
2023-03-10,6.34,6.55,6.0,6.17,6.17,1687800,21,USD,-0.06,-0.08,0.02,25,152416000
2023-03-09,6.63,6.81,6.32,6.33,6.33,1725200,22,USD,-0.06,-0.08,0.02,25,152416000
2023-03-08,6.45,6.78,6.38,6.75,6.75,1589000,23,USD,-0.06,-0.08,0.02,25,152416000
2023-03-07,6.12,6.675,6.12,6.32,6.32,2244500,24,USD,-0.06,-0.08,0.02,25,152416000
2023-03-06,6.43,6.75,6.27,6.31,6.31,2215700,25,USD,-0.06,-0.08,0.02,25,152416000
2023-03-03,5.82,6.455,5.82,6.32,6.32,1463400,28,USD,-0.06,-0.08,0.02,25,152416000
2023-03-02,5.92,6.145,5.53,6.07,6.07,2271600,29,USD,-0.06,-0.08,0.02,25,152416000
