date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,5.82,5.85,5.54,5.67,5.67,112100,28,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-06-01,5.18,5.83,5.18,5.75,5.75,183300,29,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-31,5.37,5.485,5.08,5.17,5.17,142600,30,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-30,5.25,5.61,5.02,5.37,5.37,109800,31,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-26,5.31,5.556,5.22,5.25,5.25,116900,35,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-25,5.57,5.66,5.25,5.39,5.39,257200,36,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-24,5.54,5.855,5.262,5.57,5.57,425100,37,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-23,6.18,6.56,5.14,5.55,5.55,275800,38,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-22,6.89,7.1,6.24,6.24,6.24,149500,39,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-19,6.7,7.26,6.7,6.85,6.85,158400,42,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-18,6.81,7.005,6.535,6.7,6.7,163700,43,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-17,6.34,7.25,6.34,6.95,6.95,168900,44,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-16,6.51,6.67,6.3,6.34,6.34,89900,45,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-15,7.03,7.16,6.26,6.69,6.69,86000,46,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-12,6.9,7.24,6.8,6.97,6.97,133000,49,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-11,6.71,7.15,6.476,6.8,6.8,109500,50,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-10,7.02,7.45,6.0,6.64,6.64,247000,51,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-09,6.57,7.42,5.92,7.27,7.27,194200,52,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-08,6.45,6.84,6.33,6.57,6.57,232900,53,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-05,6.64,6.899,6.44,6.66,6.66,238600,56,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-04,6.02,6.58,5.87,6.35,6.35,272000,57,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-03,5.37,6.08,5.16,5.98,5.98,392800,58,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-02,5.25,5.59,5.0,5.47,5.47,295200,59,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-05-01,4.75,5.605,4.6,5.43,5.43,296800,60,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-28,4.63,4.926,4.37,4.79,4.79,231200,63,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-27,4.35,4.66,4.26,4.63,4.63,66500,64,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-26,4.0,4.435,3.93,4.34,4.34,91000,65,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-25,4.01,4.11,3.95,4.08,4.08,99400,66,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-24,4.16,4.24,4.03,4.04,4.04,24500,67,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-21,4.09,4.19,3.86,4.15,4.15,100400,70,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-20,3.93,4.2,3.85,4.12,4.12,67600,71,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-19,3.64,4.105,3.64,4.0,4.0,124200,72,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-18,3.74,3.92,3.55,3.7,3.7,273000,73,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-17,3.63,3.85,3.55,3.7,3.7,118600,74,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-14,3.89,3.93,3.55,3.66,3.66,85300,77,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-13,3.54,3.98,3.53,3.79,3.79,566600,78,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-12,3.35,3.52,3.33,3.52,3.52,322500,79,USD,-0.7,-0.66,-0.04,-6.0606,40354500
2023-04-11,3.37,3.445,3.21,3.3,3.3,131700,80,USD,-0.7,-0.66,-0.04,-6.0606,40354500
