date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,896.0,903.13,891.38,895.34,895.34,542400,28,USD,8.28,8,0.28,3.5,62398000
2023-06-01,903.31,909.5,892.4,895.28,895.28,502600,29,USD,8.28,8,0.28,3.5,62398000
2023-05-31,886.17,908.18,873.78,903.31,903.31,1186700,30,USD,8.28,8,0.28,3.5,62398000
2023-05-30,919.87,928.58,915.24,928.08,928.08,396200,31,USD,8.28,8,0.28,3.5,62398000
2023-05-26,933.46,935.3,921.77,923.0,923.0,427500,35,USD,8.28,8,0.28,3.5,62398000
2023-05-25,920.99,939.54,916.77,935.02,935.02,466000,36,USD,8.28,8,0.28,3.5,62398000
2023-05-24,918.64,933.42,916.06,928.94,928.94,498900,37,USD,8.28,8,0.28,3.5,62398000
2023-05-23,918.88,928.1,905.46,911.99,911.99,775300,38,USD,8.28,8,0.28,3.5,62398000
2023-05-22,958.7,960.0,925.87,928.14,928.14,460900,39,USD,8.28,8,0.28,3.5,62398000
2023-05-19,942.49,954.84,939.1,954.3,954.3,492200,42,USD,8.28,8,0.28,3.5,62398000
2023-05-18,933.65,942.59,930.07,941.8,941.8,347400,43,USD,8.28,8,0.28,3.5,62398000
2023-05-17,935.71,943.94,932.49,939.43,939.43,446900,44,USD,8.28,8,0.28,3.5,62398000
2023-05-16,939.2,946.86,936.08,937.55,937.55,370800,45,USD,8.28,8,0.28,3.5,62398000
2023-05-15,958.86,962.1,939.26,945.28,945.28,527100,46,USD,8.28,8,0.28,3.5,62398000
2023-05-12,958.9,964.58,952.47,962.1,962.1,343000,49,USD,8.28,8,0.28,3.5,62398000
2023-05-11,955.1,958.64,950.08,958.26,958.26,266500,50,USD,8.28,8,0.28,3.5,62398000
2023-05-10,953.33,961.12,944.18,954.77,954.77,350900,51,USD,8.28,8,0.28,3.5,62398000
2023-05-09,947.34,954.44,946.48,953.46,953.46,343400,52,USD,8.28,8,0.28,3.5,62398000
2023-05-08,939.79,947.15,934.71,946.64,946.64,355200,53,USD,8.28,8,0.28,3.5,62398000
2023-05-05,931.4,942.76,931.4,940.78,940.78,269900,56,USD,8.28,8,0.28,3.5,62398000
2023-05-04,935.88,939.57,927.11,933.62,933.62,297700,57,USD,8.28,8,0.28,3.5,62398000
2023-05-03,936.52,941.87,928.4,931.67,931.67,527200,58,USD,8.28,8,0.28,3.5,62398000
2023-05-02,928.98,937.24,919.3,936.52,936.52,570400,59,USD,8.28,8,0.28,3.5,62398000
2023-05-01,917.75,929.77,914.85,929.6,929.6,387900,60,USD,8.28,8,0.28,3.5,62398000
2023-04-28,916.37,922.8,909.32,917.31,917.31,355700,63,USD,8.28,8,0.28,3.5,62398000
2023-04-27,883.96,918.64,883.24,915.67,915.67,567700,64,USD,8.28,8,0.28,3.5,62398000
2023-04-26,888.09,901.19,885.32,894.2,894.2,524300,65,USD,8.28,8,0.28,3.5,62398000
2023-04-25,904.47,906.94,896.78,897.76,897.76,312400,66,USD,8.28,8,0.28,3.5,62398000
2023-04-24,903.81,907.33,898.28,907.0,907.0,318100,67,USD,8.28,8,0.28,3.5,62398000
2023-04-21,907.4,912.0,902.82,903.81,903.81,273900,70,USD,8.28,8,0.28,3.5,62398000
2023-04-20,898.55,909.13,897.59,905.36,905.36,430500,71,USD,8.28,8,0.28,3.5,62398000
2023-04-19,903.33,908.54,897.65,899.14,899.14,343800,72,USD,8.28,8,0.28,3.5,62398000
2023-04-18,899.76,910.57,894.52,909.92,909.92,301100,73,USD,8.28,8,0.28,3.5,62398000
2023-04-17,898.21,904.55,892.54,897.28,897.28,337000,74,USD,8.28,8,0.28,3.5,62398000
2023-04-14,885.27,896.17,885.27,892.27,892.27,237600,77,USD,8.28,8,0.28,3.5,62398000
2023-04-13,880.36,889.99,874.64,887.95,887.95,306500,78,USD,8.28,8,0.28,3.5,62398000
2023-04-12,874.32,882.13,872.01,877.35,877.35,291100,79,USD,8.28,8,0.28,3.5,62398000
2023-04-11,875.25,878.24,869.87,871.04,871.04,320700,80,USD,8.28,8,0.28,3.5,62398000
2023-04-10,860.03,870.68,859.79,869.75,869.75,333000,81,USD,8.28,8,0.28,3.5,62398000
2023-04-06,856.02,864.31,855.88,861.13,861.13,251100,85,USD,8.28,8,0.28,3.5,62398000
2023-04-05,864.18,868.21,855.24,858.35,858.35,360400,86,USD,8.28,8,0.28,3.5,62398000
2023-04-04,866.46,867.46,855.41,864.44,864.44,364700,87,USD,8.28,8,0.28,3.5,62398000
2023-04-03,851.67,869.65,851.22,867.95,867.95,352500,88,USD,8.28,8,0.28,3.5,62398000
2023-03-31,843.1,850.0,842.88,848.98,848.98,404400,91,USD,8.28,8,0.28,3.5,62398000
2023-03-30,833.89,842.76,833.32,841.5,841.5,292100,92,USD,8.37,7.75,0.62,8,63160000
2023-03-29,829.7,832.09,821.62,832.08,832.08,331900,93,USD,8.37,7.75,0.62,8,63160000
2023-03-28,819.7,832.18,819.7,828.85,828.85,307900,94,USD,8.37,7.75,0.62,8,63160000
2023-03-27,811.32,821.72,811.18,819.04,819.04,378800,95,USD,8.37,7.75,0.62,8,63160000
