date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,5.25,5.26,5.21,5.23,4.9276,1303982,0,USD,0.22,0.23,-0.01,-4.3478,170500000
2023-03-30,5.23,5.26,5.21,5.23,4.9276,615401,1,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-29,5.19,5.245,5.18,5.19,4.89,616084,2,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-28,5.13,5.205,5.11,5.18,4.8805,475925,3,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-27,5.15,5.19,5.09,5.1,4.8052,632238,4,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-24,5.04,5.12,5.02,5.12,4.824,593170,7,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-23,5.15,5.18,5.02,5.04,4.7486,1000022,8,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-22,5.13,5.23,5.08,5.1,4.8052,1110021,9,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-21,5.23,5.24,5.12,5.13,4.8334,856677,10,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-20,5.09,5.23,5.0804,5.17,4.8711,1115511,11,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-17,5.16,5.1696,5.05,5.06,4.7675,867680,14,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-16,5.12,5.22,5.05,5.18,4.8805,819593,15,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-15,5.18,5.29,5.09,5.14,4.7722,1717589,16,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-14,5.25,5.3412,5.2201,5.31,4.93,995115,17,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-13,5.09,5.29,5.02,5.13,4.7629,2432659,18,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-10,5.4,5.44,5.13,5.2,4.8279,1615371,21,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-09,5.62,5.64,5.39,5.4,5.0136,2057959,22,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-08,5.6,5.64,5.58,5.63,5.2271,857075,23,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-07,5.8299,5.83,5.55,5.6,5.1993,2436009,24,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-06,5.91,5.93,5.81,5.83,5.4128,857743,25,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-03,5.82,5.9,5.77,5.82,5.4035,937911,28,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-02,5.69,5.81,5.66,5.8,5.385,553958,29,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-03-01,5.65,5.76,5.645,5.7,5.2921,720771,30,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-28,5.6,5.6814,5.58,5.63,5.2271,965953,31,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-27,5.65,5.7,5.585,5.62,5.2178,1060413,32,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-24,5.56,5.65,5.55,5.62,5.2178,628034,35,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-23,5.67,5.7,5.6,5.62,5.2178,676504,36,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-22,5.63,5.67,5.61,5.66,5.255,784059,37,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-21,5.75,5.75,5.51,5.61,5.2085,1496618,38,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-17,5.8,5.81,5.74,5.75,5.3385,753531,42,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-16,5.85,5.89,5.8,5.81,5.3942,771291,43,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-15,5.83,5.84,5.8,5.83,5.4128,835048,44,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-14,5.86,5.86,5.78,5.84,5.4221,1165129,45,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-13,5.95,5.96,5.84,5.86,5.4407,1168636,46,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-10,5.98,6.08,5.96,6.01,5.5103,1290595,49,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-09,5.96,6.01,5.93,5.98,5.4828,983491,50,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-08,5.99,6.0,5.9052,5.92,5.4278,1007413,51,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-07,6.17,6.17,5.89,5.99,5.492,1514725,52,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-06,6.18,6.25,6.115,6.13,5.6203,840340,53,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-03,6.095,6.27,6.07,6.21,5.6937,1000792,56,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-02,6.0,6.23,5.98,6.12,5.6111,1382999,57,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-02-01,5.84,5.98,5.84,5.98,5.4828,1577691,58,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-31,5.85,5.88,5.805,5.84,5.3544,874467,59,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-30,5.82,5.86,5.79,5.8,5.3178,959411,60,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-27,5.8,5.965,5.77,5.81,5.3269,1061735,63,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-26,5.79,5.85,5.72,5.81,5.3269,831768,64,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-25,5.8,5.885,5.7558,5.77,5.2902,746653,65,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-24,5.76,5.91,5.7592,5.86,5.3728,1036677,66,USD,0.23,0.24,-0.01,-4.1667,158889500
2023-01-23,5.7,5.77,5.68,5.76,5.2811,719182,67,USD,0.23,0.24,-0.01,-4.1667,158889500
