date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,9.12,9.25,8.47,8.58,8.58,147800,28,USD,0.03,-0.09,0.12,133.3333,18061000
2023-06-01,9.72,9.75,8.78,9.15,9.15,115000,29,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-31,9.58,9.94,9.35,9.49,9.49,163100,30,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-30,9.85,9.87,9.1,9.3,9.3,80100,31,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-26,9.32,9.9,9.15,9.78,9.78,83700,35,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-25,9.46,9.65,9.1,9.26,9.26,86400,36,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-24,8.85,9.47,8.84,9.3,9.3,87600,37,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-23,8.86,8.94,8.67,8.94,8.94,32200,38,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-22,8.62,8.86,8.5,8.86,8.86,54900,39,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-19,8.67,8.69,8.45,8.66,8.66,36300,42,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-18,9.05,9.05,8.35,8.48,8.48,89800,43,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-17,8.89,9.13,8.65,8.87,8.87,161200,44,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-16,8.18,8.82,8.01,8.74,8.74,116700,45,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-15,7.94,8.2,7.79,8.04,8.04,58400,46,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-12,8.44,8.47,7.65,7.93,7.93,84400,49,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-11,9.45,9.9,8.4,8.5,8.5,186800,50,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-10,8.9,8.9,8.43,8.52,8.52,67500,51,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-09,8.33,8.82,8.32,8.71,8.71,74800,52,USD,0.03,-0.09,0.12,133.3333,18061000
2023-05-08,8.69,8.69,8.24,8.37,8.37,58400,53,USD,0.03,-0.09,0.12,133.3333,18061000
