date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,5.47,5.4899,5.45,5.47,5.4404,106641,28,USD,0.1849,,,,17997600
2023-06-01,5.444,5.5,5.42,5.45,5.4205,3333,29,USD,0.1849,,,,17997600
2023-05-31,5.5,5.5,5.42,5.42,5.3906,2350,30,USD,0.1849,,,,17997600
2023-05-30,5.58,5.58,5.43,5.49,5.4602,2965,31,USD,0.1849,,,,17997600
2023-05-26,5.541,5.56,5.495,5.495,5.4652,21621,35,USD,0.1849,,,,17997600
2023-05-25,5.71,5.71,5.52,5.52,5.4901,4510,36,USD,0.1849,,,,17997600
2023-05-24,5.77,5.8,5.58,5.67,5.6393,9169,37,USD,0.1849,,,,17997600
2023-05-23,5.63,5.8,5.63,5.8,5.7686,2557,38,USD,0.1849,,,,17997600
2023-05-22,5.59,5.59,5.59,5.59,5.5597,1280,39,USD,0.1849,,,,17997600
2023-05-19,5.67,5.67,5.67,5.67,5.6393,327,42,USD,0.1849,,,,17997600
2023-05-18,5.73,5.88,5.67,5.67,5.6393,4223,43,USD,0.1849,,,,17997600
2023-05-17,5.985,5.985,5.68,5.71,5.6791,5965,44,USD,0.1849,,,,17997600
2023-05-16,5.87,5.88,5.81,5.85,5.8183,16210,45,USD,0.1849,,,,17997600
2023-05-15,5.92,6.07,5.8,5.8,5.7686,5784,46,USD,0.1849,,,,17997600
2023-05-12,5.94,5.94,5.91,5.91,5.878,474,49,USD,0.1849,,,,17997600
2023-05-11,6.025,6.025,5.8501,5.8501,5.8184,744,50,USD,0.1849,,,,17997600
2023-05-10,5.948,5.95,5.91,5.93,5.8979,3461,51,USD,0.1849,,,,17997600
2023-05-09,6.23,6.23,5.83,5.97,5.9376,13803,52,USD,0.1849,,,,17997600
2023-05-08,6.08,6.41,6.05,6.26,6.1863,9180,53,USD,0.1849,,,,17997600
2023-05-05,6.0,6.28,5.97,6.12,6.0479,4270,56,USD,0.1849,,,,17997600
2023-05-04,6.152,6.25,5.85,5.94,5.8701,25738,57,USD,0.1849,,,,17997600
2023-05-03,6.5,6.76,6.05,6.33,6.2555,31213,58,USD,0.1849,,,,17997600
2023-05-02,7.67,7.67,6.1101,6.42,6.3444,3622,59,USD,0.1849,,,,17997600
2023-05-01,7.66,7.66,7.66,7.66,7.5698,829,60,USD,0.1849,,,,17997600
2023-04-28,7.51,7.51,7.4,7.4,7.3129,1304,63,USD,0.1849,,,,17997600
2023-04-27,7.41,7.41,7.33,7.33,7.2437,3925,64,USD,0.1849,,,,17997600
2023-04-26,7.68,7.68,7.36,7.36,7.2733,6065,65,USD,0.1849,,,,17997600
2023-04-25,7.69,7.69,7.45,7.53,7.4413,1087,66,USD,0.1849,,,,17997600
2023-04-24,7.83,7.83,7.83,7.83,7.7378,267,67,USD,0.1849,,,,17997600
2023-04-21,7.42,7.83,7.42,7.83,7.7378,818,70,USD,0.1849,,,,17997600
2023-04-20,7.71,7.9,7.71,7.9,7.807,1900,71,USD,0.1849,,,,17997600
2023-04-19,7.43,7.52,7.43,7.52,7.4315,598,72,USD,0.1849,,,,17997600
2023-04-18,7.59,7.6,7.45,7.49,7.4018,2160,73,USD,0.1849,,,,17997600
2023-04-17,7.457,7.52,7.43,7.43,7.3425,5927,74,USD,0.1849,,,,17997600
2023-04-14,7.69,7.69,7.5,7.5,7.4117,1642,77,USD,0.1849,,,,17997600
2023-04-13,7.81,7.81,7.6551,7.72,7.6291,1984,78,USD,0.1849,,,,17997600
2023-04-12,7.6956,7.87,7.6956,7.87,7.7773,4795,79,USD,0.1849,,,,17997600
2023-04-11,7.75,7.75,7.53,7.53,7.4413,1363,80,USD,0.1849,,,,17997600
2023-04-10,8.11,8.14,7.6,7.6,7.5105,22064,81,USD,0.1849,,,,17997600
2023-04-06,7.86,8.06,7.86,8.06,7.9651,656,85,USD,0.1849,,,,17997600
2023-04-05,7.76,8.21,7.6,8.0,7.9058,22266,86,USD,0.1849,,,,17997600
2023-04-04,7.73,8.25,7.52,7.76,7.6686,14224,87,USD,0.1849,,,,17997600
2023-04-03,7.64,7.7,7.6,7.7,7.6093,2019,88,USD,0.1849,,,,17997600
2023-03-31,7.71,7.92,7.65,7.83,7.7378,7338,91,USD,0.1849,,,,17997600
2023-03-30,7.4001,7.63,7.4001,7.63,7.5402,1435,92,USD,0.23,,,,18020900
2023-03-29,7.47,7.47,7.47,7.47,7.382,1097,93,USD,0.23,,,,18020900
2023-03-28,7.57,7.67,7.42,7.5,7.4117,3921,94,USD,0.23,,,,18020900
2023-03-27,7.55,7.63,7.51,7.51,7.4216,4457,95,USD,0.23,,,,18020900
2023-03-24,7.61,7.61,7.61,7.61,7.5204,850,98,USD,0.23,,,,18020900
2023-03-23,7.63,7.63,7.3201,7.36,7.2733,5231,99,USD,0.23,,,,18020900
2023-03-22,7.96,7.98,7.52,7.52,7.4315,3811,100,USD,0.23,,,,18020900
2023-03-21,7.9,8.13,7.82,8.01,7.9157,4981,101,USD,0.23,,,,18020900
2023-03-20,8.3,8.3,7.69,7.73,7.639,15645,102,USD,0.23,,,,18020900
2023-03-17,7.9,8.23,7.7,8.23,8.1331,81487,105,USD,0.23,,,,18020900
2023-03-16,7.53,7.88,7.53,7.88,7.7872,7932,106,USD,0.23,,,,18020900
2023-03-15,8.0728,8.0728,7.6,7.6,7.5105,19416,107,USD,0.23,,,,18020900
2023-03-14,8.24,8.4,8.05,8.06,7.9651,11230,108,USD,0.23,,,,18020900
2023-03-13,8.46,8.46,7.92,7.92,7.8267,12397,109,USD,0.23,,,,18020900
2023-03-10,8.88,8.88,8.56,8.56,8.4592,12635,112,USD,0.23,,,,18020900
2023-03-09,8.99,9.01,8.9304,8.94,8.8347,20043,113,USD,0.23,,,,18020900
2023-03-08,9.07,9.08,8.98,9.0,8.894,16810,114,USD,0.23,,,,18020900
2023-03-07,9.0902,9.0915,8.97,9.06,8.9533,15205,115,USD,0.23,,,,18020900
2023-03-06,9.1,9.15,9.0,9.08,8.9731,6653,116,USD,0.23,,,,18020900
2023-03-03,9.07,9.1846,8.92,9.1,8.9928,22699,119,USD,0.23,,,,18020900
2023-03-02,9.07,9.15,9.07,9.15,9.0423,3786,120,USD,0.23,,,,18020900
2023-03-01,9.05,9.1,9.02,9.1,8.9928,19016,121,USD,0.23,,,,18020900
2023-02-28,9.01,9.12,9.01,9.09,8.983,24375,122,USD,0.23,,,,18020900
2023-02-27,9.05,9.15,9.0,9.12,9.0126,24785,123,USD,0.23,,,,18020900
2023-02-24,8.95,9.12,8.95,9.05,8.9434,30035,126,USD,0.23,,,,18020900
2023-02-23,9.09,9.09,8.625,9.08,8.9731,378790,127,USD,0.23,,,,18020900
2023-02-22,8.96,9.06,8.96,9.06,8.9533,1510,128,USD,0.23,,,,18020900
2023-02-21,9.07,9.1,8.96,9.0,8.894,18904,129,USD,0.23,,,,18020900
2023-02-17,9.06,9.11,9.06,9.11,9.0027,6160,133,USD,0.23,,,,18020900
2023-02-16,9.02,9.1,9.02,9.1,8.9928,1100,134,USD,0.23,,,,18020900
2023-02-15,9.09,9.1,9.02,9.02,8.9138,1321,135,USD,0.23,,,,18020900
2023-02-14,8.95,9.02,8.95,9.02,8.9138,19094,136,USD,0.23,,,,18020900
2023-02-13,8.98,8.98,8.95,8.95,8.8446,1548,137,USD,0.23,,,,18020900
2023-02-10,9.0,9.01,8.96,8.96,8.8545,15311,140,USD,0.23,,,,18020900
2023-02-09,9.0,9.0,9.0,9.0,8.894,420,141,USD,0.23,,,,18020900
2023-02-08,9.01,9.01,8.95,9.0,8.894,10677,142,USD,0.23,,,,18020900
2023-02-07,9.07,9.085,9.0,9.0,8.894,15064,143,USD,0.23,,,,18020900
2023-02-06,9.21,9.21,9.18,9.18,9.0324,1055,144,USD,0.23,,,,18020900
2023-02-03,9.06,9.06,9.01,9.02,8.8749,12048,147,USD,0.23,,,,18020900
2023-02-02,9.05,9.15,9.01,9.15,9.0029,1481,148,USD,0.23,,,,18020900
2023-02-01,9.05,9.11,9.01,9.01,8.8651,7049,149,USD,0.23,,,,18020900
2023-01-31,8.92,9.03,8.92,9.03,8.8848,5614,150,USD,0.23,,,,18020900
2023-01-30,9.01,9.04,8.81,8.82,8.6782,13477,151,USD,0.23,,,,18020900
2023-01-27,9.03,9.03,9.0,9.0,8.8553,1852,154,USD,0.23,,,,18020900
2023-01-26,8.97,9.0,8.97,9.0,8.8553,838,155,USD,0.23,,,,18020900
2023-01-25,8.97,9.07,8.97,9.07,8.9241,1054,156,USD,0.23,,,,18020900
2023-01-24,9.0,9.085,8.95,9.05,8.9045,8693,157,USD,0.23,,,,18020900
2023-01-23,8.95,9.0,8.95,9.0,8.8553,8919,158,USD,0.23,,,,18020900
2023-01-20,9.0,9.0,9.0,9.0,8.8553,362,161,USD,0.23,,,,18020900
2023-01-19,8.8671,8.93,8.8671,8.92,8.7766,2064,162,USD,0.23,,,,18020900
2023-01-18,8.93,8.93,8.93,8.93,8.7864,418,163,USD,0.23,,,,18020900
2023-01-17,8.6315,9.0,8.6315,9.0,8.8553,1787,164,USD,0.23,,,,18020900
2023-01-13,8.83,8.99,8.81,8.82,8.6782,2540,168,USD,0.23,,,,18020900
2023-01-12,8.86,8.86,8.86,8.86,8.7175,45,169,USD,0.23,,,,18020900
2023-01-11,8.86,8.86,8.712,8.86,8.7175,3257,170,USD,0.23,,,,18020900
2023-01-10,8.85,8.91,8.85,8.85,8.7077,1052,171,USD,0.23,,,,18020900
2023-01-09,8.83,8.95,8.83,8.895,8.752,701,172,USD,0.23,,,,18020900
2023-01-06,8.81,8.81,8.81,8.81,8.6683,1000,175,USD,0.23,,,,18020900
2023-01-05,8.91,8.9101,8.9,8.9,8.7569,8410,176,USD,0.23,,,,18020900
2023-01-04,8.87,8.99,8.87,8.91,8.7667,6732,177,USD,0.23,,,,18020900
2023-01-03,9.19,9.19,8.86,8.86,8.7175,2865,178,USD,0.23,,,,18020900
2022-12-30,9.02,9.03,8.86,8.86,8.7175,1648,182,USD,0.23,,,,17994000
2022-12-29,8.96,8.98,8.77,8.8,8.6585,2995,183,USD,0.23,,,,17994000
2022-12-28,8.72,8.93,8.72,8.79,8.6486,4442,184,USD,0.23,,,,17994000
2022-12-27,8.705,8.73,8.7,8.72,8.5798,1722,185,USD,0.23,,,,17994000
2022-12-23,8.635,8.87,8.58,8.775,8.6339,734,189,USD,0.23,,,,17994000
2022-12-22,8.57,8.64,8.56,8.57,8.4322,7416,190,USD,0.23,,,,17994000
2022-12-21,8.81,8.81,8.55,8.55,8.4125,1684,191,USD,0.23,,,,17994000
2022-12-20,8.95,8.95,8.52,8.52,8.383,1991,192,USD,0.23,,,,17994000
2022-12-19,8.61,8.71,8.515,8.515,8.3781,6891,193,USD,0.23,,,,17994000
