date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,6.21,6.7,6.16,6.43,6.43,1250575,28,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-06-01,5.98,6.27,5.75,6.1,6.1,824886,29,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-31,5.8,6.11,5.7,6.02,6.02,1246246,30,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-30,6.26,6.54,5.43,5.8,5.8,1676093,31,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-26,6.2,6.44,6.075,6.28,6.28,1098789,35,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-25,6.47,6.56,6.23,6.24,6.24,1295009,36,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-24,7.01,7.12,6.45,6.48,6.48,1881211,37,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-23,7.5,8.005,7.041,7.09,7.09,2585135,38,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-22,7.22,7.645,7.125,7.53,7.53,1600315,39,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-19,7.31,7.545,6.93,7.12,7.12,1424390,42,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-18,7.34,7.54,6.91,7.22,7.22,1565732,43,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-17,7.25,7.59,7.08,7.48,7.48,1490461,44,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-16,7.39,7.44,7.05,7.24,7.24,1523618,45,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-15,6.49,7.78,6.4,7.52,7.52,3379770,46,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-12,6.48,6.5,6.0338,6.37,6.37,986643,49,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-11,6.58,6.675,6.38,6.48,6.48,1569715,50,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-10,6.24,6.86,6.23,6.58,6.58,1791195,51,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-09,5.5,6.14,5.42,6.11,6.11,1628944,52,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-08,5.68,5.73,5.455,5.54,5.54,809844,53,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-05,5.8,5.98,5.67,5.7,5.7,1154046,56,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-04,5.53,5.865,5.35,5.75,5.75,1462951,57,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-03,5.05,5.58,5.05,5.5,5.5,1700731,58,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-02,5.3,5.41,4.935,5.05,5.05,1930597,59,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-05-01,5.27,5.66,5.25,5.47,5.47,991291,60,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-28,5.19,5.4,5.0902,5.29,5.29,671018,63,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-27,5.27,5.44,5.124,5.19,5.19,739868,64,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-26,5.26,5.3755,5.085,5.23,5.23,721046,65,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-25,5.0,5.36,5.0,5.25,5.25,1150004,66,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-24,5.34,5.34,4.96,5.03,5.03,1015544,67,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-21,5.09,5.335,5.08,5.24,5.24,1207236,70,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-20,5.57,5.67,5.09,5.11,5.11,1453677,71,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-19,5.45,5.68,5.38,5.59,5.59,1429879,72,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-18,5.65,5.8,5.23,5.55,5.55,2217149,73,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-17,5.18,5.685,5.14,5.64,5.64,2578253,74,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-14,4.92,5.23,4.8,5.19,5.19,2579353,77,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-13,3.82,4.965,3.7425,4.9,4.9,5128687,78,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-12,3.67,3.97,3.665,3.75,3.75,1352994,79,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-11,3.28,3.65,3.27,3.65,3.65,1152560,80,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-10,3.29,3.325,3.17,3.28,3.28,816583,81,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-06,3.25,3.36,3.2,3.29,3.29,883379,85,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-05,3.21,3.445,3.14,3.24,3.24,1858834,86,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-04,3.27,3.315,3.1,3.22,3.22,1216854,87,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-04-03,3.22,3.26,3.165,3.22,3.22,625612,88,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-03-31,3.13,3.29,3.1,3.27,3.27,1163013,91,USD,-0.43,-0.45,0.02,4.4444,191228000
2023-03-30,3.29,3.38,3.05,3.11,3.11,701163,92,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-29,3.19,3.27,3.12,3.27,3.27,684378,93,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-28,3.32,3.4,3.12,3.13,3.13,522470,94,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-27,3.29,3.4,3.21,3.34,3.34,565050,95,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-24,3.19,3.29,3.14,3.23,3.23,933894,98,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-23,3.31,3.37,3.14,3.25,3.25,952545,99,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-22,3.51,3.59,3.26,3.27,3.27,1006177,100,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-21,3.58,3.59,3.46,3.5,3.5,734254,101,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-20,3.58,3.5999,3.42,3.52,3.52,895763,102,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-17,3.26,3.65,3.17,3.5,3.5,2943308,105,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-16,3.35,3.355,3.1,3.26,3.26,877986,106,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-15,3.36,3.455,3.32,3.42,3.42,873383,107,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-14,3.57,3.575,3.36,3.44,3.44,1003877,108,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-13,3.11,3.5801,3.08,3.49,3.49,1512802,109,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-10,3.35,3.44,2.99,3.16,3.16,1602228,112,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-09,3.62,3.64,3.31,3.34,3.34,1052393,113,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-08,3.72,3.72,3.52,3.59,3.59,913772,114,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-07,3.6,3.925,3.57,3.73,3.73,825837,115,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-06,3.91,3.975,3.505,3.54,3.54,1007101,116,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-03,3.81,3.99,3.72,3.9,3.9,686026,119,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-02,3.54,3.815,3.5,3.76,3.76,1229325,120,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-03-01,3.66,3.7,3.54,3.59,3.59,842391,121,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-28,3.74,3.83,3.63,3.67,3.67,1436180,122,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-27,3.8,3.8,3.64,3.7,3.7,1209829,123,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-24,3.88,3.9,3.7,3.76,3.76,1357995,126,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-23,4.09,4.095,3.87,3.99,3.99,750924,127,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-22,3.98,4.15,3.935,4.07,4.07,985882,128,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-21,4.33,4.33,3.94,3.98,3.98,1124430,129,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-17,4.32,4.385,4.14,4.38,4.38,618191,133,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-16,4.58,4.58,4.29,4.31,4.31,600604,134,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-15,4.49,4.67,4.4,4.64,4.64,575896,135,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-14,4.24,4.585,4.16,4.53,4.53,632600,136,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-13,4.35,4.35,4.1004,4.28,4.28,725888,137,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-10,4.3,4.32,4.13,4.26,4.26,918052,140,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-09,4.61,4.64,4.35,4.36,4.36,837722,141,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-08,4.76,4.76,4.425,4.48,4.48,800737,142,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-07,4.73,4.79,4.62,4.76,4.76,729579,143,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-06,4.68,4.865,4.6,4.72,4.72,664089,144,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-03,4.74,4.93,4.64,4.68,4.68,641236,147,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-02,4.87,5.14,4.76,4.92,4.92,1370783,148,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-02-01,4.54,4.755,4.44,4.71,4.71,1019250,149,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-31,4.65,4.76,4.5,4.56,4.56,1082801,150,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-30,4.79,4.89,4.56,4.65,4.65,962173,151,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-27,4.63,4.92,4.55,4.81,4.81,1167272,154,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-26,4.76,4.81,4.45,4.61,4.61,783017,155,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-25,4.66,4.73,4.51,4.69,4.69,569913,156,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-24,4.53,4.79,4.47,4.71,4.71,824166,157,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-23,4.51,4.7,4.44,4.6,4.6,884809,158,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-20,4.26,4.615,4.15,4.54,4.54,1233501,161,USD,-0.38,-0.51,0.13,25.4902,190420000
2023-01-19,4.35,4.35,4.01,4.18,4.18,828219,162,USD,-0.38,-0.51,0.13,25.4902,190420000
