date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,46.1,48.11,45.56,47.76,47.76,31600,28,USD,-1.2,,,,360717500
2023-06-01,46.05,46.63,45.5,45.61,45.61,25900,29,USD,-1.2,,,,360717500
2023-05-31,48.78,48.78,46.01,46.24,46.24,48300,30,USD,-1.2,,,,360717500
2023-05-30,49.3,49.73,48.57,48.62,48.62,15600,31,USD,-1.2,,,,360717500
2023-05-26,49.64,50.05,49.1,49.63,49.63,13700,35,USD,-1.2,,,,360717500
2023-05-25,49.46,49.99,48.67,49.63,49.63,30800,36,USD,-1.2,,,,360717500
2023-05-24,50.03,50.33,50.03,50.13,50.13,13100,37,USD,-1.2,,,,360717500
2023-05-23,48.35,51.69,48.35,50.9,50.9,22200,38,USD,-1.2,,,,360717500
2023-05-22,49.56,49.84,49.27,49.5,49.5,24100,39,USD,-1.2,,,,360717500
2023-05-19,49.21,49.98,48.81,49.53,49.53,25100,42,USD,-1.2,,,,360717500
2023-05-18,49.0,49.45,48.71,49.24,49.24,18200,43,USD,-1.2,,,,360717500
2023-05-17,48.49,49.25,48.35,49.13,49.13,17200,44,USD,-1.2,,,,360717500
2023-05-16,48.23,48.83,47.87,48.59,48.59,21600,45,USD,-1.2,,,,360717500
2023-05-15,48.69,48.78,47.91,48.14,48.14,40300,46,USD,-1.2,,,,360717500
2023-05-12,48.67,48.83,48.07,48.59,48.59,32900,49,USD,-1.2,,,,360717500
2023-05-11,47.92,49.02,47.92,48.67,48.67,22200,50,USD,-1.2,,,,360717500
2023-05-10,48.17,48.47,47.61,48.1,48.1,29400,51,USD,-1.2,,,,360717500
2023-05-09,47.98,48.16,47.35,47.73,47.73,23400,52,USD,-1.2,,,,360717500
2023-05-08,47.65,47.9,47.01,47.8,47.8,21200,53,USD,-1.2,,,,360717500
2023-05-05,47.35,47.9,47.24,47.5,47.5,25300,56,USD,-1.2,,,,360717500
2023-05-04,46.64,47.51,46.27,47.23,47.23,25100,57,USD,-1.2,,,,360717500
2023-05-03,47.03,47.83,46.57,46.71,46.71,24600,58,USD,-1.2,,,,360717500
2023-05-02,47.56,47.56,46.25,46.77,46.77,35300,59,USD,-1.2,,,,360717500
2023-05-01,47.78,48.56,47.0,47.41,47.41,45600,60,USD,-1.2,,,,360717500
2023-04-28,47.48,48.14,47.2,47.6,47.6,24100,63,USD,-1.2,,,,360717500
2023-04-27,47.36,47.82,46.04,47.33,47.33,45700,64,USD,-1.2,,,,360717500
2023-04-26,47.41,48.06,47.08,47.54,47.54,19000,65,USD,-1.2,,,,360717500
2023-04-25,47.75,48.43,47.42,47.69,47.69,19400,66,USD,-1.2,,,,360717500
2023-04-24,48.35,48.35,47.5,47.98,47.98,23600,67,USD,-1.2,,,,360717500
2023-04-21,49.49,49.75,47.94,47.94,47.94,42000,70,USD,-1.2,,,,360717500
2023-04-20,49.75,49.88,49.1,49.5,49.5,24600,71,USD,-1.2,,,,360717500
2023-04-19,49.04,49.99,49.02,49.75,49.75,24907,72,USD,-1.2,,,,360717500
2023-04-18,50.35,50.75,49.2,49.43,49.43,37693,73,USD,-1.2,,,,360717500
2023-04-17,50.3,50.79,50.0,50.3,50.3,37686,74,USD,-1.2,,,,360717500
2023-04-14,51.72,52.06,50.13,50.2,50.2,24629,77,USD,-1.2,,,,360717500
2023-04-13,52.92,53.52,51.71,51.94,51.94,27241,78,USD,-1.2,,,,360717500
2023-04-12,53.56,53.7,52.58,53.22,53.22,46412,79,USD,-1.2,,,,360717500
2023-04-11,51.62,53.29,51.62,53.185,53.185,54915,80,USD,-1.2,,,,360717500
2023-04-10,51.13,52.37,51.08,52.3,52.3,39196,81,USD,-1.2,,,,360717500
2023-04-06,51.19,51.805,51.05,51.4,51.4,25030,85,USD,-1.2,,,,360717500
2023-04-05,50.75,51.76,50.75,51.23,51.23,29358,86,USD,-1.2,,,,360717500
2023-04-04,52.22,52.22,50.87,51.17,51.17,38408,87,USD,-1.2,,,,360717500
2023-04-03,52.39,52.63,51.46,52.36,52.36,48556,88,USD,-1.2,,,,360717500
