date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,9.24,9.25,9.19,9.19,9.19,2200,0,USD,0.38,0.17,0.21,123.5294,6214700
2023-03-30,8.5,8.5,8.5,8.5,8.5,97,1,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-29,8.51,8.55,8.5,8.5,8.5,1000,2,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-28,8.45,8.451,8.4,8.451,8.451,2556,3,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-27,9.0,9.0001,8.25,8.25,8.25,5437,4,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-24,9.08,9.08,9.08,9.08,9.08,52,7,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-23,9.08,9.08,9.08,9.08,9.08,300,8,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-22,9.219,9.219,9.219,9.219,9.219,100,9,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-21,9.219,9.219,9.219,9.219,9.219,100,10,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-20,9.22,9.22,9.22,9.22,9.22,2,11,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-17,9.22,9.22,9.22,9.22,9.22,1500,14,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-16,9.1,9.253,9.1,9.253,9.253,700,15,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-15,9.276,9.276,9.1,9.1,9.1,6400,16,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-14,9.1101,9.25,9.1101,9.2499,9.2499,6222,17,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-13,9.305,9.5,9.11,9.1125,9.1125,1590,18,USD,0.09,0.11,-0.02,-18.1818,6214700
2023-03-10,9.25,9.44,9.2,9.3,9.3,6900,21,USD,0.09,0.11,-0.02,-18.1818,6214700
