date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,4.48,4.73,4.41,4.72,4.72,484300,28,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-06-01,4.5,4.53,4.34,4.46,4.46,275000,29,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-31,4.62,4.83,4.43,4.49,4.49,456100,30,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-30,4.91,4.97,4.56,4.61,4.61,380100,31,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-26,5.06,5.21,4.88,4.9,4.9,526600,35,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-25,5.1,5.18,4.99,5.06,5.06,377600,36,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-24,5.27,5.39,5.07,5.11,5.11,292700,37,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-23,5.28,5.53,5.25,5.29,5.29,362300,38,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-22,5.38,5.6,5.29,5.31,5.31,412800,39,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-19,5.38,5.46,5.27,5.41,5.41,461000,42,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-18,5.69,5.7,5.16,5.29,5.29,502300,43,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-17,5.71,5.77,5.51,5.75,5.75,375700,44,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-16,5.65,6.11,5.36,5.73,5.73,484800,45,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-15,5.61,6.05,5.61,5.88,5.88,512100,46,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-12,5.48,5.68,5.32,5.64,5.64,267300,49,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-11,5.58,5.65,5.39,5.46,5.46,344300,50,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-10,5.46,5.67,5.46,5.6,5.6,415000,51,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-09,5.47,5.58,4.92,5.52,5.52,246100,52,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-08,5.47,5.61,5.42,5.49,5.49,392200,53,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-05,5.29,5.51,4.89,5.48,5.48,444900,56,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-04,5.12,5.5,5.03,5.29,5.29,515200,57,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-03,4.75,5.75,4.75,5.12,5.12,2153300,58,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-02,4.56,4.75,4.55,4.6,4.6,508100,59,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-05-01,4.54,4.71,4.26,4.58,4.58,315700,60,USD,-0.85,-0.81,-0.04,-4.9383,58723400
2023-04-28,4.32,4.37,4.09,4.26,4.26,494300,63,USD,-0.85,-0.81,-0.04,-4.9383,58723400
