date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,13.59,13.8,13.59,13.74,13.74,543900,28,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-06-01,13.66,13.68,13.37,13.4,13.4,884400,29,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-31,13.57,13.89,13.32,13.7,13.7,3039600,30,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-30,14.1,14.21,13.56,13.73,13.73,709300,31,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-26,13.61,14.1,13.6,14.01,14.01,562100,35,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-25,13.21,13.63,13.2,13.6,13.6,558800,36,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-24,13.25,13.31,13.1,13.17,13.17,537100,37,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-23,13.26,13.65,13.19,13.36,13.36,582300,38,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-22,13.08,13.33,12.93,13.29,13.29,509800,39,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-19,13.29,13.39,12.9,13.01,13.01,417200,42,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-18,12.93,13.2,12.89,13.12,13.12,366000,43,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-17,12.65,13.02,12.54,12.93,12.93,494300,44,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-16,12.54,12.69,12.36,12.65,12.65,685800,45,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-15,12.17,12.67,12.08,12.66,12.66,904500,46,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-12,12.04,12.16,11.97,12.11,12.11,512300,49,USD,0.18,0.19,-0.01,-5.2632,102381000
2023-05-11,11.61,12.1,11.59,12.03,12.03,700200,50,USD,0.18,0.19,-0.01,-5.2632,102381000
