date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,8.71,8.85,8.54,8.78,8.78,8940300,28,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-06-01,8.18,8.66,8.15,8.51,8.51,2742500,29,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-31,7.69,8.25,7.68,8.2,8.2,3508600,30,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-30,8.02,8.2,7.61,7.72,7.72,3032000,31,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-26,7.7,7.95,7.67,7.85,7.85,1620300,35,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-25,8.07,8.08,7.54,7.6,7.6,13313000,36,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-24,8.27,8.37,8.08,8.1,8.1,1016000,37,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-23,8.34,8.46,8.28,8.34,8.34,1657500,38,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-22,8.03,8.52,8.03,8.43,8.43,1532400,39,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-19,8.3,8.3,8.01,8.02,8.02,1478400,42,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-18,8.44,8.44,8.09,8.25,8.25,1674900,43,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-17,8.1,8.44,7.99,8.35,8.35,1601300,44,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-16,8.0,8.14,7.96,8.09,8.09,1791500,45,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-15,7.98,8.08,7.88,8.05,8.05,3288300,46,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-12,7.82,8.0,7.73,8.0,8.0,2709200,49,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-11,8.11,8.11,7.74,7.77,7.77,2154500,50,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-10,8.05,8.16,7.97,8.05,8.05,2398200,51,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-09,7.93,8.12,7.92,7.96,7.96,2077500,52,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-08,8.0,8.16,7.91,8.04,8.04,2827000,53,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-05,8.09,8.18,7.87,8.0,8.0,4126300,56,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-04,6.58,8.48,6.56,7.99,7.99,11859800,57,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-03,8.75,8.75,7.95,8.14,8.14,6223100,58,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-02,9.5,9.63,8.78,8.8,8.8,3139000,59,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-05-01,9.57,9.78,9.48,9.55,9.55,1484400,60,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-28,9.43,9.66,9.33,9.57,9.57,1418400,63,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-27,9.7,9.87,9.47,9.51,9.51,1060900,64,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-26,9.52,9.57,9.37,9.51,9.51,1599500,65,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-25,9.93,10.1,9.42,9.42,9.42,1445900,66,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-24,10.69,10.7,9.88,10.02,10.02,2065500,67,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-21,10.24,10.62,10.24,10.6,10.6,1044200,70,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-20,10.07,10.39,10.06,10.23,10.23,1232300,71,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-19,10.31,10.37,10.07,10.31,10.31,823600,72,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-18,10.6,10.63,10.41,10.48,10.48,1080200,73,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-17,10.35,10.41,10.27,10.39,10.39,700700,74,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-14,10.3,10.44,10.18,10.33,10.33,1062000,77,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-13,10.08,10.4,10.03,10.31,10.31,1270000,78,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-12,10.36,10.42,9.82,9.88,9.88,1419200,79,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-11,10.31,10.37,9.91,10.2,10.2,1273300,80,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-10,10.21,10.27,9.99,10.22,10.22,1187200,81,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-06,10.19,10.42,9.79,10.33,10.33,1461500,85,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-05,10.84,10.86,10.08,10.21,10.21,1554600,86,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-04,11.07,11.1,10.77,10.99,10.99,1053900,87,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-04-03,11.23,11.26,10.79,11.01,11.01,1202800,88,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-03-31,10.9,11.37,10.8,11.32,11.32,1335500,91,USD,-0.01,-0.07,0.06,85.7143,135966000
2023-03-30,10.99,11.08,10.78,10.82,10.82,751300,92,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-29,10.93,11.0,10.7,10.8,10.8,1191900,93,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-28,11.14,11.19,10.6,10.67,10.67,1380600,94,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-27,11.61,11.63,11.11,11.28,11.28,1174300,95,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-24,11.07,11.76,11.04,11.47,11.47,1997300,98,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-23,10.82,11.47,10.82,11.04,11.04,1231000,99,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-22,10.67,11.06,10.66,10.69,10.69,1538700,100,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-21,10.44,10.74,10.39,10.67,10.67,987600,101,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-20,10.02,10.22,9.92,10.22,10.22,1159800,102,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-17,10.36,10.39,10.01,10.04,10.04,1773700,105,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-16,10.42,10.52,10.27,10.38,10.38,1248900,106,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-15,10.2,10.53,10.16,10.5,10.5,1569600,107,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-14,10.97,11.12,10.32,10.46,10.46,1836800,108,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-13,10.44,10.81,10.26,10.61,10.61,1342100,109,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-10,11.11,11.12,10.56,10.62,10.62,1401200,112,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-09,11.4,11.71,11.11,11.13,11.13,2191600,113,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-08,11.78,11.79,11.37,11.48,11.48,942700,114,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-07,11.93,12.1,11.7,11.81,11.81,623300,115,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-06,12.23,12.36,11.9,11.93,11.93,669600,116,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-03,11.86,12.28,11.82,12.21,12.21,890200,119,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-02,11.38,11.79,11.36,11.76,11.76,916900,120,USD,0.04,-0.03,0.07,233.3333,130518000
2023-03-01,11.4,11.71,11.3,11.67,11.67,1283100,121,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-28,10.87,11.52,10.87,11.34,11.34,1864100,122,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-27,11.19,11.27,10.86,10.94,10.94,792600,123,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-24,11.18,11.29,10.87,11.02,11.02,1538800,126,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-23,11.85,11.97,11.27,11.55,11.55,1385400,127,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-22,11.62,11.87,11.36,11.82,11.82,1814400,128,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-21,11.6,11.84,11.38,11.44,11.44,2272600,129,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-17,11.71,12.04,11.41,11.72,11.72,3021100,133,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-16,13.09,13.35,11.79,11.81,11.81,3873100,134,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-15,13.19,14.22,13.1,13.94,13.94,3090700,135,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-14,12.83,13.32,12.61,13.17,13.17,1100700,136,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-13,12.55,13.08,12.48,13.06,13.06,1202100,137,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-10,12.78,13.01,12.44,12.5,12.5,1161700,140,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-09,13.71,13.86,13.01,13.06,13.06,1226000,141,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-08,13.75,14.15,13.36,13.46,13.46,1193600,142,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-07,13.6,13.84,13.36,13.78,13.78,851100,143,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-06,13.54,13.94,13.41,13.67,13.67,964500,144,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-03,13.9,14.36,13.68,13.76,13.76,1058500,147,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-02,14.05,14.76,13.78,14.53,14.53,1687100,148,USD,0.04,-0.03,0.07,233.3333,130518000
2023-02-01,13.13,13.68,12.96,13.55,13.55,1679100,149,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-31,12.68,13.09,12.6,12.96,12.96,1380500,150,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-30,12.84,12.98,12.5,12.58,12.58,1108700,151,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-27,12.41,13.17,12.36,13.1,13.1,818300,154,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-26,12.58,12.77,12.29,12.47,12.47,704400,155,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-25,12.14,12.43,11.78,12.33,12.33,632300,156,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-24,12.72,13.11,12.25,12.44,12.44,1120300,157,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-23,12.62,12.92,12.59,12.86,12.86,1284100,158,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-20,12.41,12.57,12.24,12.52,12.52,1156300,161,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-19,12.42,12.65,12.12,12.29,12.29,687500,162,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-18,12.71,12.83,12.5,12.6,12.6,1051600,163,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-17,12.64,12.91,12.5,12.55,12.55,1035200,164,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-13,12.23,12.74,12.2,12.6,12.6,904500,168,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-12,12.35,12.61,11.97,12.6,12.6,1805000,169,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-11,11.66,12.31,11.51,12.31,12.31,2670800,170,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-10,11.37,11.67,11.32,11.48,11.48,998900,171,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-09,11.6,11.8,11.49,11.54,11.54,1176700,172,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-06,11.52,11.59,11.06,11.4,11.4,956900,175,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-05,11.27,11.56,11.09,11.5,11.5,1199200,176,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-04,10.92,11.44,10.8,11.39,11.39,1275500,177,USD,0.04,-0.03,0.07,233.3333,130518000
2023-01-03,10.64,10.91,10.5,10.78,10.78,1476000,178,USD,0.04,-0.03,0.07,233.3333,130518000
2022-12-30,10.18,10.5,9.98,10.44,10.44,1100500,182,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-29,10.0,10.52,9.89,10.47,10.47,1011800,183,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-28,9.95,10.09,9.81,9.91,9.91,1303500,184,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-27,10.3,10.3,9.79,10.01,10.01,1309600,185,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-23,10.27,10.57,10.12,10.43,10.43,1049000,189,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-22,10.07,10.25,9.86,10.23,10.23,1111500,190,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-21,10.46,10.57,10.21,10.26,10.26,1060100,191,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-20,10.5,10.74,10.29,10.37,10.37,1005900,192,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-19,10.96,10.96,10.57,10.58,10.58,1345400,193,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-16,10.84,11.1,10.79,10.89,10.89,1548600,196,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-15,11.32,11.32,10.88,11.03,11.03,1281600,197,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-14,11.48,11.99,11.36,11.67,11.67,1525400,198,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-13,12.22,12.52,11.41,11.52,11.52,1600000,199,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-12,11.26,11.54,11.11,11.46,11.46,974900,200,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-09,11.05,11.48,10.85,11.25,11.25,734900,203,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-08,10.88,11.27,10.58,11.13,11.13,1035100,204,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-07,10.82,11.09,10.69,10.81,10.81,1125400,205,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-06,11.64,11.66,10.84,10.91,10.91,1552300,206,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-05,12.35,12.35,11.6,11.65,11.65,1076500,207,USD,-0.03,-0.08,0.05,62.5,130830400
2022-12-02,11.93,12.57,11.66,12.38,12.38,1130100,210,USD,-0.03,-0.08,0.05,62.5,130830400
