date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,94.5,95.6875,94.0,95.0,94.7069,7920,28,USD,1.159,,,,3636000
2023-06-01,94.34,94.34,93.5001,93.92,93.6302,2983,29,USD,1.159,,,,3636000
2023-05-31,92.81,93.49,89.66,93.49,93.2015,18623,30,USD,1.159,,,,3636000
2023-05-30,93.73,94.35,91.66,93.0,92.713,11423,31,USD,1.159,,,,3636000
2023-05-26,94.42,95.265,94.1,95.265,94.971,4067,35,USD,1.159,,,,3636000
2023-05-25,92.86,93.99,92.86,93.49,93.2015,2792,36,USD,1.159,,,,3636000
2023-05-24,92.5,93.4975,92.47,93.4,93.1118,6502,37,USD,1.159,,,,3636000
2023-05-23,92.715,93.729,92.5,92.86,92.5735,5047,38,USD,1.159,,,,3636000
2023-05-22,92.42,94.1342,91.64,93.79,93.5006,4435,39,USD,1.159,,,,3636000
2023-05-19,94.12,94.2499,92.5,92.74,92.4538,3959,42,USD,1.159,,,,3636000
2023-05-18,93.74,93.9965,93.0001,93.72,93.4308,3075,43,USD,1.159,,,,3636000
2023-05-17,93.79,94.48,92.75,94.18,93.8894,7380,44,USD,1.159,,,,3636000
2023-05-16,93.4,93.4,91.56,93.34,93.052,1819,45,USD,1.159,,,,3636000
2023-05-15,90.76,93.89,90.65,93.89,93.6003,5487,46,USD,1.159,,,,3636000
2023-05-12,91.02,91.65,91.02,91.65,91.3672,2734,49,USD,1.159,,,,3636000
2023-05-11,91.74,94.0,91.54,91.57,91.2874,3460,50,USD,1.159,,,,3636000
2023-05-10,94.7,95.55,94.52,95.55,95.2552,2896,51,USD,1.159,,,,3636000
2023-05-09,93.45,94.93,93.06,94.93,94.6371,1788,52,USD,1.159,,,,3636000
2023-05-08,93.6,93.6,93.6,93.6,93.3112,1516,53,USD,1.159,,,,3636000
2023-05-05,91.9,94.94,91.9,93.68,93.3909,4395,56,USD,1.159,,,,3636000
2023-05-04,94.9501,94.9501,91.5,91.5,91.2177,3839,57,USD,1.159,,,,3636000
2023-05-03,94.463,94.93,93.23,93.23,92.9423,3525,58,USD,1.159,,,,3636000
2023-05-02,94.805,96.0,94.04,94.56,94.2682,3794,59,USD,1.159,,,,3636000
2023-05-01,96.94,96.98,93.0301,95.7,95.4047,4781,60,USD,1.159,,,,3636000
2023-04-28,91.89,94.84,91.89,94.84,94.5473,2018,63,USD,1.159,,,,3636000
2023-04-27,95.35,95.35,92.06,94.5,94.2084,7082,64,USD,1.159,,,,3636000
2023-04-26,94.7093,94.85,93.89,94.85,94.5573,1863,65,USD,1.159,,,,3636000
2023-04-25,93.12,94.665,91.0,94.03,93.7398,9438,66,USD,1.159,,,,3636000
2023-04-24,93.13,95.82,93.13,94.1,93.8096,3640,67,USD,1.159,,,,3636000
2023-04-21,95.61,99.0,93.0,93.0,92.713,11138,70,USD,1.159,,,,3636000
2023-04-20,98.3,98.3,96.0,96.0,95.7038,2307,71,USD,1.159,,,,3636000
2023-04-19,95.36,96.34,95.0,95.0,94.7069,1495,72,USD,1.159,,,,3636000
2023-04-18,98.1,98.1,94.466,95.09,94.7966,2631,73,USD,1.159,,,,3636000
2023-04-17,96.63,98.5,96.63,97.38,97.0795,3618,74,USD,1.159,,,,3636000
2023-04-14,98.0,98.0,97.04,97.21,96.91,5314,77,USD,1.159,,,,3636000
2023-04-13,97.0,98.11,96.5,97.4,97.0994,15390,78,USD,1.159,,,,3636000
2023-04-12,93.81,97.0,93.81,96.5,96.2022,7174,79,USD,1.159,,,,3636000
2023-04-11,92.89,94.02,90.9,93.6,93.3112,12282,80,USD,1.159,,,,3636000
2023-04-10,91.09,93.273,90.26,90.9,90.6195,4787,81,USD,1.159,,,,3636000
2023-04-06,92.15,92.15,91.85,91.85,91.5666,2544,85,USD,1.159,,,,3636000
2023-04-05,91.2301,92.825,90.21,92.62,92.3342,9685,86,USD,1.159,,,,3636000
2023-04-04,93.0,93.0,91.0,92.85,92.5635,6581,87,USD,1.159,,,,3636000
2023-04-03,95.57,95.57,93.8,93.8,93.5106,3718,88,USD,1.159,,,,3636000
2023-03-31,96.9,96.96,94.77,94.77,94.4776,6763,91,USD,1.159,,,,3636000
2023-03-30,93.52,96.45,93.2251,96.45,96.1524,5017,92,USD,1.2531,,,,3635000
2023-03-29,91.6,94.43,91.6,94.4,94.1087,3433,93,USD,1.2531,,,,3635000
2023-03-28,93.0,93.96,90.87,91.6,91.3173,3908,94,USD,1.2531,,,,3635000
2023-03-27,93.0,93.9759,90.61,92.77,92.4837,2988,95,USD,1.2531,,,,3635000
2023-03-24,90.05,93.7,89.64,92.91,92.6233,5930,98,USD,1.2531,,,,3635000
2023-03-23,90.61,92.025,90.0,90.32,90.0413,4389,99,USD,1.2531,,,,3635000
2023-03-22,93.84,93.84,90.61,90.61,90.3304,2252,100,USD,1.2531,,,,3635000
2023-03-21,92.3854,93.84,91.52,93.84,93.5504,5082,101,USD,1.2531,,,,3635000
2023-03-20,93.365,93.365,93.35,93.35,93.0619,3415,102,USD,1.2531,,,,3635000
2023-03-17,94.0,94.7156,92.085,92.5,92.2146,8706,105,USD,1.2531,,,,3635000
2023-03-16,92.73,94.56,92.73,94.56,94.2682,3884,106,USD,1.2531,,,,3635000
2023-03-15,92.63,92.73,90.51,91.9,91.3223,8686,107,USD,1.2531,,,,3635000
2023-03-14,90.45,93.58,90.29,92.0,91.4217,14486,108,USD,1.2531,,,,3635000
2023-03-13,87.0,91.94,87.0,89.0,88.4406,37061,109,USD,1.2531,,,,3635000
2023-03-10,88.41,91.3458,88.41,89.5,88.9374,8310,112,USD,1.2531,,,,3635000
2023-03-09,88.5,91.24,88.5,90.53,89.9609,12122,113,USD,1.2531,,,,3635000
2023-03-08,87.11,89.55,80.75,88.6,88.0431,102149,114,USD,1.2531,,,,3635000
2023-03-07,92.595,93.6,84.8138,87.9,87.3475,37658,115,USD,1.2531,,,,3635000
2023-03-06,96.0,96.1852,92.625,93.23,92.644,24581,116,USD,1.2531,,,,3635000
2023-03-03,94.41,96.0,94.386,96.0,95.3966,3953,119,USD,1.2531,,,,3635000
2023-03-02,90.94,94.4084,90.94,93.39,92.803,6611,120,USD,1.2531,,,,3635000
2023-03-01,91.8,91.91,90.815,91.41,90.8354,5203,121,USD,1.2531,,,,3635000
2023-02-28,91.26,92.5383,88.37,91.78,91.2031,8443,122,USD,1.2531,,,,3635000
2023-02-27,88.32,91.9506,88.32,91.4,90.8255,8046,123,USD,1.2531,,,,3635000
2023-02-24,87.02,87.14,87.02,87.14,86.5922,4464,126,USD,1.2531,,,,3635000
2023-02-23,89.78,89.78,89.78,89.78,89.2157,4406,127,USD,1.2531,,,,3635000
2023-02-22,91.49,91.535,89.07,90.14,89.5734,8580,128,USD,1.2531,,,,3635000
2023-02-21,87.88,92.8,87.88,91.01,90.4379,6801,129,USD,1.2531,,,,3635000
2023-02-17,92.63,95.3,91.0,91.5,90.9248,13514,133,USD,1.2531,,,,3635000
2023-02-16,90.96,93.58,89.64,92.2,91.6204,14906,134,USD,1.2531,,,,3635000
2023-02-15,87.8,91.55,86.53,90.5,89.9311,28569,135,USD,1.2531,,,,3635000
2023-02-14,89.305,89.305,87.52,87.8,87.2481,7081,136,USD,1.2531,,,,3635000
2023-02-13,90.5,90.5,89.13,89.13,88.5697,5453,137,USD,1.2531,,,,3635000
2023-02-10,90.42,91.19,89.7,89.82,89.2554,5301,140,USD,1.2531,,,,3635000
2023-02-09,91.71,91.71,89.6,89.6,89.0368,3613,141,USD,1.2531,,,,3635000
2023-02-08,91.11,91.42,89.83,91.42,90.8453,6809,142,USD,1.2531,,,,3635000
2023-02-07,91.8,93.93,91.01,93.14,92.5545,8666,143,USD,1.2531,,,,3635000
2023-02-06,88.0,92.32,88.0,91.8,91.223,7432,144,USD,1.2531,,,,3635000
2023-02-03,95.47,96.2,94.12,94.12,93.5284,4104,147,USD,1.2531,,,,3635000
2023-02-02,93.155,96.47,93.155,96.47,95.8636,5601,148,USD,1.2531,,,,3635000
2023-02-01,92.0,93.1,92.0,92.69,92.1074,5651,149,USD,1.2531,,,,3635000
2023-01-31,90.7,95.8399,90.025,92.13,91.5509,9053,150,USD,1.2531,,,,3635000
2023-01-30,89.88,91.97,87.03,89.24,88.679,6971,151,USD,1.2531,,,,3635000
2023-01-27,87.99,91.3788,87.0,89.32,88.7585,7525,154,USD,1.2531,,,,3635000
2023-01-26,88.95,90.05,87.79,88.75,88.1921,3456,155,USD,1.2531,,,,3635000
2023-01-25,89.99,91.58,89.4,89.4,88.838,3053,156,USD,1.2531,,,,3635000
2023-01-24,89.66,89.66,89.66,89.66,89.0964,3209,157,USD,1.2531,,,,3635000
2023-01-23,92.95,94.26,90.59,90.59,90.0206,11445,158,USD,1.2531,,,,3635000
2023-01-20,92.76,94.48,90.91,94.3,93.7072,6949,161,USD,1.2531,,,,3635000
2023-01-19,92.77,92.77,90.3,92.4,91.8192,4630,162,USD,1.2531,,,,3635000
2023-01-18,91.9,93.98,90.0649,91.01,90.4379,18792,163,USD,1.2531,,,,3635000
2023-01-17,95.5,95.5,91.8,92.99,92.4055,5293,164,USD,1.2531,,,,3635000
2023-01-13,89.3,92.5,86.75,90.11,89.5436,10646,168,USD,1.2531,,,,3635000
2023-01-12,89.87,91.95,89.18,91.15,90.577,4274,169,USD,1.2531,,,,3635000
2023-01-11,92.74,92.74,87.1341,89.45,88.8877,3895,170,USD,1.2531,,,,3635000
2023-01-10,86.79,90.25,86.79,90.25,89.6827,3378,171,USD,1.2531,,,,3635000
2023-01-09,97.515,100.5818,84.0,88.16,87.6058,68448,172,USD,1.2531,,,,3635000
2023-01-06,99.7,100.99,98.15,99.2,98.5764,3761,175,USD,1.2531,,,,3635000
2023-01-05,100.13,100.13,99.7,99.7,99.0733,1410,176,USD,1.2531,,,,3635000
2023-01-04,100.49,101.41,99.23,100.3,99.6695,5110,177,USD,1.2531,,,,3635000
2023-01-03,101.0,101.0,96.25,97.76,97.1455,9209,178,USD,1.2531,,,,3635000
2022-12-30,96.69,102.4,96.69,100.53,99.8981,13252,182,USD,1.1778,,,,3634000
2022-12-29,94.6285,96.68,94.6,96.68,96.0723,4112,183,USD,1.1778,,,,3634000
2022-12-28,96.195,97.78,93.06,93.06,92.475,6874,184,USD,1.1778,,,,3634000
2022-12-27,94.04,94.78,93.53,93.53,92.9421,2840,185,USD,1.1778,,,,3634000
2022-12-23,93.8,95.7063,93.53,93.55,92.962,6132,189,USD,1.1778,,,,3634000
2022-12-22,96.4,96.825,93.265,95.36,94.7606,3328,190,USD,1.1778,,,,3634000
2022-12-21,95.5,97.79,95.5,97.79,97.1753,2914,191,USD,1.1778,,,,3634000
2022-12-20,93.5801,97.85,93.5801,95.0,94.4028,4655,192,USD,1.1778,,,,3634000
2022-12-19,96.76,96.76,93.125,95.3,94.701,4245,193,USD,1.1778,,,,3634000
2022-12-16,96.5,99.58,95.415,99.58,98.9541,15604,196,USD,1.1778,,,,3634000
2022-12-15,98.805,100.14,94.5,97.2,96.589,5737,197,USD,1.1778,,,,3634000
2022-12-14,98.11,99.58,95.85,95.85,94.9544,4730,198,USD,1.1778,,,,3634000
2022-12-13,100.1,102.56,97.9001,98.04,97.1239,28153,199,USD,1.1778,,,,3634000
