date,open,high,low,close,adjusted_close,volume
2023-06-02,85.0,87.38,84.87,87.15,87.15,37259
2023-06-01,83.81,84.58,83.7423,84.27,84.27,34729
2023-05-31,83.42,84.08,82.81,84.0,84.0,55370
2023-05-30,83.81,84.3899,83.0,84.02,84.02,25314
2023-05-26,83.43,84.55,83.22,83.99,83.99,18802
2023-05-25,83.63,83.72,82.43,83.72,83.72,35899
2023-05-24,83.55,84.95,83.25,83.88,83.88,34169
2023-05-23,84.49,85.4,83.78,84.21,84.21,24644
2023-05-22,83.79,85.12,82.7,84.38,84.38,43111
2023-05-19,83.26,83.987,82.44,83.31,83.31,37585
2023-05-18,81.3,82.6,80.43,82.55,82.55,33993
2023-05-17,79.94,81.97,79.5,81.6,81.3,39065
2023-05-16,81.05,81.19,79.69,79.91,79.6162,30291
2023-05-15,80.85,81.44,80.41,80.76,80.4631,26392
2023-05-12,80.765,81.32,79.91,81.18,80.8815,27580
2023-05-11,81.03,81.03,78.7901,80.49,80.1941,48290
2023-05-10,80.36,81.52,80.08,81.32,81.021,36604
2023-05-09,78.51,80.315,78.51,79.78,79.4867,48609
2023-05-08,80.0,80.48,77.43,79.09,78.7992,57058
2023-05-05,79.17,80.48,77.3675,79.84,79.5465,77885
2023-05-04,79.41,80.75,76.225,78.48,78.1915,115223
2023-05-03,83.55,84.34,82.14,82.53,82.2266,40327
2023-05-02,84.14,84.14,81.28,83.27,82.9639,68217
2023-05-01,83.59,84.72,83.33,84.49,84.1794,31156
2023-04-28,82.46,84.27,82.13,83.61,83.3026,26017
2023-04-27,81.83,82.86,81.64,82.71,82.4059,34646
2023-04-26,82.44,82.44,81.5,82.14,81.838,36952
2023-04-25,84.93,85.01,82.32,82.33,82.0273,30619
2023-04-24,86.67,87.1,85.44,85.56,85.2454,32742
2023-04-21,87.73,87.73,86.355,86.99,86.6702,31901
2023-04-20,88.4,88.72,87.25,87.73,87.4075,13416
2023-04-19,88.34,88.76,87.43,88.5,88.1746,39149
2023-04-18,87.95,89.37,87.495,88.38,88.0551,38463
2023-04-17,87.84,88.58,87.52,88.08,87.7562,24639
2023-04-14,89.1,90.0,87.92,88.03,87.7064,24758
2023-04-13,89.12,89.88,88.5,89.41,89.0813,39980
2023-04-12,89.42,89.57,88.47,89.1,88.7724,36626
2023-04-11,88.5,89.535,87.75,88.96,88.6329,33224
2023-04-10,87.98,89.22,86.38,88.48,88.1547,29766
2023-04-06,87.84,88.86,86.85,88.09,87.7661,35766
2023-04-05,87.71,88.82,87.31,87.42,87.0986,44239
2023-04-04,90.22,91.21,87.09,87.76,87.4374,41201
2023-04-03,88.73,90.66,88.73,90.34,90.0079,49668
2023-03-31,88.69,89.1,87.8,88.64,88.3141,120683
2023-03-30,88.19,89.78,87.86,88.17,87.8458,47190
2023-03-29,87.71,89.06,84.58,88.39,88.065,48703
2023-03-28,86.7,87.92,86.7,87.32,86.999,58005
2023-03-27,86.11,87.5,86.11,86.79,86.4709,27717
2023-03-24,85.05,86.95,85.05,86.46,86.1421,38987
2023-03-23,86.05,87.305,85.45,86.19,85.8731,76044
2023-03-22,86.81,88.255,85.41,85.68,85.365,69412
2023-03-21,86.8,87.8,85.965,86.66,86.3414,67920
2023-03-20,85.75,87.58,85.75,86.13,85.8133,57387
2023-03-17,86.79,88.22,85.11,85.52,85.2056,101768
2023-03-16,84.2,88.24,83.795,86.83,86.5108,104830
2023-03-15,85.64,86.5,84.5006,85.28,84.6676,77773
2023-03-14,87.97,89.875,86.72,87.27,86.6433,93971
2023-03-13,88.43,88.9,86.3,86.89,86.266,85347
2023-03-10,90.91,91.8341,89.35,89.58,88.9367,101507
2023-03-09,91.31,93.33,90.41,91.4,90.7436,152474
2023-03-08,93.21,93.8,89.96,91.15,90.4954,117300
2023-03-07,92.91,93.85,91.5,93.25,92.5803,46264
2023-03-06,91.41,93.72,90.49,92.21,91.5478,142045
2023-03-03,91.62,92.69,89.325,91.6,90.9422,88221
2023-03-02,95.69,99.68,86.83,90.82,90.1678,275123
2023-03-01,96.15,97.325,95.59,96.84,96.1446,114783
2023-02-28,96.92,98.0,95.83,95.98,95.2907,90114
2023-02-27,97.19,98.29,96.33,96.63,95.9361,66706
2023-02-24,96.88,97.3,96.05,96.78,96.085,57369
2023-02-23,98.12,98.9,96.87,97.4,96.7005,52697
2023-02-22,98.48,98.97,97.0,97.42,96.7204,52453
2023-02-21,98.58,100.01,98.05,98.07,97.3657,62531
2023-02-17,98.94,100.8473,98.22,99.17,98.4578,48409
2023-02-16,97.43,99.62,96.66,98.5,97.7926,48878
2023-02-15,95.58,98.75,94.92,98.18,97.4749,39752
2023-02-14,95.34,96.66,94.72,95.65,94.9631,71382
2023-02-13,95.74,96.98,94.61,96.14,95.4496,55629
2023-02-10,95.04,96.7,95.04,95.48,94.7943,48936
2023-02-09,96.34,97.675,93.77,95.02,94.3376,95007
2023-02-08,97.98,98.42,95.92,96.1,95.4099,53670
2023-02-07,97.5,98.8,96.83,98.38,97.6735,71580
2023-02-06,99.5,99.65,97.22,97.51,96.8097,48646
2023-02-03,97.82,100.16,97.32,99.31,98.5968,51535
2023-02-02,96.9,98.74,95.91,98.39,97.6834,48932
2023-02-01,98.53,98.78,95.0,96.86,96.1644,58794
2023-01-31,96.88,99.38,96.03,99.38,98.6663,59298
2023-01-30,95.7,97.35,95.26,96.2,95.5092,45256
2023-01-27,96.78,97.21,95.48,95.66,94.973,51983
2023-01-26,95.98,96.83,95.18,96.72,96.0254,38147
2023-01-25,95.46,96.35,94.89,95.73,95.0425,47810
2023-01-24,95.43,96.26,94.7,95.67,94.983,43287
2023-01-23,96.27,96.84,94.62,95.29,94.6057,55057
2023-01-20,95.49,96.748,94.79,95.68,94.9929,43412
2023-01-19,94.9,96.25,94.48,95.38,94.695,51773
2023-01-18,97.89,98.32,95.18,95.66,94.973,67892
2023-01-17,97.3,98.28,97.02,97.2,96.502,48532
2023-01-13,96.15,97.7,95.6,97.53,96.8296,35648
2023-01-12,96.04,96.99,95.0,96.92,96.224,57525
2023-01-11,95.36,96.05,95.0,95.36,94.6752,35379
2023-01-10,92.88,95.61,91.87,95.32,94.6355,36188
2023-01-09,94.24,94.51,92.45,92.97,92.3023,67377
2023-01-06,91.39,94.495,90.57,94.3,93.6228,73892
2023-01-05,92.19,92.19,90.11,90.5,89.8501,45034
2023-01-04,93.28,94.2,92.31,92.44,91.7762,39606
2023-01-03,93.18,94.35,92.09,92.99,92.3222,53645
2022-12-30,93.18,93.6,92.03,93.28,92.6101,50943
2022-12-29,91.94,93.62,91.2,93.48,92.8087,63607
2022-12-28,93.3,93.7638,91.57,91.57,90.9124,36597
2022-12-27,94.9,94.9,92.42,93.0,92.3321,30756
2022-12-23,93.45,94.78,93.45,94.37,93.6923,10510
2022-12-22,96.37,97.14,93.17,93.37,92.6995,68452
2022-12-21,94.96,96.76,94.96,96.7,96.0056,32265
2022-12-20,93.18,94.47,92.74,94.34,93.6625,46549
2022-12-19,92.25,93.59,92.04,92.92,92.2527,51237
2022-12-16,92.43,93.29,91.91,92.5,91.8357,94713
2022-12-15,94.31,94.49,92.21,92.83,92.1634,43191
2022-12-14,94.58,96.02,94.265,94.99,94.3078,30244
2022-12-13,95.47,95.47,93.23,95.14,94.4568,46347
2022-12-12,93.4,93.884,92.83,93.49,92.8186,45533
2022-12-09,94.46,95.55,92.92,93.4,92.7293,49500
2022-12-08,95.73,95.73,93.43,94.62,93.9405,39563
2022-12-07,97.78,98.1,95.29,95.57,94.8837,40923
2022-12-06,97.0,98.2017,96.72,97.66,96.9587,39520
2022-12-05,98.97,98.99,95.64,97.45,96.7502,76755
2022-12-02,98.63,100.79,97.24,99.5,98.7855,43560
2022-12-01,98.9,99.19,97.44,99.19,98.4777,55958
2022-11-30,96.14,98.33,95.04,98.33,97.6239,58369
2022-11-29,97.8,97.8,95.85,96.14,95.4496,23581
2022-11-28,98.58,98.83,97.14,97.27,96.5715,44021
2022-11-25,97.89,99.51,97.63,98.69,97.9813,20313
2022-11-23,98.73,99.52,97.7,98.13,97.4253,32076
2022-11-22,97.4,99.02,97.27,98.46,97.7529,40132
2022-11-21,96.34,97.695,96.34,97.48,96.78,63425
2022-11-18,96.66,96.92,95.89,96.74,96.0453,62636
2022-11-17,94.0,97.73,94.0,95.61,94.9234,68591
2022-11-16,96.13,96.13,94.66,95.06,94.0795,38189
