date,open,high,low,close,adjusted_close,volume
2023-06-02,79.32,81.99,75.3948,81.99,81.7063,23151
2023-06-01,76.97,80.0,76.97,78.81,78.5373,14765
2023-05-31,76.06,77.04,74.32,76.12,75.8566,19290
2023-05-30,75.26,77.01,73.5101,76.79,76.5243,7944
2023-05-26,75.3,75.945,75.185,75.82,75.5576,8680
2023-05-25,74.9,74.9,73.53,74.16,73.9034,9569
2023-05-24,76.3,76.3,74.01,75.83,75.5676,13501
2023-05-23,72.25,77.51,69.71,76.15,75.8865,19257
2023-05-22,69.74,72.385,69.74,71.7,71.4519,13882
2023-05-19,71.4,71.4,68.6,69.22,68.9805,14218
2023-05-18,70.6,70.88,68.63,70.4,70.1564,19481
2023-05-17,67.91,71.035,67.8,70.82,70.5749,17951
2023-05-16,68.55,68.55,67.66,67.66,67.4259,8007
2023-05-15,67.8,68.9899,67.8,67.85,67.6152,9875
2023-05-12,67.72,68.28,67.02,68.04,67.8046,12065
2023-05-11,68.33,68.595,68.2,68.28,68.0437,9466
2023-05-10,69.57,69.57,67.98,69.11,68.8709,16677
2023-05-09,68.085,69.105,67.76,68.48,68.243,9126
2023-05-08,69.0,69.0,67.645,68.1,67.8644,10862
2023-05-05,68.12,69.45,68.03,68.97,68.7313,15450
2023-05-04,66.21,67.51,65.0,67.44,67.2066,20039
2023-05-03,66.695,68.965,66.65,66.84,66.6087,21327
2023-05-02,68.4,68.4,65.05,66.38,66.1503,18775
2023-05-01,68.55,68.55,67.545,68.5,68.263,15353
2023-04-28,69.9799,69.9799,68.02,68.39,68.1534,20290
2023-04-27,67.99,68.14,67.1,67.84,67.6053,14792
2023-04-26,65.53,67.08,65.53,67.08,66.8479,15611
2023-04-25,66.89,68.8499,65.225,66.26,66.0307,13703
2023-04-24,68.21,68.21,67.15,67.38,67.1469,10311
2023-04-21,67.28,68.0,66.81,67.99,67.7547,22347
2023-04-20,68.25,68.25,66.47,67.44,67.2066,13160
2023-04-19,66.93,68.4,66.93,67.84,67.6053,14020
2023-04-18,69.33,69.33,67.26,67.26,67.0273,12517
2023-04-17,69.64,70.15,67.8244,69.51,69.2695,22962
2023-04-14,68.3,68.75,67.59,68.5,68.263,18082
2023-04-13,69.57,70.12,69.15,69.87,69.6282,17264
2023-04-12,68.9595,69.62,68.9595,69.3,69.0602,10810
2023-04-11,70.5,70.74,69.84,70.44,70.1963,22134
2023-04-10,67.72,70.83,67.6601,70.24,69.997,45982
2023-04-06,68.7,69.0053,67.61,67.92,67.685,17373
2023-04-05,68.66,74.94,67.07,68.11,67.8743,17278
2023-04-04,73.41,74.0,68.1,68.44,68.2032,32771
2023-04-03,73.16,74.49,72.455,74.0,73.7439,37830
2023-03-31,72.04,73.74,71.77,73.58,73.3254,56479
2023-03-30,72.0,72.0001,70.2,71.54,71.2925,25932
2023-03-29,73.82,74.1,68.06,72.45,72.1993,31496
2023-03-28,73.3,74.03,73.2,73.84,73.5845,35639
2023-03-27,74.74,74.74,73.455,73.87,73.6144,25744
2023-03-24,73.19,74.465,72.92,73.99,73.734,43461
2023-03-23,73.39,74.34,72.78,73.26,73.0065,23948
2023-03-22,74.97,75.27,73.71,74.57,74.312,38339
2023-03-21,76.23,78.09,74.33,74.98,74.7206,51313
2023-03-20,74.06,75.81,73.96,75.47,74.9597,49993
2023-03-17,73.1,77.64,72.48,73.54,73.0428,84543
2023-03-16,71.36,74.46,67.73,73.63,73.1322,46684
2023-03-15,71.14,72.52,68.23,72.4,71.9105,37854
2023-03-14,73.5,75.48,72.59,72.59,72.0992,25457
2023-03-13,72.71,72.71,70.9488,71.57,71.0861,31042
2023-03-10,76.0,78.7199,73.05,74.4,73.897,24203
2023-03-09,77.61,79.61,75.63,76.9,76.3801,23414
2023-03-08,79.0,79.0,77.85,77.85,77.3236,9712
2023-03-07,78.71,79.41,77.93,79.41,78.8731,15755
2023-03-06,78.37,78.65,78.0593,78.35,77.8203,9977
2023-03-03,78.91,79.22,78.55,78.8,78.2672,7881
2023-03-02,79.86,80.3,78.22,79.63,79.0916,21534
2023-03-01,80.8,80.8,79.54,79.54,79.0022,13414
2023-02-28,81.57,82.4877,79.88,81.53,80.9787,42567
