date,open,high,low,close,adjusted_close,volume
2023-06-02,5.48,5.78,5.35,5.76,5.76,145000
2023-06-01,5.64,5.69,5.37,5.43,5.43,241700
2023-05-31,6.0,6.09,5.6,5.63,5.63,137700
2023-05-30,6.26,6.26,5.875,5.99,5.99,113900
2023-05-26,6.95,6.95,6.06,6.13,6.13,145100
2023-05-25,7.49,7.49,6.93,6.95,6.95,111600
2023-05-24,7.6,7.625,7.25,7.53,7.53,167507
2023-05-23,7.53,7.7058,7.31,7.64,7.64,195393
2023-05-22,7.26,7.675,7.01,7.52,7.52,201702
2023-05-19,7.1,7.27,7.075,7.2,7.2,255800
2023-05-18,6.81,7.07,6.77,6.98,6.98,175100
2023-05-17,6.3,6.9,6.27,6.84,6.84,194700
2023-05-16,6.66,6.66,6.19,6.28,6.28,217300
2023-05-15,6.64,6.94,6.64,6.81,6.81,135200
2023-05-12,6.42,6.78,6.42,6.64,6.64,221100
2023-05-11,6.65,6.77,6.3,6.37,6.37,164300
2023-05-10,7.67,8.47,6.63,6.67,6.67,318600
2023-05-09,7.53,7.7,7.43,7.55,7.55,163000
2023-05-08,7.57,7.68,7.35,7.6,7.6,268800
2023-05-05,7.61,7.99,7.56,7.58,7.58,439100
2023-05-04,7.37,7.64,7.325,7.58,7.58,241500
2023-05-03,6.84,7.27,6.84,7.19,7.19,219000
2023-05-02,7.01,7.1,6.78,6.83,6.83,254300
2023-05-01,6.48,7.15,6.46,7.06,7.06,254500
2023-04-28,6.46,6.54,6.09,6.45,6.45,294200
2023-04-27,6.68,6.68,6.36,6.47,6.47,181300
2023-04-26,6.32,6.72,6.19,6.67,6.67,211100
2023-04-25,6.17,6.42,6.15,6.32,6.32,249900
2023-04-24,6.06,6.39,5.81,6.19,6.19,240600
2023-04-21,5.56,6.13,5.465,6.09,6.09,289200
2023-04-20,5.27,5.628,5.17,5.59,5.59,1241500
2023-04-19,5.12,5.34,5.06,5.3,5.3,421500
2023-04-18,5.23,5.29,5.09,5.2,5.2,245500
2023-04-17,5.22,5.25,4.98,5.19,5.19,478200
2023-04-14,5.32,5.42,5.16,5.19,5.19,261800
2023-04-13,5.0,5.31,4.995,5.3,5.3,307900
2023-04-12,5.1,5.21,4.9,4.99,4.99,179600
2023-04-11,5.16,5.325,5.03,5.06,5.06,211800
2023-04-10,5.45,5.45,5.18,5.2,5.2,212300
2023-04-06,5.5,5.5,5.295,5.435,5.435,470300
2023-04-05,5.95,5.95,5.41,5.445,5.445,649000
2023-04-04,6.05,6.05,5.36,5.57,5.57,328000
2023-04-03,5.76,6.016,5.66,6.01,6.01,364600
2023-03-31,5.73,5.935,5.71,5.77,5.77,204900
2023-03-30,5.85,5.94,5.59,5.7,5.7,258800
2023-03-29,5.55,5.83,5.534,5.8,5.8,266500
2023-03-28,5.8,5.96,5.49,5.5,5.5,306800
2023-03-27,5.86,6.03,5.58,5.78,5.78,368200
2023-03-24,6.09,6.225,5.735,5.81,5.81,241600
2023-03-23,6.29,6.34,5.99,6.17,6.17,265000
2023-03-22,6.25,6.42,6.08,6.24,6.24,308500
2023-03-21,6.59,6.59,6.205,6.23,6.23,383500
2023-03-20,6.53,6.72,6.495,6.52,6.52,576400
2023-03-17,6.91,6.92,6.35,6.48,6.48,3830000
2023-03-16,6.96,7.16,6.715,7.03,7.03,516400
2023-03-15,7.23,7.58,6.91,7.01,7.01,669300
2023-03-14,7.18,7.31,6.88,7.07,7.07,642500
2023-03-13,6.39,7.2,6.235,7.05,7.05,912600
