date,open,high,low,close,adjusted_close,volume
2023-06-02,179.81,184.6,178.18,184.46,184.46,144400
2023-06-01,174.74,179.92,174.05,179.12,179.12,151400
2023-05-31,170.74,175.84,168.26,174.89,174.89,208000
2023-05-30,172.6,173.07,170.51,170.97,170.97,128700
2023-05-26,174.03,176.34,172.49,173.24,173.24,105500
2023-05-25,179.87,179.87,173.51,174.13,174.13,113400
2023-05-24,184.25,184.26,180.0,181.11,181.11,249117
2023-05-23,191.5,191.91,184.08,184.93,184.93,148648
2023-05-22,190.17,193.515,188.93,191.77,191.77,84653
2023-05-19,190.14,192.63,188.68,190.14,190.14,144400
2023-05-18,188.52,189.57,184.53,187.85,187.85,217300
2023-05-17,196.88,196.88,189.68,190.02,190.02,264000
2023-05-16,197.68,200.05,196.14,196.63,196.63,109800
2023-05-15,200.8,203.4,198.77,199.19,199.19,124500
2023-05-12,202.28,202.28,197.8,200.71,200.71,108800
2023-05-11,207.83,208.48,201.11,202.05,202.05,175900
2023-05-10,209.02,210.9,202.42,207.98,207.98,392000
2023-05-09,192.74,212.43,190.81,209.15,209.15,815900
2023-05-08,185.18,187.11,181.46,184.04,184.04,243600
2023-05-05,187.09,188.44,184.29,184.67,184.67,228400
2023-05-04,186.56,186.56,183.64,185.13,185.13,272000
2023-05-03,187.97,192.15,187.38,187.66,187.66,138800
2023-05-02,189.12,190.29,185.98,187.67,187.67,117800
2023-05-01,188.99,190.86,187.22,190.45,190.45,119800
2023-04-28,188.13,191.63,187.72,189.14,189.14,136700
2023-04-27,181.87,189.46,173.99,188.45,188.45,133100
2023-04-26,180.12,181.46,178.3,181.17,181.17,109400
2023-04-25,181.87,184.95,180.24,180.24,180.24,155100
2023-04-24,181.27,183.51,180.63,183.31,183.31,138800
2023-04-21,176.88,181.4,175.83,181.08,181.08,101800
2023-04-20,175.84,177.56,174.98,175.88,175.88,60500
2023-04-19,174.0,177.51,173.27,176.95,176.95,71200
2023-04-18,175.3,175.35,172.48,174.49,174.49,136300
2023-04-17,176.2,176.2,172.19,174.39,174.39,103800
2023-04-14,175.06,175.9,173.61,175.72,175.72,112900
2023-04-13,172.42,175.81,171.06,175.52,175.52,199800
2023-04-12,176.37,177.44,171.23,171.28,171.28,155300
2023-04-11,174.18,177.415,173.12,175.32,175.32,181827
2023-04-10,170.42,173.83,170.42,173.41,173.41,122839
2023-04-06,168.93,171.1,167.76,170.76,170.76,121900
2023-04-05,166.7,171.06,165.87,169.45,169.45,278800
2023-04-04,160.97,167.61,160.02,167.29,167.29,287300
2023-04-03,164.5,164.89,160.87,161.03,161.03,217500
2023-03-31,164.09,165.9,164.09,164.96,164.96,224700
2023-03-30,165.79,165.79,163.05,164.09,164.09,233100
2023-03-29,157.38,164.44,153.28,164.16,164.16,458000
2023-03-28,156.46,158.25,154.88,156.0,156.0,82900
2023-03-27,157.74,159.43,156.11,157.14,157.14,101300
