date,open,high,low,close,adjusted_close,volume
2023-06-02,2.22,2.3,2.15,2.26,2.26,2207700
2023-06-01,2.27,2.28,2.17,2.2,2.2,1562800
2023-05-31,2.2,2.419,2.195,2.26,2.26,1614300
2023-05-30,2.32,2.41,2.205,2.22,2.22,1968200
2023-05-26,2.4,2.455,2.315,2.32,2.32,1505000
2023-05-25,2.5,2.53,2.34,2.41,2.41,1610500
2023-05-24,2.59,2.59,2.44,2.5,2.5,2686800
2023-05-23,2.53,2.67,2.522,2.59,2.59,2001200
2023-05-22,2.47,2.59,2.435,2.53,2.53,1574500
2023-05-19,2.45,2.53,2.41,2.45,2.45,1721600
2023-05-18,2.39,2.49,2.325,2.41,2.41,2840500
2023-05-17,2.38,2.45,2.28,2.45,2.45,2258700
2023-05-16,2.41,2.465,2.32,2.38,2.38,2562700
2023-05-15,2.48,2.57,2.42,2.48,2.48,1440300
2023-05-12,2.69,2.69,2.45,2.47,2.47,1528800
2023-05-11,2.65,2.76,2.581,2.65,2.65,2900600
2023-05-10,2.57,2.79,2.57,2.7,2.7,4264200
2023-05-09,2.45,2.57,2.36,2.49,2.49,3224600
2023-05-08,2.7,2.76,2.44,2.5,2.5,4475100
2023-05-05,2.84,2.91,2.601,2.71,2.71,5665000
2023-05-04,3.35,3.39,2.62,2.77,2.77,10110100
2023-05-03,3.6,3.775,3.51,3.66,3.66,2764100
2023-05-02,3.84,3.86,3.51,3.58,3.58,1808600
2023-05-01,3.55,3.865,3.55,3.85,3.85,2471800
2023-04-28,3.47,3.64,3.37,3.58,3.58,1137100
2023-04-27,3.62,3.76,3.41,3.5,3.5,1743100
2023-04-26,3.77,3.81,3.47,3.59,3.59,1820800
2023-04-25,4.02,4.09,3.63,3.75,3.75,2746500
2023-04-24,4.06,4.11,3.925,4.09,4.09,1728000
2023-04-21,3.81,4.09,3.78,4.09,4.09,2112900
2023-04-20,4.05,4.08,3.72,3.8,3.8,2876100
2023-04-19,4.18,4.3,3.905,4.14,4.14,2870100
2023-04-18,4.66,4.705,3.85,4.15,4.15,4532300
2023-04-17,4.35,4.87,4.31,4.59,4.59,2853800
2023-04-14,4.24,4.69,4.14,4.32,4.32,3611600
2023-04-13,3.87,4.43,3.82,4.32,4.32,2305800
2023-04-12,4.19,4.272,3.81,3.82,3.82,1540600
2023-04-11,3.89,4.195,3.89,4.16,4.16,2153200
2023-04-10,4.05,4.095,3.82,3.89,3.89,2489500
2023-04-06,3.87,4.21,3.82,4.1,4.1,2093900
2023-04-05,3.93,4.02,3.865,3.91,3.91,1126200
2023-04-04,3.97,4.035,3.805,3.93,3.93,1902400
2023-04-03,3.87,4.17,3.87,3.97,3.97,2189400
2023-03-31,3.51,3.91,3.48,3.89,3.89,2027300
2023-03-30,4.06,4.06,3.5,3.52,3.52,2447200
2023-03-29,3.54,3.95,3.51,3.92,3.92,3695200
2023-03-28,3.46,3.63,3.435,3.51,3.51,2177100
2023-03-27,3.28,3.55,3.251,3.49,3.49,1716100
2023-03-24,3.22,3.33,3.11,3.32,3.32,1802200
2023-03-23,3.26,3.38,3.12,3.22,3.22,2185200
2023-03-22,3.48,3.48,3.22,3.24,3.24,2672800
2023-03-21,3.52,3.57,3.425,3.48,3.48,2943300
2023-03-20,3.34,3.59,3.215,3.53,3.53,3246300
