date,open,high,low,close,adjusted_close,volume
2023-06-02,13.59,14.23,13.58,14.21,14.0725,407838
2023-06-01,13.15,13.47,12.99,13.35,13.2209,254883
2023-05-31,13.26,13.3,12.92,13.01,12.8842,302108
2023-05-30,13.42,13.44,13.12,13.35,13.2209,233385
2023-05-26,13.21,13.43,13.07,13.42,13.2902,136559
2023-05-25,13.19,13.37,13.12,13.26,13.1317,135056
2023-05-24,13.49,13.5,13.3,13.35,13.2209,240914
2023-05-23,13.43,13.9,13.36,13.57,13.4387,194495
2023-05-22,13.1,13.5,12.97,13.47,13.3397,131388
2023-05-19,13.63,13.71,12.89,13.02,12.8941,156042
2023-05-18,13.2,13.42,12.92,13.36,13.2308,302244
2023-05-17,12.5,13.28,12.3,13.28,13.1515,300713
2023-05-16,12.48,12.58,12.21,12.21,12.0919,153252
2023-05-15,12.33,12.55,12.26,12.46,12.3395,153315
2023-05-12,12.38,12.38,12.14,12.26,12.1414,198233
2023-05-11,12.13,12.43,12.13,12.3,12.181,218300
2023-05-10,12.2,12.52,12.19,12.33,12.2107,263801
2023-05-09,12.36,12.5,12.17,12.41,12.29,259670
2023-05-08,12.94,12.99,12.45,12.46,12.3395,262001
2023-05-05,12.52,12.88,12.515,12.79,12.6663,348295
2023-05-04,12.48,12.7,11.89,12.37,12.1067,597730
2023-05-03,12.77,13.29,12.72,12.9,12.6255,419029
2023-05-02,13.89,13.89,12.8,12.81,12.5374,274221
2023-05-01,14.25,14.4,13.83,13.95,13.6531,185143
2023-04-28,14.33,14.66,14.13,14.34,14.0348,450433
2023-04-27,14.2,14.5,14.2,14.4,14.0935,148629
2023-04-26,14.04,14.39,14.04,14.235,13.9321,379941
2023-04-25,14.61,14.67,14.15,14.19,13.888,124001
2023-04-24,14.77,15.03,14.7,14.75,14.4361,99413
2023-04-21,14.92,14.97,14.65,14.78,14.4655,170697
2023-04-20,14.91,15.06,14.79,14.98,14.6612,109695
2023-04-19,14.69,15.215,14.6,15.1,14.7786,174859
2023-04-18,14.96,14.96,14.56,14.67,14.3578,182556
2023-04-17,14.69,14.98,14.59,14.98,14.6612,172772
2023-04-14,15.29,15.3,14.67,14.75,14.4361,239564
2023-04-13,14.92,15.2,14.76,15.12,14.7982,233032
2023-04-12,15.11,15.2,14.84,14.91,14.5927,471106
2023-04-11,15.2,15.423,14.975,14.99,14.671,567685
2023-04-10,14.94,15.29,14.82,15.14,14.8178,427988
2023-04-06,14.89,15.0,14.72,14.98,14.6612,365881
2023-04-05,14.78,15.05,14.69,14.72,14.4067,715961
2023-04-04,15.7,15.7,14.89,15.02,14.7003,253895
2023-04-03,15.76,15.88,15.43,15.59,15.2582,194066
2023-03-31,15.61,15.69,15.45,15.64,15.3072,411999
2023-03-30,16.03,16.0865,15.43,15.51,15.1799,315484
2023-03-29,16.12,16.14,15.665,15.9,15.5616,207316
2023-03-28,16.0,16.13,15.68,15.9,15.5616,167785
2023-03-27,16.5,16.5,15.96,15.99,15.6497,279599
2023-03-24,15.03,16.1,15.03,16.1,15.7574,232063
2023-03-23,16.22,16.2395,15.51,15.54,15.2093,358494
2023-03-22,16.74,16.74,15.92,15.92,15.5812,381768
2023-03-21,16.77,17.19,16.675,16.69,16.3348,406555
2023-03-20,16.67,16.98,16.16,16.35,16.002,483753
2023-03-17,16.93,16.93,16.23,16.44,16.0901,989715
2023-03-16,16.68,17.59,16.45,17.14,16.7752,658240
2023-03-15,16.28,17.32,16.13,17.02,16.6578,642892
2023-03-14,17.72,17.72,16.71,16.85,16.4914,600544
2023-03-13,16.35,17.04,15.63,16.3,15.9531,779267
2023-03-10,17.12,17.55,16.73,17.17,16.8046,588445
2023-03-09,18.38,18.38,17.34,17.39,17.0199,215323
2023-03-08,18.34,18.55,18.27,18.5,18.1063,218605
2023-03-07,18.77,18.79,18.12,18.26,17.8714,283466
2023-03-06,19.23,19.25,18.71,18.79,18.3901,181161
2023-03-03,19.01,19.37,18.92,19.24,18.8305,227865
2023-03-02,18.97,19.09,18.8144,19.06,18.6544,185516
2023-03-01,19.16,19.2,18.98,19.1,18.6935,195225
2023-02-28,19.28,19.48,19.21,19.25,18.8403,305218
2023-02-27,19.38,19.51,19.28,19.32,18.9088,92230
2023-02-24,19.03,19.27,19.03,19.2,18.7914,229155
2023-02-23,19.16,19.36,19.06,19.26,18.8501,118399
2023-02-22,19.43,19.52,19.09,19.15,18.7425,232349
2023-02-21,19.63,19.63,19.28,19.36,18.948,333442
2023-02-17,19.65,19.78,19.55,19.7,19.2808,308545
2023-02-16,19.41,19.63,19.24,19.51,19.0948,207016
2023-02-15,19.2,19.55,19.16,19.47,19.0556,226571
2023-02-14,19.75,19.75,19.3086,19.36,18.948,124587
2023-02-13,19.61,19.74,19.58,19.69,19.271,275445
2023-02-10,19.52,19.68,19.47,19.63,19.2122,171107
2023-02-09,19.87,20.0,19.46,19.52,19.1046,111933
2023-02-08,19.72,19.94,19.62,19.81,19.3884,188264
2023-02-07,19.47,20.02,19.47,19.95,19.5254,251030
2023-02-06,19.75,19.75,19.54,19.62,19.2025,113979
2023-02-03,19.75,19.88,19.64,19.78,19.359,180022
2023-02-02,19.58,19.82,19.44,19.79,19.2269,210527
2023-02-01,19.26,19.88,19.16,19.61,19.052,505669
2023-01-31,18.7,19.315,18.7,19.27,18.7217,333182
2023-01-30,18.85,18.96,18.58,18.71,18.1777,136805
2023-01-27,18.34,19.05,18.34,18.98,18.44,229447
2023-01-26,18.48,18.55,18.205,18.42,17.8959,127071
2023-01-25,18.2,18.37,18.055,18.33,17.8085,132803
2023-01-24,18.46,18.46,18.25,18.34,17.8182,100713
2023-01-23,18.36,18.57,18.31,18.47,17.9445,125944
2023-01-20,18.17,18.4,17.88,18.4,17.8765,214822
2023-01-19,17.8,18.035,17.76,18.03,17.517,131177
2023-01-18,18.23,18.28,17.88,17.95,17.4393,191349
2023-01-17,18.26,18.53,18.26,18.41,17.8862,112778
2023-01-13,18.14,18.54,18.0,18.46,17.9348,125999
2023-01-12,18.02,18.46,18.02,18.36,17.8376,503061
2023-01-11,18.01,18.17,17.96,18.13,17.6142,137136
2023-01-10,17.74,18.08,17.7,18.04,17.5267,140569
2023-01-09,18.06,18.16,17.735,17.8,17.2935,104042
2023-01-06,17.81,18.03,17.7464,17.99,17.4781,132828
2023-01-05,17.76,17.87,17.44,17.57,17.0701,111444
2023-01-04,17.83,18.025,17.74,17.89,17.381,176489
2023-01-03,17.84,17.84,17.53,17.68,17.177,161080
2022-12-30,17.72,17.82,17.53,17.61,17.1089,99787
2022-12-29,17.56,17.86,17.56,17.79,17.2838,105312
2022-12-28,17.65,17.78,17.53,17.58,17.0798,109981
2022-12-27,17.68,17.82,17.6,17.67,17.1672,49551
2022-12-23,17.61,17.73,17.58,17.66,17.1575,57718
2022-12-22,17.63,17.69,17.37,17.58,17.0798,176589
2022-12-21,17.49,17.77,17.49,17.71,17.2061,100559
2022-12-20,17.29,17.505,17.26,17.41,16.9146,206994
2022-12-19,17.06,17.44,17.06,17.31,16.8175,231785
2022-12-16,17.29,17.41,16.98,16.99,16.5066,564366
2022-12-15,17.45,17.59,17.2,17.26,16.7689,181633
2022-12-14,18.1,18.31,17.62,17.62,17.1187,213570
2022-12-13,18.58,18.81,18.08,18.2,17.6822,501992
2022-12-12,18.23,18.39,17.98,18.24,17.721,331254
2022-12-09,18.09,18.35,18.03,18.29,17.7696,170020
2022-12-08,18.29,18.4,18.11,18.2,17.6822,127254
2022-12-07,18.25,18.3,18.1,18.15,17.6336,136443
2022-12-06,18.25,18.42,18.11,18.23,17.7113,161896
2022-12-05,18.52,18.66,18.08,18.23,17.7113,128316
2022-12-02,18.4,18.71,18.37,18.68,18.1485,115645
2022-12-01,18.82,18.82,18.34,18.55,18.0222,194430
2022-11-30,18.38,18.69,18.12,18.68,18.1485,206025
2022-11-29,18.21,18.41,18.21,18.37,17.8473,75150
2022-11-28,18.6,18.72,18.255,18.29,17.7696,263730
2022-11-25,18.77,18.95,18.77,18.84,18.304,39067
2022-11-23,18.76,18.84,18.66,18.79,18.2554,75152
2022-11-22,18.69,18.9099,18.69,18.8,18.2651,145479
2022-11-21,18.39,18.69,18.37,18.69,18.1582,169948
2022-11-18,18.85,18.85,18.41,18.46,17.9348,194837
2022-11-17,18.57,18.57,18.36,18.49,17.9639,124661
2022-11-16,18.85,18.85,18.53,18.58,18.0513,148859
2022-11-15,18.94,19.06,18.67,18.78,18.2457,258841
2022-11-14,18.8,18.99,18.71,18.79,18.2554,706218
2022-11-11,18.92,19.06,18.69,18.8,18.2651,158211
2022-11-10,18.53,19.05,18.42,18.92,18.3817,243691
2022-11-09,18.46,18.67,18.18,18.28,17.7599,229338
2022-11-08,18.67,18.77,18.37,18.49,17.9639,249794
2022-11-07,18.8,18.8,18.41,18.56,18.0319,203127
2022-11-04,18.18,18.69,18.11,18.68,18.1485,236039
2022-11-03,18.01,18.14,17.81,18.07,17.415,128331
2022-11-02,18.52,18.67,18.09,18.2,17.5403,171938
2022-11-01,18.65,18.83,18.555,18.59,17.9161,468582
2022-10-31,18.36,18.685,18.31,18.65,17.974,338829
2022-10-28,17.36,18.495,17.2773,18.46,17.7908,332826
2022-10-27,17.67,17.67,17.19,17.23,16.6054,241412
