date,open,high,low,close,adjusted_close,volume
2023-06-02,8.66,8.66,8.09,8.15,8.15,428300
2023-06-01,8.2,8.7,8.0,8.25,8.25,537200
2023-05-31,8.04,8.32,8.0,8.19,8.19,269700
2023-05-30,7.98,8.19,7.83,8.01,8.01,273400
2023-05-26,8.38,8.46,7.5,7.94,7.94,529700
2023-05-25,8.2,9.1,8.1,8.35,8.35,797600
2023-05-24,7.83,8.66,7.38,8.36,8.36,1458600
2023-05-23,6.0,9.5,5.91,8.05,8.05,15417600
2023-05-22,5.74,5.74,5.14,5.36,5.36,370300
2023-05-19,5.33,5.67,5.21,5.64,5.64,262100
2023-05-18,4.96,5.74,4.9,5.24,5.24,294900
2023-05-17,4.53,5.04,4.43,4.98,4.98,315200
2023-05-16,4.31,4.54,4.22,4.52,4.52,75900
2023-05-15,4.33,4.41,4.13,4.28,4.28,146800
2023-05-12,4.42,4.42,4.13,4.3,4.3,159900
2023-05-11,4.54,4.54,4.26,4.37,4.37,155400
2023-05-10,4.42,4.55,4.33,4.51,4.51,88300
2023-05-09,4.43,4.72,4.22,4.4,4.4,187100
2023-05-08,4.47,4.5,4.34,4.47,4.47,100000
2023-05-05,4.47,4.59,4.34,4.4,4.4,96100
2023-05-04,4.44,4.53,4.23,4.35,4.35,131100
2023-05-03,4.38,4.6,4.35,4.4,4.4,168100
2023-05-02,4.23,4.33,4.13,4.3,4.3,156100
2023-05-01,4.23,4.39,4.18,4.24,4.24,82700
2023-04-28,4.39,4.43,4.18,4.25,4.25,157800
2023-04-27,4.22,4.37,4.06,4.35,4.35,193300
2023-04-26,4.3,4.39,4.2,4.22,4.22,296000
2023-04-25,4.35,4.42,4.14,4.38,4.38,292900
2023-04-24,4.32,4.57,4.3,4.36,4.36,341500
2023-04-21,3.89,4.42,3.89,4.37,4.37,288300
2023-04-20,3.78,4.05,3.78,3.93,3.93,213800
2023-04-19,3.84,3.96,3.81,3.9,3.9,160600
2023-04-18,3.93,3.97,3.69,3.84,3.84,196500
2023-04-17,3.74,4.0,3.73,3.94,3.94,413900
2023-04-14,3.93,4.11,3.7,3.83,3.83,389200
2023-04-13,3.85,4.0,3.76,3.98,3.98,173400
2023-04-12,3.85,3.9,3.69,3.78,3.78,368900
2023-04-11,3.65,3.98,3.65,3.82,3.82,276000
2023-04-10,3.72,3.87,3.69,3.74,3.74,322400
2023-04-06,3.81,3.87,3.61,3.83,3.83,305900
2023-04-05,3.57,3.81,3.54,3.71,3.71,374400
2023-04-04,3.6,3.62,3.4,3.5,3.5,290900
2023-04-03,3.84,3.89,3.55,3.67,3.67,392000
2023-03-31,3.82,3.97,3.72,3.78,3.78,486100
2023-03-30,3.36,3.82,3.36,3.79,3.79,500900
2023-03-29,3.32,3.42,3.18,3.37,3.37,308700
2023-03-28,3.2,3.49,3.09,3.32,3.32,299900
2023-03-27,3.11,3.26,3.01,3.21,3.21,492200
2023-03-24,2.96,3.14,2.76,3.12,3.12,571600
2023-03-23,3.22,3.31,2.89,3.04,3.04,876400
2023-03-22,3.28,3.49,3.19,3.26,3.26,1340500
2023-03-21,2.97,3.6,2.7,3.25,3.25,4799500
2023-03-20,1.81,3.14,1.8,3.1,3.1,32348200
2023-03-17,3.3,3.5,1.52,1.67,1.67,3935200
2023-03-16,5.0,5.14,4.95,5.11,5.11,125600
2023-03-15,5.2,5.2,4.94,5.01,5.01,159900
2023-03-14,5.21,5.47,5.13,5.32,5.32,169000
2023-03-13,4.64,5.28,4.58,5.04,5.04,201500
2023-03-10,4.77,4.84,4.48,4.58,4.58,204900
2023-03-09,5.13,5.32,4.74,4.8,4.8,164500
2023-03-08,5.29,5.41,5.11,5.14,5.14,79700
2023-03-07,5.34,5.4,5.23,5.31,5.31,71500
2023-03-06,5.6,5.65,5.16,5.31,5.31,224600
2023-03-03,5.6,5.67,5.43,5.6,5.6,84400
2023-03-02,5.63,5.81,5.52,5.63,5.63,94600
2023-03-01,5.85,6.01,5.52,5.68,5.68,170500
2023-02-28,6.0,6.0,5.76,5.79,5.79,104300
2023-02-27,5.88,6.07,5.72,5.76,5.76,71000
2023-02-24,5.86,5.91,5.77,5.85,5.85,86300
2023-02-23,6.05,6.05,5.92,5.98,5.98,64400
2023-02-22,6.05,6.22,5.92,5.98,5.98,134100
2023-02-21,6.25,6.33,5.85,5.97,5.97,120900
2023-02-17,6.06,6.13,5.84,5.97,5.97,71300
2023-02-16,6.0,6.09,5.87,5.97,5.97,49100
2023-02-15,5.86,6.02,5.78,5.98,5.98,42100
2023-02-14,5.95,6.1,5.82,5.89,5.89,74500
2023-02-13,6.0,6.24,5.9,5.95,5.95,69900
2023-02-10,5.94,6.17,5.85,5.97,5.97,90400
2023-02-09,6.27,6.34,5.88,5.93,5.93,113700
2023-02-08,6.0,6.31,5.93,6.23,6.23,159300
2023-02-07,6.13,6.3,5.76,5.85,5.85,169400
2023-02-06,6.35,6.42,6.02,6.12,6.12,95800
2023-02-03,6.1,6.58,6.06,6.31,6.31,118800
2023-02-02,6.38,6.39,6.13,6.17,6.17,71300
2023-02-01,6.28,6.37,6.01,6.28,6.28,147000
2023-01-31,6.39,6.46,5.98,6.21,6.21,197300
2023-01-30,6.56,6.59,6.39,6.4,6.4,67400
2023-01-27,6.78,6.78,6.55,6.66,6.66,88800
2023-01-26,7.07,7.07,6.75,6.83,6.83,35500
2023-01-25,6.77,7.09,6.71,7.02,7.02,45300
2023-01-24,6.68,6.85,6.47,6.81,6.81,65100
2023-01-23,6.98,7.02,6.74,6.74,6.74,53300
2023-01-20,7.14,7.14,6.87,7.0,7.0,115400
2023-01-19,7.31,7.41,6.73,7.02,7.02,77500
2023-01-18,7.22,7.33,6.95,6.99,6.99,49200
2023-01-17,7.0,7.26,7.0,7.25,7.25,70700
2023-01-13,7.0,7.08,6.96,7.0,7.0,79400
2023-01-12,7.38,7.38,6.95,7.14,7.14,101600
2023-01-11,6.74,7.34,6.67,7.26,7.26,97700
2023-01-10,6.23,6.65,6.0,6.64,6.64,225200
2023-01-09,6.2,6.39,6.12,6.35,6.35,105700
2023-01-06,6.12,6.28,6.01,6.13,6.13,302800
2023-01-05,6.26,6.3,5.94,6.07,6.07,228100
2023-01-04,6.39,6.56,6.33,6.38,6.38,26400
2023-01-03,6.6,6.69,6.27,6.35,6.35,65100
2022-12-30,6.82,6.9,6.39,6.48,6.48,105800
2022-12-29,6.87,6.99,6.75,6.91,6.91,67600
2022-12-28,6.77,7.01,6.77,6.89,6.89,68100
2022-12-27,6.98,6.98,6.72,6.76,6.76,24800
2022-12-23,7.07,7.14,6.78,6.93,6.93,41100
2022-12-22,7.06,7.27,6.82,7.08,7.08,61000
2022-12-21,6.8,7.16,6.73,7.1,7.1,95000
2022-12-20,6.71,7.06,6.66,6.83,6.83,57400
2022-12-19,6.6,6.8,6.48,6.71,6.71,86000
2022-12-16,6.51,6.99,6.23,6.57,6.57,283900
2022-12-15,7.15,7.31,6.64,6.74,6.74,116500
2022-12-14,7.63,7.66,7.14,7.23,7.23,144900
2022-12-13,7.87,8.03,7.57,7.63,7.63,107600
2022-12-12,7.71,7.78,7.52,7.64,7.64,56300
2022-12-09,8.19,8.37,7.71,7.76,7.76,31300
2022-12-08,7.87,8.29,7.87,8.08,8.08,30800
2022-12-07,8.05,8.13,7.91,7.98,7.98,44300
2022-12-06,7.85,8.1,7.83,8.04,8.04,105900
2022-12-05,8.1,8.26,7.81,7.9,7.9,81800
2022-12-02,8.16,8.45,8.04,8.13,8.13,77700
2022-12-01,8.53,8.58,8.27,8.28,8.28,31300
2022-11-30,8.73,8.73,8.39,8.51,8.51,43900
2022-11-29,8.27,8.75,8.14,8.67,8.67,70000
2022-11-28,8.34,8.36,8.02,8.32,8.32,164000
2022-11-25,8.45,8.46,8.27,8.37,8.37,22500
2022-11-23,8.37,8.6,8.36,8.53,8.53,32000
2022-11-22,8.71,8.71,8.3,8.38,8.38,92100
2022-11-21,8.84,8.86,8.57,8.73,8.73,41400
2022-11-18,9.06,9.18,8.84,8.84,8.84,60400
2022-11-17,8.97,9.07,8.74,8.85,8.85,54100
2022-11-16,8.84,9.15,8.8,8.97,8.97,48200
2022-11-15,9.05,9.39,8.75,9.21,9.21,45600
2022-11-14,9.01,9.01,8.71,8.76,8.76,72100
2022-11-11,9.12,9.12,8.94,9.08,9.08,57300
2022-11-10,9.01,9.08,8.84,9.03,9.03,57000
2022-11-09,8.91,8.95,8.57,8.65,8.65,22800
2022-11-08,9.05,9.06,8.93,8.95,8.95,32100
2022-11-07,9.03,9.18,8.95,9.03,9.03,29400
2022-11-04,9.26,9.26,8.99,9.05,9.05,36500
2022-11-03,9.0,9.25,8.97,9.13,9.13,44000
