date,open,high,low,close,adjusted_close,volume
2023-06-02,3.22,3.3,3.2,3.25,3.25,13100
2023-06-01,2.99,3.22,2.99,3.16,3.16,23000
2023-05-31,3.01,3.085,2.95,2.96,2.96,7600
2023-05-30,3.05,3.21,3.0,3.01,3.01,18700
2023-05-26,3.13,3.23,2.95,3.09,3.09,22300
2023-05-25,3.37,3.37,3.07,3.1,3.1,17300
2023-05-24,3.41,3.43,3.25,3.28,3.28,18200
2023-05-23,3.27,3.395,3.26,3.365,3.365,25700
2023-05-22,3.36,3.395,3.22,3.27,3.27,33400
2023-05-19,3.25,3.33,3.21,3.3,3.3,29800
2023-05-18,3.08,3.24,3.08,3.17,3.17,28200
2023-05-17,3.04,3.07,2.925,3.04,3.04,44600
2023-05-16,3.22,3.23,2.85,2.98,2.98,104800
2023-05-15,3.27,3.38,3.11,3.24,3.24,114200
2023-05-12,3.47,3.5,3.19,3.3,3.3,178300
2023-05-11,3.42,3.77,3.385,3.45,3.45,302900
2023-05-10,3.82,3.88,3.37,3.41,3.41,555100
2023-05-09,3.52,4.4,3.492,4.0,4.0,7334100
2023-05-08,3.13,3.2,3.11,3.16,3.16,11500
2023-05-05,3.09,3.14,3.06,3.09,3.09,30400
2023-05-04,3.164,3.164,2.95,2.97,2.97,11600
2023-05-03,2.94,3.05,2.86,3.01,3.01,34100
2023-05-02,2.9,2.92,2.82,2.86,2.86,9900
2023-05-01,2.79,2.92,2.79,2.86,2.86,10200
2023-04-28,2.87,2.9,2.79,2.89,2.89,14700
2023-04-27,2.857,2.857,2.795,2.81,2.81,6600
2023-04-26,2.79,2.85,2.78,2.8,2.8,13300
2023-04-25,2.8,2.88,2.78,2.79,2.79,10000
2023-04-24,2.833,2.95,2.83,2.87,2.87,20600
2023-04-21,2.81,2.883,2.77,2.86,2.86,10500
2023-04-20,2.85,2.9,2.776,2.84,2.84,18600
2023-04-19,2.886,2.886,2.78,2.85,2.85,8400
2023-04-18,2.76,2.8,2.76,2.78,2.78,11500
2023-04-17,2.76,2.9,2.74,2.76,2.76,28800
2023-04-14,2.78,2.84,2.73,2.76,2.76,26900
2023-04-13,2.73,2.95,2.72,2.81,2.81,27000
2023-04-12,2.87,2.94,2.73,2.73,2.73,18300
2023-04-11,2.65,2.9,2.64,2.87,2.87,43500
2023-04-10,2.63,2.69,2.61,2.63,2.63,9500
2023-04-06,2.635,2.69,2.54,2.61,2.61,14400
2023-04-05,2.62,2.63,2.55,2.56,2.56,19100
2023-04-04,2.63,2.65,2.52,2.52,2.52,17700
2023-04-03,2.73,2.75,2.61,2.61,2.61,9900
2023-03-31,2.63,2.72,2.63,2.67,2.67,13600
2023-03-30,2.7,2.76,2.63,2.66,2.66,12400
2023-03-29,2.69,2.723,2.6,2.68,2.68,13100
2023-03-28,2.71,2.84,2.68,2.68,2.68,30100
2023-03-27,2.8,2.8,2.697,2.71,2.71,14500
2023-03-24,2.67,2.77,2.566,2.77,2.77,6500
2023-03-23,2.7,2.76,2.65,2.68,2.68,33600
2023-03-22,2.66,2.88,2.645,2.74,2.74,23100
2023-03-21,2.66,2.75,2.5,2.7,2.7,36100
2023-03-20,2.86,2.9,2.7,2.7,2.7,17700
2023-03-17,2.845,2.91,2.8,2.8,2.8,21400
2023-03-16,2.88,2.94,2.86,2.87,2.87,15100
2023-03-15,2.86,2.92,2.86,2.87,2.87,13200
2023-03-14,2.989,3.0,2.86,2.86,2.86,29700
2023-03-13,3.0,3.08,2.901,2.94,2.94,47000
2023-03-10,3.4,3.59,3.02,3.08,3.08,83900
2023-03-09,3.6,3.6,3.41,3.48,3.48,26300
2023-03-08,3.47,3.59,3.45,3.525,3.525,25000
2023-03-07,3.58,3.649,3.46,3.47,3.47,20800
2023-03-06,3.6,3.65,3.545,3.58,3.58,21100
