date,open,high,low,close,adjusted_close,volume
2023-06-02,90.24,90.85,88.6,90.22,89.1119,27928
2023-06-01,88.98,90.4,88.31,90.32,89.2107,33315
2023-05-31,87.4,89.7,86.27,89.37,88.2724,41179
2023-05-30,90.52,92.37,86.0,87.55,86.4747,28348
2023-05-26,88.28,90.83,88.28,90.19,89.0823,43741
2023-05-25,86.37,88.13,86.0,87.85,86.771,23253
2023-05-24,85.92,86.0,85.1,85.77,84.7166,17444
2023-05-23,88.09,88.27,86.07,86.66,85.5956,22785
2023-05-22,88.48,89.44,87.35,87.82,86.7414,29856
2023-05-19,88.38,89.34,85.77,88.68,87.5908,45443
2023-05-18,89.66,89.66,87.2782,88.64,87.5513,38757
2023-05-17,88.0,89.0,87.04,88.66,87.5711,28088
2023-05-16,84.81,88.0,84.49,87.94,86.8599,17753
2023-05-15,87.58,88.5,86.02,87.42,86.3463,21267
2023-05-12,88.2,88.92,87.54,88.12,87.0377,32016
2023-05-11,87.8,88.49,85.88,88.49,86.4154,32389
2023-05-10,88.48,88.48,86.51,87.58,85.5268,51809
2023-05-09,88.36,89.28,86.3974,87.35,85.3022,29443
2023-05-08,87.62,89.56,87.62,89.02,86.933,31938
2023-05-05,90.44,91.5,85.01,87.49,85.4389,48225
2023-05-04,82.25,91.329,81.9,90.3,88.183,104293
2023-05-03,77.46,77.46,76.2,76.63,74.8335,22352
2023-05-02,76.56,77.25,75.4264,77.13,75.3218,26485
2023-05-01,75.73,77.13,75.01,76.93,75.1265,21429
2023-04-28,75.92,77.24,75.01,75.41,73.6421,24385
2023-04-27,74.0,76.23,73.96,75.63,73.8569,30236
2023-04-26,72.47,74.09,71.52,73.55,71.8257,24130
2023-04-25,76.49,76.49,71.435,72.27,70.5757,54797
2023-04-24,79.425,80.19,76.69,76.9,75.0972,39222
2023-04-21,80.88,81.18,79.55,80.15,78.271,30900
2023-04-20,80.02,81.66,80.02,80.47,78.5835,31299
2023-04-19,80.175,80.77,79.54,80.34,78.4565,12951
2023-04-18,82.98,83.26,80.255,80.83,78.935,28276
2023-04-17,83.33,83.72,81.9501,82.98,81.0346,48098
2023-04-14,82.05,83.99,82.05,83.66,81.6987,32320
2023-04-13,81.75,82.37,81.66,82.37,80.4389,20429
2023-04-12,82.2,82.32,81.16,82.14,80.2143,24604
2023-04-11,82.11,83.525,81.43,81.99,80.0678,39657
2023-04-10,79.94,82.39,79.94,82.26,80.3315,30216
2023-04-06,79.0,80.61,78.43,80.45,78.5639,21377
2023-04-05,78.8,79.7,78.23,79.58,77.7143,29840
2023-04-04,82.87,82.87,78.94,79.08,77.2261,51542
2023-04-03,83.45,85.33,82.12,82.79,80.8491,58630
2023-03-31,80.82,83.0,80.82,82.99,81.0444,42423
2023-03-30,79.0,80.66,79.0,80.66,78.769,43590
2023-03-29,78.06,78.97,77.13,78.95,77.0991,27009
2023-03-28,76.77,77.61,76.07,77.2,75.3901,25464
2023-03-27,77.66,77.99,76.64,77.31,75.4976,31883
2023-03-24,77.28,78.0,75.367,77.22,75.4097,26232
2023-03-23,75.66,78.395,75.55,77.31,75.4976,23549
2023-03-22,75.41,77.36,75.38,75.95,74.1694,30637
2023-03-21,76.11,76.56,75.06,75.93,74.1499,30955
2023-03-20,74.74,76.49,74.72,75.86,74.0815,34624
2023-03-17,75.53,76.07,74.41,74.73,72.978,40434
2023-03-16,72.72,76.25,72.63,76.13,74.3452,26509
2023-03-15,74.49,74.65,73.1747,74.3,72.5581,30274
2023-03-14,74.28,76.53,73.8,75.71,73.9351,25767
2023-03-13,73.79,74.78,72.08,74.01,72.2749,28143
2023-03-10,75.32,76.26,74.6987,74.93,73.1733,41397
2023-03-09,77.54,77.54,75.705,76.46,74.6675,34046
2023-03-08,74.37,77.285,73.8,76.93,75.1265,27279
2023-03-07,75.94,76.0722,73.2484,73.88,72.148,48359
2023-03-06,78.6,78.7,75.85,76.25,74.4624,33360
2023-03-03,77.79,78.83,77.08,78.16,76.3276,24462
2023-03-02,77.92,77.92,75.73,77.5,75.6831,57861
2023-03-01,76.31,77.985,76.1,77.85,76.0249,28592
2023-02-28,75.75,77.25,75.33,75.98,74.1987,35072
2023-02-27,75.12,76.75,74.65,75.73,73.9546,27609
2023-02-24,74.34,75.7,74.34,75.11,73.3491,28671
2023-02-23,74.75,75.815,74.41,75.32,73.5542,24748
2023-02-22,74.13,75.81,74.11,74.75,72.9976,26213
2023-02-21,75.5,75.81,74.3497,74.51,72.7632,34007
2023-02-17,76.14,76.37,75.0,75.54,73.769,34822
2023-02-16,75.8,77.25,75.03,76.07,74.2866,32186
2023-02-15,75.15,76.57,74.7,76.33,74.5405,29959
2023-02-14,74.91,76.25,73.54,75.62,73.8472,34506
2023-02-13,75.23,76.1735,74.73,75.57,73.7983,33349
2023-02-10,74.1,75.95,73.82,75.94,74.1597,30645
2023-02-09,74.57,74.9,71.5547,74.07,72.3335,33790
2023-02-08,73.88,74.74,72.85,73.74,72.0112,29687
2023-02-07,72.1,74.96,71.55,74.09,72.353,23767
2023-02-06,71.62,73.19,71.42,72.24,70.5464,34486
2023-02-03,71.65,73.8305,70.79,71.91,70.2241,20302
2023-02-02,73.0,73.64,72.21,72.24,70.5464,41920
2023-02-01,72.84,73.5,71.9,72.74,71.0347,39890
2023-01-31,72.16,73.72,72.0,72.87,71.1616,25743
2023-01-30,70.16,72.74,70.16,72.22,70.5269,57947
2023-01-27,73.0,73.2454,69.56,70.71,69.0523,50563
2023-01-26,69.5,73.1502,66.67,71.5,68.8472,61168
2023-01-25,74.47,75.77,74.03,74.95,72.1692,37825
2023-01-24,77.07,77.07,75.05,75.82,73.0069,34049
2023-01-23,75.16,77.3525,74.07,76.99,74.1335,29159
2023-01-20,74.9082,74.9082,72.37,74.52,71.7552,32372
2023-01-19,73.43,74.78,73.0,73.64,70.9078,25578
2023-01-18,73.65,75.21,72.34,74.4,71.6396,30631
2023-01-17,74.59,75.28,73.25,73.77,71.033,44365
2023-01-13,74.23,75.89,73.07,75.0,72.2173,31171
2023-01-12,72.7,74.24,72.15,74.23,71.4759,20757
2023-01-11,71.99,73.4,71.81,72.56,69.8679,21649
2023-01-10,71.0,72.78,70.12,71.99,69.319,28123
2023-01-09,70.22,71.42,69.8701,70.68,68.0576,24597
2023-01-06,68.25,70.0268,67.77,69.47,66.8925,17462
2023-01-05,66.77,68.0,66.7041,68.0,65.4771,20035
2023-01-04,65.92,67.08,64.8,67.07,64.5816,64316
2023-01-03,65.0,65.825,64.28,65.57,63.1372,30132
2022-12-30,64.6,65.1,64.18,64.75,62.3476,15299
2022-12-29,63.58,65.3,63.58,64.81,62.4054,15407
2022-12-28,65.59,66.0,62.9,63.36,61.0092,34638
2022-12-27,65.77,65.9,65.02,65.6,63.1661,23031
2022-12-23,66.23,67.33,65.23,65.6,63.1661,22655
2022-12-22,67.73,67.84,64.68,66.05,63.5994,30582
2022-12-21,65.93,70.137,65.93,67.87,65.3519,66306
2022-12-20,64.65,66.03,64.65,65.86,63.4165,15919
2022-12-19,66.41,66.5525,64.58,65.23,62.8098,31720
2022-12-16,63.67,66.73,63.52,66.4,63.9364,65141
2022-12-15,65.9,66.0,63.74,63.74,61.3751,15831
2022-12-14,66.0,66.986,65.301,65.97,63.5224,38103
2022-12-13,66.51,67.0,64.35,65.75,63.3105,72582
2022-12-12,62.28,66.0,61.68,65.67,63.2335,47831
2022-12-09,62.52,62.86,61.54,61.88,59.5841,48266
2022-12-08,62.61,63.636,61.74,62.28,59.9693,71145
2022-12-07,62.63,63.43,61.76,62.28,59.9693,23668
2022-12-06,63.64,63.64,61.48,62.51,60.1908,20103
2022-12-05,64.48,64.71,62.635,63.43,61.0766,24523
2022-12-02,63.87,65.26,63.4,64.23,61.8469,47298
2022-12-01,64.38,64.38,62.66,63.99,61.6158,69096
2022-11-30,64.49,65.0,62.74,63.71,61.3462,29777
2022-11-29,65.26,65.26,63.3,64.21,61.8277,22812
2022-11-28,66.16,66.2527,64.62,65.05,62.6365,13916
2022-11-25,68.38,68.38,65.98,66.24,63.7824,6965
2022-11-23,67.7,69.03,67.56,68.22,65.6889,55892
2022-11-22,66.5,67.68,66.16,67.68,65.1689,20561
2022-11-21,66.2,66.32,65.6,66.12,63.6668,8629
2022-11-18,66.1,66.505,64.4733,66.17,63.715,10794
2022-11-17,64.51,66.0,64.51,65.74,63.3009,11067
2022-11-16,65.11,65.68,64.62,65.28,62.858,10746
2022-11-15,65.2,66.6,64.62,65.8,63.3587,23131
2022-11-14,66.49,66.5,64.21,64.3,61.9143,19107
2022-11-11,66.25,67.88,66.11,66.22,63.7631,30029
2022-11-10,66.25,66.75,65.26,65.99,63.5416,21206
2022-11-09,65.53,66.03,63.6495,64.74,62.338,12230
2022-11-08,66.18,66.9237,65.09,66.24,63.7824,16319
2022-11-07,64.5,66.75,64.5,65.84,63.3972,23611
2022-11-04,63.24,64.21,62.19,63.95,61.5773,17607
2022-11-03,62.17,63.95,62.17,62.94,60.6048,8910
2022-11-02,63.84,63.84,62.24,62.81,60.4796,15606
2022-11-01,61.82,65.0967,61.42,63.32,60.9707,18815
2022-10-31,61.62,62.63,59.37,62.01,59.7093,15313
2022-10-28,64.27,64.27,60.6,61.74,59.4493,37379
2022-10-27,66.99,67.49,65.4,65.44,62.0491,35158
2022-10-26,65.47,66.87,63.6042,66.615,63.1633,58968
2022-10-25,62.34,65.97,62.1412,65.88,62.4663,41309
2022-10-24,60.19,62.72,58.81,62.33,59.1003,29213
2022-10-21,56.79,60.52,56.79,60.24,57.1186,38830
2022-10-20,53.1,57.645,53.1,57.03,54.0749,64727
2022-10-19,48.27,48.531,47.9,48.23,45.7309,9027
2022-10-18,48.9799,48.9799,48.04,48.31,45.8068,7032
2022-10-17,48.88,48.88,47.85,48.11,45.6171,7672
2022-10-14,47.755,48.01,47.45,47.67,45.1999,7352
2022-10-13,46.69,48.52,46.55,48.25,45.7499,6869
2022-10-12,47.3676,47.535,47.01,47.21,44.7638,4233
2022-10-11,47.3,47.55,46.77,46.93,44.4983,15138
2022-10-10,46.8,47.55,46.77,47.48,45.0198,13228
2022-10-07,47.27,48.1199,46.77,46.8,44.375,16356
2022-10-06,48.6147,49.0666,47.39,47.5,45.0387,11264
2022-10-05,48.29,48.78,47.92,47.92,45.437,10668
2022-10-04,48.1,49.1719,47.8301,48.87,46.3377,8423
2022-10-03,47.1,47.8451,47.1,47.76,45.2853,6247
2022-09-30,47.45,47.86,46.65,46.65,44.2328,12454
2022-09-29,46.51,47.31,46.0,47.31,44.8586,21118
2022-09-28,47.4,48.34,47.4,47.9,45.418,6599
2022-09-27,47.73,48.1827,46.9301,47.42,44.9629,8109
2022-09-26,47.23,48.34,47.13,47.43,44.9724,11421
2022-09-23,48.1,48.1,47.08,47.81,45.3327,14949
2022-09-22,49.57,49.57,48.41,48.6,46.0817,13092
2022-09-21,49.21,50.44,48.2799,49.87,47.2859,17098
2022-09-20,49.54,49.58,48.75,48.92,46.3851,10586
2022-09-19,49.88,50.54,49.73,50.03,47.4376,13464
2022-09-16,52.08,52.08,49.69,49.69,47.1153,39148
2022-09-15,49.03,52.37,49.03,52.16,49.4573,53447
2022-09-14,49.58,49.68,48.55,49.15,46.6032,27928
2022-09-13,49.17,49.51,48.38,49.51,46.9446,14989
2022-09-12,49.6,50.44,49.0601,49.76,47.1816,12528
2022-09-09,48.92,49.97,48.7,49.48,46.9161,13426
2022-09-08,48.01,48.99,48.0,48.63,46.1102,10847
2022-09-07,48.14,48.87,47.8,48.31,45.8068,10403
2022-09-06,48.2,48.535,47.38,48.0,45.5128,15854
2022-09-02,49.09,49.77,48.135,48.48,45.9679,8545
2022-09-01,50.2,50.97,48.5001,48.91,46.3757,25175
2022-08-31,51.15,51.64,50.33,50.72,48.0919,13398
