date,open,high,low,close,adjusted_close,volume
2023-06-02,88.8,89.44,85.87,86.83,86.83,5135800
2023-06-01,84.94,88.31,84.05,87.95,87.95,6930700
2023-05-31,82.35,85.25,82.0,83.6,83.6,9835600
2023-05-30,89.35,89.84,83.45,83.97,83.97,9087900
2023-05-26,82.87,87.77,82.83,86.62,86.62,10508800
2023-05-25,80.12,82.71,77.92,82.0,82.0,9598500
2023-05-24,80.14,80.86,78.35,79.79,79.79,8641800
2023-05-23,84.33,84.65,81.8,82.54,82.54,6675700
2023-05-22,83.91,85.59,83.71,85.24,85.24,5091500
2023-05-19,86.19,86.46,83.58,84.36,84.36,8190300
2023-05-18,86.0,87.07,84.91,86.49,86.49,7624200
2023-05-17,84.63,86.9,82.11,85.63,85.63,12764700
2023-05-16,82.01,85.39,81.71,83.04,83.04,10998500
2023-05-15,81.76,82.46,80.56,82.39,82.39,6125200
2023-05-12,81.22,83.04,80.07,81.34,81.34,6477900
2023-05-11,79.42,80.75,78.42,80.32,80.32,4438200
2023-05-10,80.5,80.72,78.87,79.87,79.87,5187100
2023-05-09,79.21,79.94,77.47,78.81,78.81,4736900
2023-05-08,81.24,81.72,79.58,80.52,80.52,3421400
2023-05-05,77.66,81.58,77.33,81.22,81.22,7087600
2023-05-04,78.0,79.26,77.09,77.83,77.83,5189400
2023-05-03,79.05,80.37,78.43,78.58,78.58,5127100
2023-05-02,79.38,81.38,77.87,79.17,79.17,8329000
2023-05-01,74.89,78.98,74.17,78.33,78.33,16264700
2023-04-28,69.97,72.06,68.84,71.96,71.96,10264800
2023-04-27,68.68,70.08,66.67,69.98,69.98,14023800
2023-04-26,71.54,72.44,70.53,71.95,71.95,5871300
2023-04-25,73.3,73.5,70.27,70.35,70.35,7889300
2023-04-24,73.77,74.39,73.19,74.38,74.38,2845200
2023-04-21,74.0,74.21,73.02,73.74,73.74,4077800
2023-04-20,73.28,75.77,72.18,74.26,74.26,7685300
2023-04-19,78.15,78.65,76.36,76.92,76.92,4336200
2023-04-18,79.23,80.07,78.37,79.21,79.21,4168300
2023-04-17,77.08,78.57,76.69,78.41,78.41,3808800
2023-04-14,77.6,79.42,76.6,77.92,77.92,3723500
2023-04-13,76.67,78.11,75.9,77.59,77.59,3290300
2023-04-12,78.78,78.79,76.32,76.46,76.46,4850300
2023-04-11,78.63,78.93,77.05,77.22,77.22,3608700
2023-04-10,74.65,77.88,74.54,77.7,77.7,4284600
2023-04-06,75.24,76.37,74.39,75.34,75.34,3530700
2023-04-05,77.46,77.88,75.42,76.54,76.54,4944300
2023-04-04,81.51,81.51,77.84,78.49,78.49,5617900
2023-04-03,81.72,82.21,79.88,81.14,81.14,4431100
2023-03-31,81.58,82.55,81.04,82.32,82.32,5851500
2023-03-30,81.03,82.52,80.57,81.83,81.83,6133100
2023-03-29,78.28,80.69,77.18,79.87,79.87,7228400
2023-03-28,75.1,77.71,73.69,76.53,76.53,12414100
2023-03-27,78.05,78.18,74.47,75.67,75.67,10191000
2023-03-24,79.82,80.48,77.1,77.81,77.81,5793000
2023-03-23,80.12,82.87,78.79,80.97,80.97,6181500
2023-03-22,81.52,82.39,78.41,78.82,78.82,5511900
2023-03-21,80.89,82.87,79.81,81.35,81.35,4828100
2023-03-20,78.73,80.52,77.59,79.98,79.98,4822200
2023-03-17,80.31,80.53,77.7,78.28,78.28,6980200
2023-03-16,77.63,80.85,77.0,80.5,80.5,7265000
2023-03-15,79.11,79.85,76.14,78.0,78.0,7514800
2023-03-14,80.16,82.75,79.47,81.2,81.2,6098800
2023-03-13,76.71,79.14,76.37,77.75,77.75,6913800
2023-03-10,82.34,82.6,77.53,78.38,78.38,6365000
2023-03-09,82.88,84.97,81.26,81.41,81.41,8242000
2023-03-08,79.72,83.4,79.62,83.1,83.1,8939400
2023-03-07,78.03,79.6,77.83,78.7,78.7,6445500
2023-03-06,79.47,79.81,76.98,77.41,77.41,4968000
2023-03-03,76.98,79.07,76.05,78.94,78.94,6046400
2023-03-02,73.56,77.32,72.0,76.75,76.75,14198500
2023-03-01,78.12,79.24,77.31,78.23,78.23,4733300
2023-02-28,77.51,78.73,76.82,77.41,77.41,6796300
2023-02-27,77.69,78.8,76.63,77.73,77.73,6844400
2023-02-24,77.1,77.12,75.52,76.28,76.28,16700000
2023-02-23,79.38,79.91,76.19,78.39,78.39,14747900
2023-02-22,79.45,79.91,77.68,78.56,78.56,5674900
2023-02-21,80.4,81.76,79.05,79.28,79.28,6312800
2023-02-17,83.39,83.63,80.38,81.86,81.86,7135400
2023-02-16,85.12,86.68,83.88,84.13,84.13,5871800
2023-02-15,85.67,87.02,85.46,86.71,86.71,6711500
2023-02-14,83.6,87.41,83.35,86.88,86.88,6033100
2023-02-13,84.63,84.77,83.66,84.38,84.38,5708500
2023-02-10,83.76,84.11,82.2,83.8,83.8,6677600
2023-02-09,85.13,87.55,83.97,84.75,84.75,9180100
2023-02-08,84.27,85.2,82.93,83.6,83.6,9982500
2023-02-07,81.06,86.15,80.84,85.53,85.53,11489200
2023-02-06,77.75,84.7,77.5,80.4,80.4,15910300
2023-02-03,80.0,83.25,79.4,80.89,80.89,8472800
2023-02-02,78.97,82.22,78.15,82.12,82.12,9221400
2023-02-01,73.92,78.5,73.69,77.84,77.84,9111200
2023-01-31,71.2,73.48,71.07,73.45,73.45,5066700
2023-01-30,72.72,73.23,70.86,71.02,71.02,4783400
2023-01-27,73.53,74.82,73.22,73.67,73.67,4375500
2023-01-26,72.89,73.9,71.16,73.68,73.68,5875400
2023-01-25,68.96,71.86,68.76,71.81,71.81,5100600
2023-01-24,70.0,71.2,69.25,70.08,70.08,4543400
2023-01-23,67.67,71.27,67.39,70.8,70.8,7583300
2023-01-20,64.68,66.4,63.91,66.26,66.26,5132900
2023-01-19,65.72,65.88,63.2,63.49,63.49,5883600
2023-01-18,67.34,68.52,66.1,66.33,66.33,5834100
2023-01-17,65.29,66.73,64.57,65.87,65.87,3902000
2023-01-13,64.4,65.22,63.28,65.15,65.15,3407300
2023-01-12,65.0,65.6,63.29,64.93,64.93,4807200
2023-01-11,64.46,64.85,63.08,64.63,64.63,4889100
2023-01-10,61.55,64.45,61.3,64.27,64.27,8248200
2023-01-09,64.6,66.29,64.23,64.65,64.65,6408000
2023-01-06,60.85,62.74,59.75,62.47,62.47,7144000
2023-01-05,61.12,63.77,59.61,59.74,59.74,9253800
2023-01-04,62.68,63.39,61.15,62.2,62.2,6189700
2023-01-03,63.95,64.14,61.07,61.61,61.61,4364400
2022-12-30,61.53,62.44,60.87,62.37,62.37,2650100
2022-12-29,61.85,63.05,61.09,62.71,62.71,5253300
2022-12-28,60.71,61.8,59.77,60.28,60.28,3576400
2022-12-27,61.94,62.17,60.98,61.36,61.36,5072500
2022-12-23,61.44,62.54,60.69,62.39,62.39,3351000
2022-12-22,63.28,63.28,60.68,62.12,62.12,9874500
2022-12-21,64.74,66.05,64.63,65.04,65.04,5063300
2022-12-20,63.34,64.98,62.61,64.03,64.03,4571200
2022-12-19,65.45,65.76,62.9,64.15,64.15,6366600
2022-12-16,63.9,65.81,63.52,65.38,65.38,8462800
2022-12-15,65.65,66.17,63.52,64.26,64.26,12351400
2022-12-14,71.17,71.55,67.01,67.59,67.59,10941600
2022-12-13,74.88,74.9,70.43,71.56,71.56,4856100
2022-12-12,69.69,71.0,68.91,70.99,70.99,5151700
2022-12-09,71.05,72.24,70.36,70.53,70.53,3529000
2022-12-08,71.2,73.23,70.69,72.16,72.16,4364600
2022-12-07,68.76,70.89,68.43,70.14,70.14,3030500
2022-12-06,71.86,71.86,69.19,69.74,69.74,4905500
2022-12-05,72.77,73.21,70.52,71.57,71.57,4064700
2022-12-02,71.83,73.12,70.96,73.04,73.04,4800900
2022-12-01,75.5,75.92,72.77,73.99,73.99,4904500
2022-11-30,70.85,75.31,69.76,75.2,75.2,7603500
2022-11-29,70.37,71.36,69.6,70.72,70.72,3992000
2022-11-28,72.16,72.84,69.54,69.96,69.96,6493500
2022-11-25,73.8,74.61,73.37,73.4,73.4,2006000
2022-11-23,73.67,76.05,73.48,74.0,74.0,4303700
2022-11-22,72.09,73.81,71.42,73.74,73.74,4756500
2022-11-21,71.35,72.0,70.52,71.15,71.15,4135700
2022-11-18,72.83,73.15,71.43,72.46,72.46,4744500
2022-11-17,68.2,71.86,67.65,71.11,71.11,5800800
2022-11-16,72.62,72.65,70.24,70.29,70.29,7869500
2022-11-15,75.87,76.26,73.08,74.3,74.3,7025000
2022-11-14,74.31,77.28,72.75,72.83,72.83,9269800
2022-11-11,72.59,76.14,72.25,75.05,75.05,7263600
2022-11-10,68.37,73.06,67.89,72.79,72.79,10452900
2022-11-09,65.58,66.67,63.34,63.83,63.83,6384700
2022-11-08,66.83,67.85,65.65,67.09,67.09,5588900
2022-11-07,64.1,65.88,62.65,65.47,65.47,6388300
2022-11-04,62.0,63.23,60.93,63.19,63.19,8118500
2022-11-03,59.4,60.86,58.43,59.19,59.19,6630300
2022-11-02,62.19,63.94,60.0,60.11,60.11,8274200
2022-11-01,62.73,63.8,61.53,61.74,61.74,8319100
2022-10-31,65.92,67.14,61.23,61.43,61.43,17974600
2022-10-28,64.82,67.77,63.57,67.48,67.48,9835700
2022-10-27,65.41,66.36,63.5,64.85,64.85,10071100
2022-10-26,65.07,68.54,64.41,67.74,67.74,9192300
2022-10-25,65.43,67.6,65.4,66.59,66.59,7056600
2022-10-24,66.48,66.9,63.99,65.35,65.35,5918600
2022-10-21,61.4,65.89,60.91,65.68,65.68,8201400
2022-10-20,61.0,63.26,60.44,61.52,61.52,5535200
2022-10-19,60.01,61.74,59.65,60.77,60.77,4201200
2022-10-18,62.39,62.7,59.47,60.73,60.73,5006900
2022-10-17,59.57,60.76,59.02,59.79,59.79,5882500
2022-10-14,61.74,61.94,57.62,57.77,57.77,6372000
2022-10-13,56.21,61.37,54.93,60.63,60.63,10023000
2022-10-12,58.85,59.68,58.18,58.95,58.95,4573700
2022-10-11,60.72,60.88,58.34,59.47,59.47,9114200
2022-10-10,64.82,64.85,59.68,61.93,61.93,8861500
2022-10-07,68.01,68.17,63.11,64.83,64.83,10336000
2022-10-06,69.63,71.58,69.06,70.25,70.25,6465400
2022-10-05,67.5,69.84,66.88,69.51,69.51,5887900
2022-10-04,67.0,68.94,66.79,68.92,68.92,6281900
2022-10-03,63.01,65.54,61.94,64.79,64.79,6357600
2022-09-30,62.72,64.71,62.29,62.33,62.33,5846200
2022-09-29,64.0,64.31,61.42,62.94,62.94,7078800
2022-09-28,63.13,65.89,63.03,65.5,65.5,5070500
2022-09-27,64.36,65.06,62.74,64.29,64.29,4905900
2022-09-26,62.91,65.17,62.61,62.7,62.7,5272300
2022-09-23,63.58,64.18,61.66,63.31,63.31,8226900
2022-09-22,68.18,68.72,64.17,64.96,64.96,6955500
2022-09-21,69.07,71.77,68.32,68.34,68.34,6728800
2022-09-20,69.43,70.04,67.93,68.48,68.48,5053700
2022-09-19,67.61,70.89,67.52,70.16,70.16,6672900
2022-09-16,67.11,69.01,66.3,68.94,68.94,8518900
2022-09-15,68.21,69.49,67.21,68.15,68.15,4640100
