date,open,high,low,close,adjusted_close,volume
2023-06-02,20.59,20.89,20.475,20.79,20.79,487300
2023-06-01,20.08,20.56,19.91,20.45,20.45,457400
2023-05-31,20.05,20.15,19.75,20.07,20.07,505600
2023-05-30,20.16,20.45,19.91,20.05,20.05,489000
2023-05-26,19.7,19.96,19.55,19.95,19.95,515800
2023-05-25,20.38,20.38,19.655,19.69,19.69,682000
2023-05-24,20.64,20.68,20.09,20.38,20.38,376100
2023-05-23,21.02,21.2,20.66,20.73,20.73,405300
2023-05-22,21.1,21.25,20.89,21.13,21.13,416400
2023-05-19,21.5,21.5,20.91,20.96,20.96,472400
2023-05-18,21.38,21.82,21.197,21.3,21.3,580100
2023-05-17,20.89,21.61,20.7,21.38,21.38,552700
2023-05-16,20.81,21.18,20.685,20.87,20.87,309600
2023-05-15,20.48,21.09,20.32,20.85,20.85,409900
2023-05-12,20.45,20.615,20.06,20.36,20.36,331400
2023-05-11,21.01,21.15,20.34,20.44,20.44,564500
2023-05-10,21.13,21.23,20.635,21.01,21.01,637600
2023-05-09,20.18,20.99,20.09,20.8,20.8,723700
2023-05-08,20.66,21.04,20.05,20.22,20.22,1228900
2023-05-05,21.67,21.67,20.585,20.66,20.66,1385400
2023-05-04,21.38,22.26,20.05,20.84,20.84,3239600
2023-05-03,22.52,23.36,22.46,23.33,23.33,1519800
2023-05-02,22.82,22.86,21.97,22.47,22.47,949300
2023-05-01,21.54,22.85,21.3,22.82,22.82,1372400
2023-04-28,21.03,21.755,20.8,21.62,21.62,622700
2023-04-27,20.85,21.1,20.655,21.09,21.09,489800
2023-04-26,20.08,20.84,20.07,20.63,20.63,703300
2023-04-25,20.05,20.1,19.76,20.06,20.06,523300
2023-04-24,20.29,20.34,19.735,20.29,20.29,568400
2023-04-21,20.37,20.54,20.1,20.34,20.34,603900
2023-04-20,20.16,20.53,20.11,20.4,20.4,297300
2023-04-19,20.13,20.44,20.065,20.33,20.33,316600
2023-04-18,20.65,20.75,20.12,20.28,20.28,342800
2023-04-17,19.98,20.94,19.88,20.44,20.44,430400
2023-04-14,20.13,20.22,19.57,19.85,19.85,452200
2023-04-13,20.19,20.48,19.89,20.11,20.11,622800
2023-04-12,20.87,20.94,20.06,20.09,20.09,487100
2023-04-11,20.55,20.95,20.43,20.56,20.56,740000
2023-04-10,20.3,20.74,20.05,20.49,20.49,497700
2023-04-06,20.25,20.54,20.02,20.5,20.5,354200
2023-04-05,20.8,20.8,20.1,20.22,20.22,286400
2023-04-04,21.2,21.2,20.58,20.8,20.8,384400
2023-04-03,21.37,21.39,20.95,21.2,21.2,548700
2023-03-31,21.25,21.58,21.21,21.37,21.37,716900
2023-03-30,21.31,21.459,20.88,21.03,21.03,465900
2023-03-29,21.27,21.27,20.7,21.13,21.13,576500
2023-03-28,20.88,21.19,20.77,21.1,21.1,404700
2023-03-27,21.35,21.38,20.715,20.95,20.95,480900
2023-03-24,20.93,21.31,20.76,21.29,21.29,973700
2023-03-23,20.93,21.365,20.81,21.03,21.03,536500
2023-03-22,21.19,21.53,20.66,20.7,20.7,721300
2023-03-21,21.49,21.75,21.14,21.18,21.18,619500
2023-03-20,20.89,21.77,20.76,21.15,21.15,1467300
2023-03-17,20.01,20.44,19.88,20.23,20.23,1404000
2023-03-16,19.1,20.11,19.045,20.08,20.08,1246800
2023-03-15,18.27,19.427,18.27,19.21,19.21,1628000
2023-03-14,19.39,19.86,18.528,18.83,18.83,893400
2023-03-13,18.77,19.29,18.41,18.89,18.89,1368900
2023-03-10,19.62,19.715,18.785,19.12,19.12,1445200
2023-03-09,20.81,20.85,19.27,19.37,19.37,1491100
2023-03-08,20.28,20.62,19.85,20.51,20.51,4144500
2023-03-07,21.51,22.58,21.38,21.9,21.9,726900
2023-03-06,22.43,22.884,21.2,21.5,21.5,696900
2023-03-03,22.09,23.19,21.81,22.24,22.24,1038100
2023-03-02,22.81,23.11,19.73,21.77,21.77,1906400
2023-03-01,22.76,22.92,22.23,22.36,22.36,946400
2023-02-28,22.43,23.02,22.3,22.72,22.72,466600
2023-02-27,22.56,22.735,22.08,22.4,22.4,435400
2023-02-24,22.073,22.55,21.92,22.3,22.3,412900
2023-02-23,23.16,23.19,22.31,22.66,22.66,344400
2023-02-22,22.46,23.21,22.36,22.98,22.98,411800
2023-02-21,23.02,23.37,22.45,22.46,22.46,387400
2023-02-17,23.92,24.05,23.06,23.4,23.4,316600
2023-02-16,23.47,24.408,22.91,23.96,23.96,585400
2023-02-15,22.905,23.7,22.776,23.66,23.66,559800
2023-02-14,21.4,23.0,21.2,22.91,22.91,559800
2023-02-13,21.5,21.84,21.42,21.5,21.5,540500
2023-02-10,21.76,21.76,20.88,21.35,21.35,579500
2023-02-09,23.15,23.35,21.87,21.98,21.98,396800
2023-02-08,23.1,23.275,22.8,23.02,23.02,452600
2023-02-07,22.62,23.67,22.487,23.27,23.27,886700
2023-02-06,21.92,22.71,21.47,22.55,22.55,918200
2023-02-03,22.04,22.27,21.67,21.91,21.91,803300
2023-02-02,22.8,23.23,22.21,22.46,22.46,561200
2023-02-01,22.51,22.71,21.73,22.6,22.6,555000
2023-01-31,22.35,22.73,22.25,22.56,22.56,708500
2023-01-30,21.88,22.68,21.71,22.25,22.25,763500
2023-01-27,21.7,22.35,21.644,22.09,22.09,581900
2023-01-26,21.84,22.13,21.574,21.73,21.73,343800
2023-01-25,21.26,21.62,20.59,21.53,21.53,387000
2023-01-24,21.24,21.71,21.13,21.52,21.52,486000
2023-01-23,21.2,21.86,20.977,21.28,21.28,928200
2023-01-20,20.67,21.285,20.3,21.23,21.23,682200
2023-01-19,19.93,20.965,19.61,20.45,20.45,830300
2023-01-18,20.38,21.08,20.08,20.1,20.1,677700
2023-01-17,20.26,20.42,19.89,20.26,20.26,811900
2023-01-13,19.58,20.59,19.56,19.93,19.93,1140700
2023-01-12,19.05,19.63,18.72,19.61,19.61,834900
2023-01-11,18.25,19.02,18.09,18.98,18.98,635800
2023-01-10,17.62,18.04,17.27,18.03,18.03,622100
2023-01-09,16.52,17.81,16.5,17.71,17.71,842700
2023-01-06,16.18,16.41,15.84,16.25,16.25,1012300
2023-01-05,16.97,16.97,16.04,16.06,16.06,604300
2023-01-04,16.77,17.22,16.65,17.19,17.19,440500
2023-01-03,16.6,16.75,16.34,16.53,16.53,387600
2022-12-30,16.37,16.865,16.17,16.32,16.32,762700
