date,open,high,low,close,adjusted_close,volume
2023-06-02,23.79,25.195,23.65,25.17,25.17,34969
2023-06-01,24.09,24.09,23.21,23.61,23.61,21828
2023-05-31,23.46,23.69,22.7,22.97,22.97,24098
2023-05-30,24.8,24.82,23.43,23.72,23.72,21187
2023-05-26,24.44,24.6,23.7,24.39,24.39,18648
2023-05-25,24.55,24.72,23.77,24.26,24.26,18117
2023-05-24,24.26,24.79,24.04,24.67,24.67,36056
2023-05-23,23.59,24.9,23.03,24.47,24.47,45576
2023-05-22,24.14,26.55,23.21,23.41,23.41,41913
2023-05-19,23.87,24.65,22.93,23.94,23.94,38744
2023-05-18,24.08,24.36,23.2,23.45,23.45,41205
2023-05-17,23.2,24.12,23.13,23.88,23.88,134437
2023-05-16,22.4,23.3499,22.25,22.9,22.9,316802
2023-05-15,22.0,22.71,21.86,22.45,22.45,63798
2023-05-12,22.545,22.545,21.66,22.0,22.0,94291
2023-05-11,22.565,22.65,21.79,22.36,22.36,42987
2023-05-10,23.07,23.07,22.02,22.6,22.6,30854
2023-05-09,22.02,23.0,21.65,22.65,22.65,59000
2023-05-08,22.61,23.3826,21.9,21.97,21.97,60033
2023-05-05,22.15,23.09,22.05,22.12,22.12,73693
2023-05-04,22.57,22.6,20.75,21.33,21.33,118348
2023-05-03,24.24,24.505,22.95,23.19,23.19,68759
2023-05-02,26.32,26.32,24.0,24.13,24.13,35202
2023-05-01,27.38,27.43,26.1,26.2,26.2,15349
2023-04-28,26.87,27.75,26.87,27.58,27.58,23414
2023-04-27,26.66,27.255,26.61,27.09,27.09,20822
2023-04-26,26.46,26.79,26.01,26.69,26.69,32780
2023-04-25,28.46,28.5,26.41,26.72,26.72,81060
2023-04-24,28.93,30.0,28.35,28.78,28.78,19426
2023-04-21,28.84,29.4299,28.11,28.82,28.82,17500
2023-04-20,29.14,29.64,28.81,29.04,29.04,16512
2023-04-19,29.4,29.75,28.7,29.44,29.44,25899
2023-04-18,29.33,29.54,28.85,29.26,29.26,41278
2023-04-17,30.05,30.22,29.25,30.0,30.0,31859
2023-04-14,31.17,31.17,29.92,30.23,30.23,17194
2023-04-13,30.64,31.37,30.52,31.34,31.34,43397
2023-04-12,30.65,30.66,30.2301,30.42,30.42,14500
2023-04-11,31.0,31.2,30.25,30.59,30.59,13097
2023-04-10,30.08,30.53,30.08,30.43,30.43,19277
2023-04-06,30.0979,30.0979,29.79,29.98,29.98,14290
2023-04-05,30.05,30.45,29.535,29.7,29.7,33558
2023-04-04,29.98,30.57,29.59,30.51,30.51,42314
