datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,127.24,128.04,126.56,127.3,127.3,1063700,4.23,72.47,74.88
2023-07-28,127.16,127.73,126.23,127.24,127.24,850900,5.23,72.33,74.26
2023-07-27,127.0,127.35,125.72,126.1,126.1,795100,4.50,69.53,74.25
2023-07-26,125.45,126.49,124.92,126.23,126.23,1011100,4.46,70.29,74.92
2023-07-25,124.99,126.4,124.6,125.45,125.45,787900,2.70,68.38,64.57
2023-07-24,123.24,125.32,123.24,124.99,124.99,975000,2.03,67.23,57.34
2023-07-21,124.37,125.74,124.17,124.75,124.75,620800,3.67,66.64,64.24
2023-07-20,124.25,125.57,123.32,124.48,124.48,899000,5.58,66.00,65.62
2023-07-19,123.07,124.67,123.07,124.51,124.51,734000,6.96,66.13,64.90
2023-07-18,122.77,124.33,122.23,123.07,123.07,737400,1.91,62.86,65.54
2023-07-17,121.2,122.35,120.21,122.01,122.01,616600,0.32,60.23,66.05
2023-07-14,121.86,122.13,121.23,121.6,121.6,486600,0.47,59.20,71.28
2023-07-13,122.58,122.75,121.54,121.77,121.77,759100,1.63,59.80,65.39
2023-07-12,124.0,124.22,122.54,122.75,122.75,783300,3.77,63.23,64.70
2023-07-11,121.08,123.09,121.08,122.96,122.96,832800,4.58,63.96,57.24
2023-07-10,119.27,122.05,119.27,121.08,121.08,889800,5.08,60.13,50.21
2023-07-07,117.55,119.83,117.21,118.9,118.9,1153000,4.45,54.98,57.50
2023-07-06,119.35,119.41,116.84,117.55,117.55,1294900,2.95,51.38,57.85
2023-07-05,120.55,121.83,120.4,121.16,121.16,865600,5.44,64.14,65.89
2023-07-03,120.51,122.06,120.18,121.69,121.69,462900,5.90,66.39,72.03
2023-06-30,120.63,121.3,119.4,121.13,121.13,1092900,2.30,65.20,73.10
2023-06-29,119.12,120.18,118.34,120.14,120.14,692600,0.87,63.03,66.52
2023-06-28,118.4,119.38,117.28,118.98,118.98,986500,1.34,60.35,67.13
2023-06-27,116.49,119.3,116.48,118.38,118.38,945800,1.32,58.92,67.36
2023-06-26,114.41,116.57,114.41,116.0,116.0,641200,-0.17,52.63,67.48
2023-06-23,114.0,116.04,113.69,114.45,114.45,1636100,-0.86,47.79,69.16
2023-06-22,115.41,116.56,114.42,114.6,114.6,946800,-1.93,48.23,77.10
2023-06-21,114.48,116.36,113.68,115.72,115.72,1150900,-1.10,51.54,77.13
2023-06-20,118.15,118.88,115.39,115.79,115.79,1063100,0.65,51.75,70.38
2023-06-16,120.0,120.44,118.02,118.83,118.83,3248400,4.57,61.70,76.20
2023-06-15,117.24,119.79,117.14,119.27,119.27,1284800,5.31,63.34,73.98
2023-06-14,117.27,118.7,116.44,117.64,117.64,1347700,6.16,59.66,73.93
2023-06-13,116.82,117.46,116.11,117.06,117.06,1317000,6.75,58.27,67.67
2023-06-12,115.52,116.65,114.18,116.17,116.17,1162600,1.07,56.12,66.93
2023-06-09,116.1,116.23,114.56,115.31,115.31,1188900,-0.20,54.00,60.47
2023-06-08,116.78,117.0,115.66,116.53,116.53,1043500,2.27,57.68,60.83
2023-06-07,115.34,117.13,114.88,116.82,116.82,1132200,4.59,58.56,60.80
2023-06-06,112.98,116.66,112.59,115.14,115.14,1104600,0.59,54.85,60.77
2023-06-05,113.06,114.76,112.1,114.26,114.26,1671600,-0.17,52.80,55.62
2023-06-02,111.91,114.33,111.83,113.96,113.96,1268400,-0.61,52.11,48.56
2023-06-01,110.92,111.94,109.9,111.48,111.48,975500,-3.19,46.07,42.35
2023-05-31,114.06,114.63,109.91,110.31,110.31,3075800,-3.14,42.91,41.79
2023-05-30,116.08,116.99,114.8,115.1,114.41,1654200,3.78,55.19,45.23
2023-05-26,114.83,116.205,114.2,115.51,114.8175,1527092,2.82,56.48,35.55
2023-05-25,112.5,114.96,112.05,114.26,113.575,1602086,1.30,53.41,26.52
2023-05-24,113.92,114.04,111.85,112.23,111.5572,1180422,-0.14,47.86,27.28
2023-05-23,114.55,115.37,114.22,114.55,113.8633,927956,0.52,54.78,35.13
2023-05-22,114.75,115.105,113.28,114.43,113.744,1269076,-1.09,54.46,39.61
2023-05-19,114.66,115.28,113.49,114.57,113.8832,1085931,-1.98,54.88,37.74
2023-05-18,113.66,115.47,113.25,114.67,113.9826,1049547,-3.00,55.16,44.48
2023-05-17,111.83,113.79,111.59,113.45,112.7699,1150185,-3.51,52.41,46.69
2023-05-16,111.8,112.07,109.96,111.32,110.6527,955869,-6.48,47.18,47.82
2023-05-15,112.82,113.32,111.495,112.69,112.0144,1003675,-0.55,50.50,48.18
2023-05-12,112.58,113.5,111.925,112.96,112.2828,972786,-3.51,51.16,47.41
2023-05-11,113.68,114.02,112.21,112.37,111.6964,1203898,-1.47,49.83,51.48
2023-05-10,116.19,116.3923,112.39,114.03,113.3464,1616649,2.43,53.64,52.72
2023-05-09,116.0,116.68,114.85,115.52,114.8275,1530751,8.79,57.29,58.75
2023-05-08,117.89,118.39,116.41,116.55,115.8513,1379393,6.88,59.91,61.69
2023-05-05,117.86,118.29,116.91,117.67,116.9646,1424405,5.08,62.80,68.15
2023-05-04,117.47,118.16,115.92,116.96,116.2588,1362431,5.72,61.71,62.58
2023-05-03,114.38,118.625,114.33,117.8,117.0938,2286914,6.07,63.77,61.36
2023-05-02,113.92,113.93,109.35,113.24,112.5612,2215926,1.40,56.47,52.44
2023-05-01,114.21,117.3,113.97,116.47,115.7718,1439022,4.89,65.09,64.58
2023-04-28,111.8,114.64,111.8,113.84,113.1576,1874432,2.69,60.53,62.80
