index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.08,0.05,0.03,60,37334500
29,2023-06-01,USD,0.08,0.05,0.03,60,37334500
30,2023-05-31,USD,0.08,0.05,0.03,60,37334500
31,2023-05-30,USD,0.08,0.05,0.03,60,37334500
32,2023-05-29,USD,0.08,0.05,0.03,60,37334500
33,2023-05-28,USD,0.08,0.05,0.03,60,37334500
34,2023-05-27,USD,0.08,0.05,0.03,60,37334500
35,2023-05-26,USD,0.08,0.05,0.03,60,37334500
36,2023-05-25,USD,0.08,0.05,0.03,60,37334500
37,2023-05-24,USD,0.08,0.05,0.03,60,37334500
38,2023-05-23,USD,0.08,0.05,0.03,60,37334500
39,2023-05-22,USD,0.08,0.05,0.03,60,37334500
40,2023-05-21,USD,0.08,0.05,0.03,60,37334500
41,2023-05-20,USD,0.08,0.05,0.03,60,37334500
42,2023-05-19,USD,0.08,0.05,0.03,60,37334500
43,2023-05-18,USD,0.08,0.05,0.03,60,37334500
44,2023-05-17,USD,0.08,0.05,0.03,60,37334500
45,2023-05-16,USD,0.08,0.05,0.03,60,37334500
46,2023-05-15,USD,0.08,0.05,0.03,60,37334500
47,2023-05-14,USD,0.08,0.05,0.03,60,37334500
48,2023-05-13,USD,0.08,0.05,0.03,60,37334500
49,2023-05-12,USD,0.08,0.05,0.03,60,37334500
50,2023-05-11,USD,0.08,0.05,0.03,60,37334500
51,2023-05-10,USD,0.08,0.05,0.03,60,37334500
52,2023-05-09,USD,0.08,0.05,0.03,60,37334500
53,2023-05-08,USD,0.08,0.05,0.03,60,37334500
54,2023-05-07,USD,0.08,0.05,0.03,60,37334500
55,2023-05-06,USD,0.08,0.05,0.03,60,37334500
56,2023-05-05,USD,0.08,0.05,0.03,60,37334500
57,2023-05-04,USD,0.08,0.05,0.03,60,37334500
58,2023-05-03,USD,0.08,0.05,0.03,60,37334500
59,2023-05-02,USD,0.08,0.05,0.03,60,37334500
60,2023-05-01,USD,0.08,0.05,0.03,60,37334500
61,2023-04-30,USD,0.08,0.05,0.03,60,37334500
62,2023-04-29,USD,0.08,0.05,0.03,60,37334500
63,2023-04-28,USD,0.08,0.05,0.03,60,37334500
64,2023-04-27,USD,0.08,0.05,0.03,60,37334500
65,2023-04-26,USD,0.08,0.05,0.03,60,37334500
66,2023-04-25,USD,0.08,0.05,0.03,60,37334500
67,2023-04-24,USD,0.08,0.05,0.03,60,37334500
68,2023-04-23,USD,0.08,0.05,0.03,60,37334500
69,2023-04-22,USD,0.08,0.05,0.03,60,37334500
70,2023-04-21,USD,0.08,0.05,0.03,60,37334500
71,2023-04-20,USD,0.08,0.05,0.03,60,37334500
72,2023-04-19,USD,0.08,0.05,0.03,60,37334500
73,2023-04-18,USD,0.08,0.05,0.03,60,37334500
74,2023-04-17,USD,0.08,0.05,0.03,60,37334500
75,2023-04-16,USD,0.08,0.05,0.03,60,37334500
76,2023-04-15,USD,0.08,0.05,0.03,60,37334500
77,2023-04-14,USD,0.08,0.05,0.03,60,37334500
78,2023-04-13,USD,0.08,0.05,0.03,60,37334500
79,2023-04-12,USD,0.08,0.05,0.03,60,37334500
80,2023-04-11,USD,0.08,0.05,0.03,60,37334500
81,2023-04-10,USD,0.08,0.05,0.03,60,37334500
82,2023-04-09,USD,0.08,0.05,0.03,60,37334500
83,2023-04-08,USD,0.08,0.05,0.03,60,37334500
84,2023-04-07,USD,0.08,0.05,0.03,60,37334500
85,2023-04-06,USD,0.08,0.05,0.03,60,37334500
86,2023-04-05,USD,0.08,0.05,0.03,60,37334500
87,2023-04-04,USD,0.08,0.05,0.03,60,37334500
88,2023-04-03,USD,0.08,0.05,0.03,60,37334500
89,2023-04-02,USD,0.08,0.05,0.03,60,37334500
90,2023-04-01,USD,0.08,0.05,0.03,60,37334500
91,2023-03-31,USD,0.08,0.05,0.03,60,37334500
92,2023-03-30,USD,0.08,0.04,0.04,100,37083400
93,2023-03-29,USD,0.08,0.04,0.04,100,37083400
94,2023-03-28,USD,0.08,0.04,0.04,100,37083400
95,2023-03-27,USD,0.08,0.04,0.04,100,37083400
96,2023-03-26,USD,0.08,0.04,0.04,100,37083400
97,2023-03-25,USD,0.08,0.04,0.04,100,37083400
98,2023-03-24,USD,0.08,0.04,0.04,100,37083400
99,2023-03-23,USD,0.08,0.04,0.04,100,37083400
100,2023-03-22,USD,0.08,0.04,0.04,100,37083400
101,2023-03-21,USD,0.08,0.04,0.04,100,37083400
102,2023-03-20,USD,0.08,0.04,0.04,100,37083400
103,2023-03-19,USD,0.08,0.04,0.04,100,37083400
104,2023-03-18,USD,0.08,0.04,0.04,100,37083400
105,2023-03-17,USD,0.08,0.04,0.04,100,37083400
106,2023-03-16,USD,0.08,0.04,0.04,100,37083400
107,2023-03-15,USD,0.08,0.04,0.04,100,37083400
108,2023-03-14,USD,0.08,0.04,0.04,100,37083400
109,2023-03-13,USD,0.08,0.04,0.04,100,37083400
110,2023-03-12,USD,0.08,0.04,0.04,100,37083400
111,2023-03-11,USD,0.08,0.04,0.04,100,37083400
112,2023-03-10,USD,0.08,0.04,0.04,100,37083400
113,2023-03-09,USD,0.08,0.04,0.04,100,37083400
114,2023-03-08,USD,0.08,0.04,0.04,100,37083400
115,2023-03-07,USD,0.08,0.04,0.04,100,37083400
116,2023-03-06,USD,0.08,0.04,0.04,100,37083400
117,2023-03-05,USD,0.08,0.04,0.04,100,37083400
118,2023-03-04,USD,0.08,0.04,0.04,100,37083400
119,2023-03-03,USD,0.08,0.04,0.04,100,37083400
120,2023-03-02,USD,0.08,0.04,0.04,100,37083400
121,2023-03-01,USD,0.08,0.04,0.04,100,37083400
122,2023-02-28,USD,0.08,0.04,0.04,100,37083400
123,2023-02-27,USD,0.08,0.04,0.04,100,37083400
124,2023-02-26,USD,0.08,0.04,0.04,100,37083400
125,2023-02-25,USD,0.08,0.04,0.04,100,37083400
126,2023-02-24,USD,0.08,0.04,0.04,100,37083400
127,2023-02-23,USD,0.08,0.04,0.04,100,37083400
128,2023-02-22,USD,0.08,0.04,0.04,100,37083400
129,2023-02-21,USD,0.08,0.04,0.04,100,37083400
130,2023-02-20,USD,0.08,0.04,0.04,100,37083400
131,2023-02-19,USD,0.08,0.04,0.04,100,37083400
132,2023-02-18,USD,0.08,0.04,0.04,100,37083400
133,2023-02-17,USD,0.08,0.04,0.04,100,37083400
134,2023-02-16,USD,0.08,0.04,0.04,100,37083400
135,2023-02-15,USD,0.08,0.04,0.04,100,37083400
136,2023-02-14,USD,0.08,0.04,0.04,100,37083400
137,2023-02-13,USD,0.08,0.04,0.04,100,37083400
138,2023-02-12,USD,0.08,0.04,0.04,100,37083400
139,2023-02-11,USD,0.08,0.04,0.04,100,37083400
140,2023-02-10,USD,0.08,0.04,0.04,100,37083400
141,2023-02-09,USD,0.08,0.04,0.04,100,37083400
142,2023-02-08,USD,0.08,0.04,0.04,100,37083400
143,2023-02-07,USD,0.08,0.04,0.04,100,37083400
144,2023-02-06,USD,0.08,0.04,0.04,100,37083400
145,2023-02-05,USD,0.08,0.04,0.04,100,37083400
146,2023-02-04,USD,0.08,0.04,0.04,100,37083400
147,2023-02-03,USD,0.08,0.04,0.04,100,37083400
148,2023-02-02,USD,0.08,0.04,0.04,100,37083400
149,2023-02-01,USD,0.08,0.04,0.04,100,37083400
150,2023-01-31,USD,0.08,0.04,0.04,100,37083400
151,2023-01-30,USD,0.08,0.04,0.04,100,37083400
152,2023-01-29,USD,0.08,0.04,0.04,100,37083400
153,2023-01-28,USD,0.08,0.04,0.04,100,37083400
154,2023-01-27,USD,0.08,0.04,0.04,100,37083400
155,2023-01-26,USD,0.08,0.04,0.04,100,37083400
156,2023-01-25,USD,0.08,0.04,0.04,100,37083400
157,2023-01-24,USD,0.08,0.04,0.04,100,37083400
158,2023-01-23,USD,0.08,0.04,0.04,100,37083400
159,2023-01-22,USD,0.08,0.04,0.04,100,37083400
160,2023-01-21,USD,0.08,0.04,0.04,100,37083400
161,2023-01-20,USD,0.08,0.04,0.04,100,37083400
162,2023-01-19,USD,0.08,0.04,0.04,100,37083400
163,2023-01-18,USD,0.08,0.04,0.04,100,37083400
164,2023-01-17,USD,0.08,0.04,0.04,100,37083400
165,2023-01-16,USD,0.08,0.04,0.04,100,37083400
166,2023-01-15,USD,0.08,0.04,0.04,100,37083400
167,2023-01-14,USD,0.08,0.04,0.04,100,37083400
168,2023-01-13,USD,0.08,0.04,0.04,100,37083400
169,2023-01-12,USD,0.08,0.04,0.04,100,37083400
170,2023-01-11,USD,0.08,0.04,0.04,100,37083400
171,2023-01-10,USD,0.08,0.04,0.04,100,37083400
172,2023-01-09,USD,0.08,0.04,0.04,100,37083400
173,2023-01-08,USD,0.08,0.04,0.04,100,37083400
174,2023-01-07,USD,0.08,0.04,0.04,100,37083400
175,2023-01-06,USD,0.08,0.04,0.04,100,37083400
176,2023-01-05,USD,0.08,0.04,0.04,100,37083400
177,2023-01-04,USD,0.08,0.04,0.04,100,37083400
178,2023-01-03,USD,0.08,0.04,0.04,100,37083400
