index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2022-09-30,USD,0.79,0.77,0.02,2.5974,7380600
1,2022-09-29,USD,0.83,0.82,0.01,1.2195,6695600
2,2022-09-28,USD,0.83,0.82,0.01,1.2195,6695600
3,2022-09-27,USD,0.83,0.82,0.01,1.2195,6695600
4,2022-09-26,USD,0.83,0.82,0.01,1.2195,6695600
5,2022-09-25,USD,0.83,0.82,0.01,1.2195,6695600
6,2022-09-24,USD,0.83,0.82,0.01,1.2195,6695600
7,2022-09-23,USD,0.83,0.82,0.01,1.2195,6695600
8,2022-09-22,USD,0.83,0.82,0.01,1.2195,6695600
9,2022-09-21,USD,0.83,0.82,0.01,1.2195,6695600
10,2022-09-20,USD,0.83,0.82,0.01,1.2195,6695600
11,2022-09-19,USD,0.83,0.82,0.01,1.2195,6695600
12,2022-09-18,USD,0.83,0.82,0.01,1.2195,6695600
13,2022-09-17,USD,0.83,0.82,0.01,1.2195,6695600
14,2022-09-16,USD,0.83,0.82,0.01,1.2195,6695600
15,2022-09-15,USD,0.83,0.82,0.01,1.2195,6695600
16,2022-09-14,USD,0.83,0.82,0.01,1.2195,6695600
17,2022-09-13,USD,0.83,0.82,0.01,1.2195,6695600
18,2022-09-12,USD,0.83,0.82,0.01,1.2195,6695600
19,2022-09-11,USD,0.83,0.82,0.01,1.2195,6695600
20,2022-09-10,USD,0.83,0.82,0.01,1.2195,6695600
21,2022-09-09,USD,0.83,0.82,0.01,1.2195,6695600
22,2022-09-08,USD,0.83,0.82,0.01,1.2195,6695600
23,2022-09-07,USD,0.83,0.82,0.01,1.2195,6695600
24,2022-09-06,USD,0.83,0.82,0.01,1.2195,6695600
25,2022-09-05,USD,0.83,0.82,0.01,1.2195,6695600
26,2022-09-04,USD,0.83,0.82,0.01,1.2195,6695600
27,2022-09-03,USD,0.83,0.82,0.01,1.2195,6695600
28,2022-09-02,USD,0.83,0.82,0.01,1.2195,6695600
29,2022-09-01,USD,0.83,0.82,0.01,1.2195,6695600
30,2022-08-31,USD,0.83,0.82,0.01,1.2195,6695600
31,2022-08-30,USD,0.83,0.82,0.01,1.2195,6695600
32,2022-08-29,USD,0.83,0.82,0.01,1.2195,6695600
33,2022-08-28,USD,0.83,0.82,0.01,1.2195,6695600
34,2022-08-27,USD,0.83,0.82,0.01,1.2195,6695600
35,2022-08-26,USD,0.83,0.82,0.01,1.2195,6695600
36,2022-08-25,USD,0.83,0.82,0.01,1.2195,6695600
37,2022-08-24,USD,0.83,0.82,0.01,1.2195,6695600
38,2022-08-23,USD,0.83,0.82,0.01,1.2195,6695600
39,2022-08-22,USD,0.83,0.82,0.01,1.2195,6695600
40,2022-08-21,USD,0.83,0.82,0.01,1.2195,6695600
41,2022-08-20,USD,0.83,0.82,0.01,1.2195,6695600
42,2022-08-19,USD,0.83,0.82,0.01,1.2195,6695600
