index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2023-03-31,USD,-0.05,-0.05,0,0,45487600
1,2023-03-30,USD,-0.04,-0.06,0.02,33.3333,45372100
2,2023-03-29,USD,-0.04,-0.06,0.02,33.3333,45372100
3,2023-03-28,USD,-0.04,-0.06,0.02,33.3333,45372100
4,2023-03-27,USD,-0.04,-0.06,0.02,33.3333,45372100
5,2023-03-26,USD,-0.04,-0.06,0.02,33.3333,45372100
6,2023-03-25,USD,-0.04,-0.06,0.02,33.3333,45372100
7,2023-03-24,USD,-0.04,-0.06,0.02,33.3333,45372100
8,2023-03-23,USD,-0.04,-0.06,0.02,33.3333,45372100
9,2023-03-22,USD,-0.04,-0.06,0.02,33.3333,45372100
10,2023-03-21,USD,-0.04,-0.06,0.02,33.3333,45372100
11,2023-03-20,USD,-0.04,-0.06,0.02,33.3333,45372100
12,2023-03-19,USD,-0.04,-0.06,0.02,33.3333,45372100
13,2023-03-18,USD,-0.04,-0.06,0.02,33.3333,45372100
14,2023-03-17,USD,-0.04,-0.06,0.02,33.3333,45372100
15,2023-03-16,USD,-0.04,-0.06,0.02,33.3333,45372100
16,2023-03-15,USD,-0.04,-0.06,0.02,33.3333,45372100
17,2023-03-14,USD,-0.04,-0.06,0.02,33.3333,45372100
18,2023-03-13,USD,-0.04,-0.06,0.02,33.3333,45372100
19,2023-03-12,USD,-0.04,-0.06,0.02,33.3333,45372100
20,2023-03-11,USD,-0.04,-0.06,0.02,33.3333,45372100
21,2023-03-10,USD,-0.04,-0.06,0.02,33.3333,45372100
22,2023-03-09,USD,-0.04,-0.06,0.02,33.3333,45372100
23,2023-03-08,USD,-0.04,-0.06,0.02,33.3333,45372100
24,2023-03-07,USD,-0.04,-0.06,0.02,33.3333,45372100
25,2023-03-06,USD,-0.04,-0.06,0.02,33.3333,45372100
26,2023-03-05,USD,-0.04,-0.06,0.02,33.3333,45372100
27,2023-03-04,USD,-0.04,-0.06,0.02,33.3333,45372100
28,2023-03-03,USD,-0.04,-0.06,0.02,33.3333,45372100
29,2023-03-02,USD,-0.04,-0.06,0.02,33.3333,45372100
30,2023-03-01,USD,-0.04,-0.06,0.02,33.3333,45372100
31,2023-02-28,USD,-0.04,-0.06,0.02,33.3333,45372100
32,2023-02-27,USD,-0.04,-0.06,0.02,33.3333,45372100
33,2023-02-26,USD,-0.04,-0.06,0.02,33.3333,45372100
34,2023-02-25,USD,-0.04,-0.06,0.02,33.3333,45372100
35,2023-02-24,USD,-0.04,-0.06,0.02,33.3333,45372100
36,2023-02-23,USD,-0.04,-0.06,0.02,33.3333,45372100
37,2023-02-22,USD,-0.04,-0.06,0.02,33.3333,45372100
38,2023-02-21,USD,-0.04,-0.06,0.02,33.3333,45372100
39,2023-02-20,USD,-0.04,-0.06,0.02,33.3333,45372100
40,2023-02-19,USD,-0.04,-0.06,0.02,33.3333,45372100
41,2023-02-18,USD,-0.04,-0.06,0.02,33.3333,45372100
42,2023-02-17,USD,-0.04,-0.06,0.02,33.3333,45372100
43,2023-02-16,USD,-0.04,-0.06,0.02,33.3333,45372100
44,2023-02-15,USD,-0.04,-0.06,0.02,33.3333,45372100
45,2023-02-14,USD,-0.04,-0.06,0.02,33.3333,45372100
46,2023-02-13,USD,-0.04,-0.06,0.02,33.3333,45372100
47,2023-02-12,USD,-0.04,-0.06,0.02,33.3333,45372100
48,2023-02-11,USD,-0.04,-0.06,0.02,33.3333,45372100
49,2023-02-10,USD,-0.04,-0.06,0.02,33.3333,45372100
50,2023-02-09,USD,-0.04,-0.06,0.02,33.3333,45372100
51,2023-02-08,USD,-0.04,-0.06,0.02,33.3333,45372100
52,2023-02-07,USD,-0.04,-0.06,0.02,33.3333,45372100
53,2023-02-06,USD,-0.04,-0.06,0.02,33.3333,45372100
54,2023-02-05,USD,-0.04,-0.06,0.02,33.3333,45372100
55,2023-02-04,USD,-0.04,-0.06,0.02,33.3333,45372100
56,2023-02-03,USD,-0.04,-0.06,0.02,33.3333,45372100
57,2023-02-02,USD,-0.04,-0.06,0.02,33.3333,45372100
58,2023-02-01,USD,-0.04,-0.06,0.02,33.3333,45372100
59,2023-01-31,USD,-0.04,-0.06,0.02,33.3333,45372100
60,2023-01-30,USD,-0.04,-0.06,0.02,33.3333,45372100
61,2023-01-29,USD,-0.04,-0.06,0.02,33.3333,45372100
62,2023-01-28,USD,-0.04,-0.06,0.02,33.3333,45372100
63,2023-01-27,USD,-0.04,-0.06,0.02,33.3333,45372100
64,2023-01-26,USD,-0.04,-0.06,0.02,33.3333,45372100
65,2023-01-25,USD,-0.04,-0.06,0.02,33.3333,45372100
66,2023-01-24,USD,-0.04,-0.06,0.02,33.3333,45372100
67,2023-01-23,USD,-0.04,-0.06,0.02,33.3333,45372100
68,2023-01-22,USD,-0.04,-0.06,0.02,33.3333,45372100
69,2023-01-21,USD,-0.04,-0.06,0.02,33.3333,45372100
70,2023-01-20,USD,-0.04,-0.06,0.02,33.3333,45372100
71,2023-01-19,USD,-0.04,-0.06,0.02,33.3333,45372100
72,2023-01-18,USD,-0.04,-0.06,0.02,33.3333,45372100
73,2023-01-17,USD,-0.04,-0.06,0.02,33.3333,45372100
74,2023-01-16,USD,-0.04,-0.06,0.02,33.3333,45372100
75,2023-01-15,USD,-0.04,-0.06,0.02,33.3333,45372100
76,2023-01-14,USD,-0.04,-0.06,0.02,33.3333,45372100
77,2023-01-13,USD,-0.04,-0.06,0.02,33.3333,45372100
78,2023-01-12,USD,-0.04,-0.06,0.02,33.3333,45372100
79,2023-01-11,USD,-0.04,-0.06,0.02,33.3333,45372100
80,2023-01-10,USD,-0.04,-0.06,0.02,33.3333,45372100
81,2023-01-09,USD,-0.04,-0.06,0.02,33.3333,45372100
82,2023-01-08,USD,-0.04,-0.06,0.02,33.3333,45372100
83,2023-01-07,USD,-0.04,-0.06,0.02,33.3333,45372100
84,2023-01-06,USD,-0.04,-0.06,0.02,33.3333,45372100
85,2023-01-05,USD,-0.04,-0.06,0.02,33.3333,45372100
86,2023-01-04,USD,-0.04,-0.06,0.02,33.3333,45372100
87,2023-01-03,USD,-0.04,-0.06,0.02,33.3333,45372100
88,2023-01-02,USD,-0.04,-0.06,0.02,33.3333,45372100
89,2023-01-01,USD,-0.04,-0.06,0.02,33.3333,45372100
90,2022-12-31,USD,-0.04,-0.06,0.02,33.3333,45372100
91,2022-12-30,USD,-0.03,-0.05,0.02,40,45038200
92,2022-12-29,USD,-0.03,-0.05,0.02,40,45038200
93,2022-12-28,USD,-0.03,-0.05,0.02,40,45038200
94,2022-12-27,USD,-0.03,-0.05,0.02,40,45038200
95,2022-12-26,USD,-0.03,-0.05,0.02,40,45038200
96,2022-12-25,USD,-0.03,-0.05,0.02,40,45038200
97,2022-12-24,USD,-0.03,-0.05,0.02,40,45038200
98,2022-12-23,USD,-0.03,-0.05,0.02,40,45038200
99,2022-12-22,USD,-0.03,-0.05,0.02,40,45038200
100,2022-12-21,USD,-0.03,-0.05,0.02,40,45038200
101,2022-12-20,USD,-0.03,-0.05,0.02,40,45038200
102,2022-12-19,USD,-0.03,-0.05,0.02,40,45038200
103,2022-12-18,USD,-0.03,-0.05,0.02,40,45038200
104,2022-12-17,USD,-0.03,-0.05,0.02,40,45038200
105,2022-12-16,USD,-0.03,-0.05,0.02,40,45038200
106,2022-12-15,USD,-0.03,-0.05,0.02,40,45038200
107,2022-12-14,USD,-0.03,-0.05,0.02,40,45038200
108,2022-12-13,USD,-0.03,-0.05,0.02,40,45038200
109,2022-12-12,USD,-0.03,-0.05,0.02,40,45038200
110,2022-12-11,USD,-0.03,-0.05,0.02,40,45038200
111,2022-12-10,USD,-0.03,-0.05,0.02,40,45038200
112,2022-12-09,USD,-0.03,-0.05,0.02,40,45038200
113,2022-12-08,USD,-0.03,-0.05,0.02,40,45038200
114,2022-12-07,USD,-0.03,-0.05,0.02,40,45038200
115,2022-12-06,USD,-0.03,-0.05,0.02,40,45038200
116,2022-12-05,USD,-0.03,-0.05,0.02,40,45038200
117,2022-12-04,USD,-0.03,-0.05,0.02,40,45038200
118,2022-12-03,USD,-0.03,-0.05,0.02,40,45038200
119,2022-12-02,USD,-0.03,-0.05,0.02,40,45038200
120,2022-12-01,USD,-0.03,-0.05,0.02,40,45038200
121,2022-11-30,USD,-0.03,-0.05,0.02,40,45038200
122,2022-11-29,USD,-0.03,-0.05,0.02,40,45038200
123,2022-11-28,USD,-0.03,-0.05,0.02,40,45038200
