index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2022-12-31,USD,4.9912,0,4.9912,,1930700
1,2022-12-30,USD,4.88,,,,2694900
2,2022-12-29,USD,4.88,,,,2694900
3,2022-12-28,USD,4.88,,,,2694900
4,2022-12-27,USD,4.88,,,,2694900
5,2022-12-26,USD,4.88,,,,2694900
6,2022-12-25,USD,4.88,,,,2694900
7,2022-12-24,USD,4.88,,,,2694900
8,2022-12-23,USD,4.88,,,,2694900
9,2022-12-22,USD,4.88,,,,2694900
10,2022-12-21,USD,4.88,,,,2694900
11,2022-12-20,USD,4.88,,,,2694900
12,2022-12-19,USD,4.88,,,,2694900
13,2022-12-18,USD,4.88,,,,2694900
14,2022-12-17,USD,4.88,,,,2694900
15,2022-12-16,USD,4.88,,,,2694900
16,2022-12-15,USD,4.88,,,,2694900
17,2022-12-14,USD,4.88,,,,2694900
18,2022-12-13,USD,4.88,,,,2694900
19,2022-12-12,USD,4.88,,,,2694900
20,2022-12-11,USD,4.88,,,,2694900
21,2022-12-10,USD,4.88,,,,2694900
22,2022-12-09,USD,4.88,,,,2694900
23,2022-12-08,USD,4.88,,,,2694900
24,2022-12-07,USD,4.88,,,,2694900
25,2022-12-06,USD,4.88,,,,2694900
26,2022-12-05,USD,4.88,,,,2694900
27,2022-12-04,USD,4.88,,,,2694900
28,2022-12-03,USD,4.88,,,,2694900
29,2022-12-02,USD,4.88,,,,2694900
30,2022-12-01,USD,4.88,,,,2694900
31,2022-11-30,USD,4.88,,,,2694900
32,2022-11-29,USD,4.88,,,,2694900
33,2022-11-28,USD,4.88,,,,2694900
34,2022-11-27,USD,4.88,,,,2694900
35,2022-11-26,USD,4.88,,,,2694900
36,2022-11-25,USD,4.88,,,,2694900
37,2022-11-24,USD,4.88,,,,2694900
38,2022-11-23,USD,4.88,,,,2694900
39,2022-11-22,USD,4.88,,,,2694900
40,2022-11-21,USD,4.88,,,,2694900
41,2022-11-20,USD,4.88,,,,2694900
42,2022-11-19,USD,4.88,,,,2694900
43,2022-11-18,USD,4.88,,,,2694900
44,2022-11-17,USD,4.88,,,,2694900
45,2022-11-16,USD,4.88,,,,2694900
46,2022-11-15,USD,4.88,,,,2694900
47,2022-11-14,USD,4.88,,,,2694900
48,2022-11-13,USD,4.88,,,,2694900
49,2022-11-12,USD,4.88,,,,2694900
50,2022-11-11,USD,4.88,,,,2694900
51,2022-11-10,USD,4.88,,,,2694900
52,2022-11-09,USD,4.88,,,,2694900
53,2022-11-08,USD,4.88,,,,2694900
54,2022-11-07,USD,4.88,,,,2694900
55,2022-11-06,USD,4.88,,,,2694900
56,2022-11-05,USD,4.88,,,,2694900
57,2022-11-04,USD,4.88,,,,2694900
58,2022-11-03,USD,4.88,,,,2694900
59,2022-11-02,USD,4.88,,,,2694900
60,2022-11-01,USD,4.88,,,,2694900
61,2022-10-31,USD,4.88,,,,2694900
62,2022-10-30,USD,4.88,,,,2694900
63,2022-10-29,USD,4.88,,,,2694900
64,2022-10-28,USD,4.88,,,,2694900
65,2022-10-27,USD,4.88,,,,2694900
66,2022-10-26,USD,4.88,,,,2694900
67,2022-10-25,USD,4.88,,,,2694900
68,2022-10-24,USD,4.88,,,,2694900
69,2022-10-23,USD,4.88,,,,2694900
70,2022-10-22,USD,4.88,,,,2694900
71,2022-10-21,USD,4.88,,,,2694900
72,2022-10-20,USD,4.88,,,,2694900
73,2022-10-19,USD,4.88,,,,2694900
74,2022-10-18,USD,4.88,,,,2694900
75,2022-10-17,USD,4.88,,,,2694900
76,2022-10-16,USD,4.88,,,,2694900
77,2022-10-15,USD,4.88,,,,2694900
78,2022-10-14,USD,4.88,,,,2694900
79,2022-10-13,USD,4.88,,,,2694900
80,2022-10-12,USD,4.88,,,,2694900
81,2022-10-11,USD,4.88,,,,2694900
82,2022-10-10,USD,4.88,,,,2694900
83,2022-10-09,USD,4.88,,,,2694900
84,2022-10-08,USD,4.88,,,,2694900
85,2022-10-07,USD,4.88,,,,2694900
86,2022-10-06,USD,4.88,,,,2694900
87,2022-10-05,USD,4.88,,,,2694900
88,2022-10-04,USD,4.88,,,,2694900
89,2022-10-03,USD,4.88,,,,2694900
90,2022-10-02,USD,4.88,,,,2694900
91,2022-10-01,USD,4.88,,,,2694900
