index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2022-12-31,USD,-0.1,-0.1,0,0,49647500
1,2022-12-30,USD,-0.32,-0.23,-0.09,-39.1304,47105000
2,2022-12-29,USD,-0.32,-0.23,-0.09,-39.1304,47105000
3,2022-12-28,USD,-0.32,-0.23,-0.09,-39.1304,47105000
4,2022-12-27,USD,-0.32,-0.23,-0.09,-39.1304,47105000
5,2022-12-26,USD,-0.32,-0.23,-0.09,-39.1304,47105000
6,2022-12-25,USD,-0.32,-0.23,-0.09,-39.1304,47105000
7,2022-12-24,USD,-0.32,-0.23,-0.09,-39.1304,47105000
8,2022-12-23,USD,-0.32,-0.23,-0.09,-39.1304,47105000
9,2022-12-22,USD,-0.32,-0.23,-0.09,-39.1304,47105000
10,2022-12-21,USD,-0.32,-0.23,-0.09,-39.1304,47105000
11,2022-12-20,USD,-0.32,-0.23,-0.09,-39.1304,47105000
12,2022-12-19,USD,-0.32,-0.23,-0.09,-39.1304,47105000
13,2022-12-18,USD,-0.32,-0.23,-0.09,-39.1304,47105000
14,2022-12-17,USD,-0.32,-0.23,-0.09,-39.1304,47105000
15,2022-12-16,USD,-0.32,-0.23,-0.09,-39.1304,47105000
16,2022-12-15,USD,-0.32,-0.23,-0.09,-39.1304,47105000
17,2022-12-14,USD,-0.32,-0.23,-0.09,-39.1304,47105000
18,2022-12-13,USD,-0.32,-0.23,-0.09,-39.1304,47105000
19,2022-12-12,USD,-0.32,-0.23,-0.09,-39.1304,47105000
20,2022-12-11,USD,-0.32,-0.23,-0.09,-39.1304,47105000
21,2022-12-10,USD,-0.32,-0.23,-0.09,-39.1304,47105000
22,2022-12-09,USD,-0.32,-0.23,-0.09,-39.1304,47105000
23,2022-12-08,USD,-0.32,-0.23,-0.09,-39.1304,47105000
24,2022-12-07,USD,-0.32,-0.23,-0.09,-39.1304,47105000
25,2022-12-06,USD,-0.32,-0.23,-0.09,-39.1304,47105000
26,2022-12-05,USD,-0.32,-0.23,-0.09,-39.1304,47105000
27,2022-12-04,USD,-0.32,-0.23,-0.09,-39.1304,47105000
28,2022-12-03,USD,-0.32,-0.23,-0.09,-39.1304,47105000
29,2022-12-02,USD,-0.32,-0.23,-0.09,-39.1304,47105000
30,2022-12-01,USD,-0.32,-0.23,-0.09,-39.1304,47105000
31,2022-11-30,USD,-0.32,-0.23,-0.09,-39.1304,47105000
32,2022-11-29,USD,-0.32,-0.23,-0.09,-39.1304,47105000
33,2022-11-28,USD,-0.32,-0.23,-0.09,-39.1304,47105000
34,2022-11-27,USD,-0.32,-0.23,-0.09,-39.1304,47105000
35,2022-11-26,USD,-0.32,-0.23,-0.09,-39.1304,47105000
36,2022-11-25,USD,-0.32,-0.23,-0.09,-39.1304,47105000
37,2022-11-24,USD,-0.32,-0.23,-0.09,-39.1304,47105000
38,2022-11-23,USD,-0.32,-0.23,-0.09,-39.1304,47105000
39,2022-11-22,USD,-0.32,-0.23,-0.09,-39.1304,47105000
40,2022-11-21,USD,-0.32,-0.23,-0.09,-39.1304,47105000
41,2022-11-20,USD,-0.32,-0.23,-0.09,-39.1304,47105000
42,2022-11-19,USD,-0.32,-0.23,-0.09,-39.1304,47105000
43,2022-11-18,USD,-0.32,-0.23,-0.09,-39.1304,47105000
44,2022-11-17,USD,-0.32,-0.23,-0.09,-39.1304,47105000
45,2022-11-16,USD,-0.32,-0.23,-0.09,-39.1304,47105000
46,2022-11-15,USD,-0.32,-0.23,-0.09,-39.1304,47105000
47,2022-11-14,USD,-0.32,-0.23,-0.09,-39.1304,47105000
48,2022-11-13,USD,-0.32,-0.23,-0.09,-39.1304,47105000
49,2022-11-12,USD,-0.32,-0.23,-0.09,-39.1304,47105000
50,2022-11-11,USD,-0.32,-0.23,-0.09,-39.1304,47105000
51,2022-11-10,USD,-0.32,-0.23,-0.09,-39.1304,47105000
52,2022-11-09,USD,-0.32,-0.23,-0.09,-39.1304,47105000
53,2022-11-08,USD,-0.32,-0.23,-0.09,-39.1304,47105000
54,2022-11-07,USD,-0.32,-0.23,-0.09,-39.1304,47105000
55,2022-11-06,USD,-0.32,-0.23,-0.09,-39.1304,47105000
56,2022-11-05,USD,-0.32,-0.23,-0.09,-39.1304,47105000
57,2022-11-04,USD,-0.32,-0.23,-0.09,-39.1304,47105000
58,2022-11-03,USD,-0.32,-0.23,-0.09,-39.1304,47105000
59,2022-11-02,USD,-0.32,-0.23,-0.09,-39.1304,47105000
60,2022-11-01,USD,-0.32,-0.23,-0.09,-39.1304,47105000
61,2022-10-31,USD,-0.32,-0.23,-0.09,-39.1304,47105000
62,2022-10-30,USD,-0.32,-0.23,-0.09,-39.1304,47105000
63,2022-10-29,USD,-0.32,-0.23,-0.09,-39.1304,47105000
64,2022-10-28,USD,-0.32,-0.23,-0.09,-39.1304,47105000
65,2022-10-27,USD,-0.32,-0.23,-0.09,-39.1304,47105000
66,2022-10-26,USD,-0.32,-0.23,-0.09,-39.1304,47105000
67,2022-10-25,USD,-0.32,-0.23,-0.09,-39.1304,47105000
68,2022-10-24,USD,-0.32,-0.23,-0.09,-39.1304,47105000
69,2022-10-23,USD,-0.32,-0.23,-0.09,-39.1304,47105000
70,2022-10-22,USD,-0.32,-0.23,-0.09,-39.1304,47105000
71,2022-10-21,USD,-0.32,-0.23,-0.09,-39.1304,47105000
72,2022-10-20,USD,-0.32,-0.23,-0.09,-39.1304,47105000
73,2022-10-19,USD,-0.32,-0.23,-0.09,-39.1304,47105000
74,2022-10-18,USD,-0.32,-0.23,-0.09,-39.1304,47105000
75,2022-10-17,USD,-0.32,-0.23,-0.09,-39.1304,47105000
76,2022-10-16,USD,-0.32,-0.23,-0.09,-39.1304,47105000
77,2022-10-15,USD,-0.32,-0.23,-0.09,-39.1304,47105000
78,2022-10-14,USD,-0.32,-0.23,-0.09,-39.1304,47105000
79,2022-10-13,USD,-0.32,-0.23,-0.09,-39.1304,47105000
80,2022-10-12,USD,-0.32,-0.23,-0.09,-39.1304,47105000
81,2022-10-11,USD,-0.32,-0.23,-0.09,-39.1304,47105000
82,2022-10-10,USD,-0.32,-0.23,-0.09,-39.1304,47105000
83,2022-10-09,USD,-0.32,-0.23,-0.09,-39.1304,47105000
84,2022-10-08,USD,-0.32,-0.23,-0.09,-39.1304,47105000
85,2022-10-07,USD,-0.32,-0.23,-0.09,-39.1304,47105000
86,2022-10-06,USD,-0.32,-0.23,-0.09,-39.1304,47105000
87,2022-10-05,USD,-0.32,-0.23,-0.09,-39.1304,47105000
88,2022-10-04,USD,-0.32,-0.23,-0.09,-39.1304,47105000
89,2022-10-03,USD,-0.32,-0.23,-0.09,-39.1304,47105000
90,2022-10-02,USD,-0.32,-0.23,-0.09,-39.1304,47105000
91,2022-10-01,USD,-0.32,-0.23,-0.09,-39.1304,47105000
92,2022-09-30,USD,-0.32,-0.23,-0.09,-39.1304,47105000
93,2022-09-29,USD,0.24,-0.2,0.44,220,42977500
94,2022-09-28,USD,0.24,-0.2,0.44,220,42977500
95,2022-09-27,USD,0.24,-0.2,0.44,220,42977500
96,2022-09-26,USD,0.24,-0.2,0.44,220,42977500
97,2022-09-25,USD,0.24,-0.2,0.44,220,42977500
98,2022-09-24,USD,0.24,-0.2,0.44,220,42977500
99,2022-09-23,USD,0.24,-0.2,0.44,220,42977500
100,2022-09-22,USD,0.24,-0.2,0.44,220,42977500
101,2022-09-21,USD,0.24,-0.2,0.44,220,42977500
102,2022-09-20,USD,0.24,-0.2,0.44,220,42977500
103,2022-09-19,USD,0.24,-0.2,0.44,220,42977500
104,2022-09-18,USD,0.24,-0.2,0.44,220,42977500
105,2022-09-17,USD,0.24,-0.2,0.44,220,42977500
106,2022-09-16,USD,0.24,-0.2,0.44,220,42977500
107,2022-09-15,USD,0.24,-0.2,0.44,220,42977500
108,2022-09-14,USD,0.24,-0.2,0.44,220,42977500
109,2022-09-13,USD,0.24,-0.2,0.44,220,42977500
110,2022-09-12,USD,0.24,-0.2,0.44,220,42977500
111,2022-09-11,USD,0.24,-0.2,0.44,220,42977500
112,2022-09-10,USD,0.24,-0.2,0.44,220,42977500
113,2022-09-09,USD,0.24,-0.2,0.44,220,42977500
114,2022-09-08,USD,0.24,-0.2,0.44,220,42977500
115,2022-09-07,USD,0.24,-0.2,0.44,220,42977500
116,2022-09-06,USD,0.24,-0.2,0.44,220,42977500
117,2022-09-05,USD,0.24,-0.2,0.44,220,42977500
118,2022-09-04,USD,0.24,-0.2,0.44,220,42977500
119,2022-09-03,USD,0.24,-0.2,0.44,220,42977500
120,2022-09-02,USD,0.24,-0.2,0.44,220,42977500
121,2022-09-01,USD,0.24,-0.2,0.44,220,42977500
122,2022-08-31,USD,0.24,-0.2,0.44,220,42977500
123,2022-08-30,USD,0.24,-0.2,0.44,220,42977500
124,2022-08-29,USD,0.24,-0.2,0.44,220,42977500
125,2022-08-28,USD,0.24,-0.2,0.44,220,42977500
126,2022-08-27,USD,0.24,-0.2,0.44,220,42977500
127,2022-08-26,USD,0.24,-0.2,0.44,220,42977500
128,2022-08-25,USD,0.24,-0.2,0.44,220,42977500
129,2022-08-24,USD,0.24,-0.2,0.44,220,42977500
130,2022-08-23,USD,0.24,-0.2,0.44,220,42977500
131,2022-08-22,USD,0.24,-0.2,0.44,220,42977500
132,2022-08-21,USD,0.24,-0.2,0.44,220,42977500
133,2022-08-20,USD,0.24,-0.2,0.44,220,42977500
134,2022-08-19,USD,0.24,-0.2,0.44,220,42977500
135,2022-08-18,USD,0.24,-0.2,0.44,220,42977500
136,2022-08-17,USD,0.24,-0.2,0.44,220,42977500
137,2022-08-16,USD,0.24,-0.2,0.44,220,42977500
138,2022-08-15,USD,0.24,-0.2,0.44,220,42977500
139,2022-08-14,USD,0.24,-0.2,0.44,220,42977500
140,2022-08-13,USD,0.24,-0.2,0.44,220,42977500
141,2022-08-12,USD,0.24,-0.2,0.44,220,42977500
142,2022-08-11,USD,0.24,-0.2,0.44,220,42977500
143,2022-08-10,USD,0.24,-0.2,0.44,220,42977500
144,2022-08-09,USD,0.24,-0.2,0.44,220,42977500
145,2022-08-08,USD,0.24,-0.2,0.44,220,42977500
146,2022-08-07,USD,0.24,-0.2,0.44,220,42977500
147,2022-08-06,USD,0.24,-0.2,0.44,220,42977500
148,2022-08-05,USD,0.24,-0.2,0.44,220,42977500
149,2022-08-04,USD,0.24,-0.2,0.44,220,42977500
150,2022-08-03,USD,0.24,-0.2,0.44,220,42977500
151,2022-08-02,USD,0.24,-0.2,0.44,220,42977500
152,2022-08-01,USD,0.24,-0.2,0.44,220,42977500
153,2022-07-31,USD,0.24,-0.2,0.44,220,42977500
154,2022-07-30,USD,0.24,-0.2,0.44,220,42977500
155,2022-07-29,USD,0.24,-0.2,0.44,220,42977500
156,2022-07-28,USD,0.24,-0.2,0.44,220,42977500
157,2022-07-27,USD,0.24,-0.2,0.44,220,42977500
158,2022-07-26,USD,0.24,-0.2,0.44,220,42977500
159,2022-07-25,USD,0.24,-0.2,0.44,220,42977500
160,2022-07-24,USD,0.24,-0.2,0.44,220,42977500
161,2022-07-23,USD,0.24,-0.2,0.44,220,42977500
162,2022-07-22,USD,0.24,-0.2,0.44,220,42977500
163,2022-07-21,USD,0.24,-0.2,0.44,220,42977500
164,2022-07-20,USD,0.24,-0.2,0.44,220,42977500
165,2022-07-19,USD,0.24,-0.2,0.44,220,42977500
166,2022-07-18,USD,0.24,-0.2,0.44,220,42977500
167,2022-07-17,USD,0.24,-0.2,0.44,220,42977500
168,2022-07-16,USD,0.24,-0.2,0.44,220,42977500
169,2022-07-15,USD,0.24,-0.2,0.44,220,42977500
170,2022-07-14,USD,0.24,-0.2,0.44,220,42977500
171,2022-07-13,USD,0.24,-0.2,0.44,220,42977500
172,2022-07-12,USD,0.24,-0.2,0.44,220,42977500
173,2022-07-11,USD,0.24,-0.2,0.44,220,42977500
174,2022-07-10,USD,0.24,-0.2,0.44,220,42977500
175,2022-07-09,USD,0.24,-0.2,0.44,220,42977500
176,2022-07-08,USD,0.24,-0.2,0.44,220,42977500
177,2022-07-07,USD,0.24,-0.2,0.44,220,42977500
178,2022-07-06,USD,0.24,-0.2,0.44,220,42977500
179,2022-07-05,USD,0.24,-0.2,0.44,220,42977500
180,2022-07-04,USD,0.24,-0.2,0.44,220,42977500
181,2022-07-03,USD,0.24,-0.2,0.44,220,42977500
182,2022-07-02,USD,0.24,-0.2,0.44,220,42977500
183,2022-07-01,USD,0.24,-0.2,0.44,220,42977500
184,2022-06-30,USD,0.24,-0.2,0.44,220,42977500
185,2022-06-29,USD,-0.51,-0.15,-0.36,-240,42110900
186,2022-06-28,USD,-0.51,-0.15,-0.36,-240,42110900
187,2022-06-27,USD,-0.51,-0.15,-0.36,-240,42110900
188,2022-06-26,USD,-0.51,-0.15,-0.36,-240,42110900
189,2022-06-25,USD,-0.51,-0.15,-0.36,-240,42110900
190,2022-06-24,USD,-0.51,-0.15,-0.36,-240,42110900
191,2022-06-23,USD,-0.51,-0.15,-0.36,-240,42110900
192,2022-06-22,USD,-0.51,-0.15,-0.36,-240,42110900
193,2022-06-21,USD,-0.51,-0.15,-0.36,-240,42110900
194,2022-06-20,USD,-0.51,-0.15,-0.36,-240,42110900
195,2022-06-19,USD,-0.51,-0.15,-0.36,-240,42110900
196,2022-06-18,USD,-0.51,-0.15,-0.36,-240,42110900
197,2022-06-17,USD,-0.51,-0.15,-0.36,-240,42110900
198,2022-06-16,USD,-0.51,-0.15,-0.36,-240,42110900
199,2022-06-15,USD,-0.51,-0.15,-0.36,-240,42110900
200,2022-06-14,USD,-0.51,-0.15,-0.36,-240,42110900
