index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.66,,,,4510600
29,2023-06-01,USD,0.66,,,,4510600
30,2023-05-31,USD,0.66,,,,4510600
31,2023-05-30,USD,0.66,,,,4510600
32,2023-05-29,USD,0.66,,,,4510600
33,2023-05-28,USD,0.66,,,,4510600
34,2023-05-27,USD,0.66,,,,4510600
35,2023-05-26,USD,0.66,,,,4510600
36,2023-05-25,USD,0.66,,,,4510600
37,2023-05-24,USD,0.66,,,,4510600
38,2023-05-23,USD,0.66,,,,4510600
39,2023-05-22,USD,0.66,,,,4510600
40,2023-05-21,USD,0.66,,,,4510600
41,2023-05-20,USD,0.66,,,,4510600
42,2023-05-19,USD,0.66,,,,4510600
43,2023-05-18,USD,0.66,,,,4510600
44,2023-05-17,USD,0.66,,,,4510600
45,2023-05-16,USD,0.66,,,,4510600
46,2023-05-15,USD,0.66,,,,4510600
47,2023-05-14,USD,0.66,,,,4510600
48,2023-05-13,USD,0.66,,,,4510600
49,2023-05-12,USD,0.66,,,,4510600
50,2023-05-11,USD,0.66,,,,4510600
51,2023-05-10,USD,0.66,,,,4510600
52,2023-05-09,USD,0.66,,,,4510600
53,2023-05-08,USD,0.66,,,,4510600
54,2023-05-07,USD,0.66,,,,4510600
55,2023-05-06,USD,0.66,,,,4510600
56,2023-05-05,USD,0.66,,,,4510600
57,2023-05-04,USD,0.66,,,,4510600
58,2023-05-03,USD,0.66,,,,4510600
59,2023-05-02,USD,0.66,,,,4510600
60,2023-05-01,USD,0.66,,,,4510600
61,2023-04-30,USD,0.66,,,,4510600
62,2023-04-29,USD,0.66,,,,4510600
63,2023-04-28,USD,0.66,,,,4510600
64,2023-04-27,USD,0.66,,,,4510600
65,2023-04-26,USD,0.66,,,,4510600
66,2023-04-25,USD,0.66,,,,4510600
67,2023-04-24,USD,0.66,,,,4510600
68,2023-04-23,USD,0.66,,,,4510600
69,2023-04-22,USD,0.66,,,,4510600
70,2023-04-21,USD,0.66,,,,4510600
71,2023-04-20,USD,0.66,,,,4510600
72,2023-04-19,USD,0.66,,,,4510600
73,2023-04-18,USD,0.66,,,,4510600
74,2023-04-17,USD,0.66,,,,4510600
75,2023-04-16,USD,0.66,,,,4510600
76,2023-04-15,USD,0.66,,,,4510600
77,2023-04-14,USD,0.66,,,,4510600
78,2023-04-13,USD,0.66,,,,4510600
79,2023-04-12,USD,0.66,,,,4510600
80,2023-04-11,USD,0.66,,,,4510600
81,2023-04-10,USD,0.66,,,,4510600
82,2023-04-09,USD,0.66,,,,4510600
83,2023-04-08,USD,0.66,,,,4510600
84,2023-04-07,USD,0.66,,,,4510600
85,2023-04-06,USD,0.66,,,,4510600
86,2023-04-05,USD,0.66,,,,4510600
87,2023-04-04,USD,0.66,,,,4510600
88,2023-04-03,USD,0.66,,,,4510600
89,2023-04-02,USD,0.66,,,,4510600
90,2023-04-01,USD,0.66,,,,4510600
91,2023-03-31,USD,0.66,,,,4510600
92,2023-03-30,USD,0.77,,,,4472700
93,2023-03-29,USD,0.77,,,,4472700
94,2023-03-28,USD,0.77,,,,4472700
95,2023-03-27,USD,0.77,,,,4472700
96,2023-03-26,USD,0.77,,,,4472700
97,2023-03-25,USD,0.77,,,,4472700
98,2023-03-24,USD,0.77,,,,4472700
99,2023-03-23,USD,0.77,,,,4472700
100,2023-03-22,USD,0.77,,,,4472700
101,2023-03-21,USD,0.77,,,,4472700
102,2023-03-20,USD,0.77,,,,4472700
103,2023-03-19,USD,0.77,,,,4472700
104,2023-03-18,USD,0.77,,,,4472700
105,2023-03-17,USD,0.77,,,,4472700
106,2023-03-16,USD,0.77,,,,4472700
107,2023-03-15,USD,0.77,,,,4472700
108,2023-03-14,USD,0.77,,,,4472700
109,2023-03-13,USD,0.77,,,,4472700
110,2023-03-12,USD,0.77,,,,4472700
111,2023-03-11,USD,0.77,,,,4472700
112,2023-03-10,USD,0.77,,,,4472700
113,2023-03-09,USD,0.77,,,,4472700
114,2023-03-08,USD,0.77,,,,4472700
115,2023-03-07,USD,0.77,,,,4472700
116,2023-03-06,USD,0.77,,,,4472700
117,2023-03-05,USD,0.77,,,,4472700
118,2023-03-04,USD,0.77,,,,4472700
119,2023-03-03,USD,0.77,,,,4472700
120,2023-03-02,USD,0.77,,,,4472700
121,2023-03-01,USD,0.77,,,,4472700
122,2023-02-28,USD,0.77,,,,4472700
123,2023-02-27,USD,0.77,,,,4472700
124,2023-02-26,USD,0.77,,,,4472700
125,2023-02-25,USD,0.77,,,,4472700
126,2023-02-24,USD,0.77,,,,4472700
127,2023-02-23,USD,0.77,,,,4472700
128,2023-02-22,USD,0.77,,,,4472700
129,2023-02-21,USD,0.77,,,,4472700
130,2023-02-20,USD,0.77,,,,4472700
131,2023-02-19,USD,0.77,,,,4472700
132,2023-02-18,USD,0.77,,,,4472700
133,2023-02-17,USD,0.77,,,,4472700
134,2023-02-16,USD,0.77,,,,4472700
135,2023-02-15,USD,0.77,,,,4472700
