date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,17.25,17.67,17.25,17.67,17.4883,5300,0,USD,-0.1344,,,,3645000
2023-03-30,18.2444,18.2444,16.7,17.6699,17.4883,14129,1,USD,0.4729,,,,3648000
2023-03-29,17.82,17.93,17.7,17.75,17.5675,12679,2,USD,0.4729,,,,3648000
2023-03-28,17.76,17.76,17.76,17.76,17.5774,380,3,USD,0.4729,,,,3648000
2023-03-27,17.682,17.76,17.6,17.76,17.5774,22328,4,USD,0.4729,,,,3648000
2023-03-24,17.6111,17.79,17.6111,17.75,17.5675,6057,7,USD,0.4729,,,,3648000
2023-03-23,18.22,18.22,18.03,18.03,17.8446,3041,8,USD,0.4729,,,,3648000
2023-03-22,18.18,18.45,18.13,18.3,18.1119,12619,9,USD,0.4729,,,,3648000
2023-03-21,18.28,18.365,18.0214,18.16,17.9733,10144,10,USD,0.4729,,,,3648000
2023-03-20,18.05,18.31,18.05,18.12,17.9337,1624,11,USD,0.4729,,,,3648000
2023-03-17,18.75,18.75,18.05,18.05,17.8644,17532,14,USD,0.4729,,,,3648000
2023-03-16,18.5,19.04,18.43,18.75,18.5572,17155,15,USD,0.4729,,,,3648000
2023-03-15,18.54,18.7,17.67,18.26,18.0723,10511,16,USD,0.4729,,,,3648000
2023-03-14,18.57,19.47,18.57,19.1,18.9036,13383,17,USD,0.4729,,,,3648000
2023-03-13,18.51,19.2,18.1404,18.5,18.3098,4608,18,USD,0.4729,,,,3648000
2023-03-10,19.46,19.7899,18.57,19.5,19.2995,22546,21,USD,0.4729,,,,3648000
2023-03-09,19.62,19.73,19.02,19.7,19.4975,16068,22,USD,0.4729,,,,3648000
2023-03-08,19.45,19.8,19.2,19.8,19.5965,6327,23,USD,0.4729,,,,3648000
2023-03-07,19.0,19.2836,18.2962,19.265,19.067,12211,24,USD,0.4729,,,,3648000
2023-03-06,18.5,19.25,18.5,18.92,18.7255,27948,25,USD,0.4729,,,,3648000
2023-03-03,18.0,18.5,18.0,18.5,18.3098,9014,28,USD,0.4729,,,,3648000
2023-03-02,17.788,18.33,17.788,18.0,17.815,11876,29,USD,0.4729,,,,3648000
2023-03-01,17.84,18.26,17.84,18.24,18.0525,9383,30,USD,0.4729,,,,3648000
2023-02-28,18.52,18.52,17.95,18.25,18.0624,2707,31,USD,0.4729,,,,3648000
2023-02-27,17.49,18.72,17.33,17.8,17.617,28137,32,USD,0.4729,,,,3648000
2023-02-24,19.0514,19.0514,17.56,17.73,17.424,10529,35,USD,0.4729,,,,3648000
2023-02-23,18.653,18.68,18.32,18.46,18.1414,5601,36,USD,0.4729,,,,3648000
2023-02-22,18.27,18.74,18.2501,18.55,18.2299,7132,37,USD,0.4729,,,,3648000
2023-02-21,19.0,19.0,17.75,18.3,17.9842,8750,38,USD,0.4729,,,,3648000
2023-02-17,19.3,19.36,19.29,19.29,18.9571,7479,42,USD,0.4729,,,,3648000
2023-02-16,19.38,19.5704,19.3,19.3,18.9669,3125,43,USD,0.4729,,,,3648000
2023-02-15,19.5,19.59,19.4,19.59,19.2519,10724,44,USD,0.4729,,,,3648000
2023-02-14,19.25,19.7,19.25,19.49,19.1536,1868,45,USD,0.4729,,,,3648000
2023-02-13,19.31,19.63,19.31,19.47,19.134,1767,46,USD,0.4729,,,,3648000
2023-02-10,19.32,19.7399,19.32,19.47,19.134,2055,49,USD,0.4729,,,,3648000
2023-02-09,19.75,19.96,19.75,19.75,19.4092,1375,50,USD,0.4729,,,,3648000
2023-02-08,19.86,19.96,19.5025,19.73,19.3895,9121,51,USD,0.4729,,,,3648000
2023-02-07,19.85,19.8999,19.566,19.82,19.4779,3042,52,USD,0.4729,,,,3648000
2023-02-06,19.7,19.82,19.25,19.82,19.4779,8758,53,USD,0.4729,,,,3648000
2023-02-03,19.4,19.7,19.255,19.41,19.075,6319,56,USD,0.4729,,,,3648000
2023-02-02,18.95,19.5,18.95,19.32,18.9866,11564,57,USD,0.4729,,,,3648000
2023-02-01,18.7,19.26,18.55,18.96,18.6328,10001,58,USD,0.4729,,,,3648000
2023-01-31,18.82,19.0,18.81,18.9,18.5738,1517,59,USD,0.4729,,,,3648000
2023-01-30,18.364,18.4,18.295,18.4,18.0825,911,60,USD,0.4729,,,,3648000
2023-01-27,18.02,18.3,17.7087,18.3,17.9842,7019,63,USD,0.4729,,,,3648000
2023-01-26,18.0,18.28,18.0,18.28,17.9645,3263,64,USD,0.4729,,,,3648000
2023-01-25,17.83,18.1,17.75,18.1,17.7876,18719,65,USD,0.4729,,,,3648000
2023-01-24,17.85,18.1058,17.85,18.1058,17.7933,1813,66,USD,0.4729,,,,3648000
2023-01-23,17.79,18.21,17.6,17.6331,17.3288,19023,67,USD,0.4729,,,,3648000
2023-01-20,17.825,17.825,17.4,17.66,17.3552,2885,70,USD,0.4729,,,,3648000
2023-01-19,17.347,17.9785,17.347,17.81,17.5026,1877,71,USD,0.4729,,,,3648000
2023-01-18,17.9,18.1,17.59,17.9,17.5911,2977,72,USD,0.4729,,,,3648000
2023-01-17,17.611,18.6,17.46,17.93,17.6206,9304,73,USD,0.4729,,,,3648000
2023-01-13,17.8,18.08,17.8,18.01,17.6992,2486,77,USD,0.4729,,,,3648000
2023-01-12,16.94,17.67,16.85,17.67,17.3651,9097,78,USD,0.4729,,,,3648000
2023-01-11,16.8,16.8369,16.65,16.8369,16.5463,2332,79,USD,0.4729,,,,3648000
2023-01-10,16.78,17.0,16.67,16.805,16.515,9128,80,USD,0.4729,,,,3648000
2023-01-09,16.86,16.86,16.73,16.73,16.4413,1279,81,USD,0.4729,,,,3648000
2023-01-06,17.13,17.13,16.696,16.696,16.4079,5825,84,USD,0.4729,,,,3648000
2023-01-05,16.67,17.4428,16.62,17.06,16.7656,3356,85,USD,0.4729,,,,3648000
