date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,0.7,0.73,0.69,0.72,0.72,337500,0,USD,-0.05,-0.06,0.01,16.6667,126624000
2023-03-30,0.72,0.74,0.68,0.71,0.71,412900,1,USD,-0.06,-0.06,0,0,126624000
2023-03-29,0.7,0.71,0.66,0.69,0.69,288300,2,USD,-0.06,-0.06,0,0,126624000
2023-03-28,0.66,0.7,0.65,0.68,0.68,267700,3,USD,-0.06,-0.06,0,0,126624000
2023-03-27,0.7,0.71,0.66,0.66,0.66,284000,4,USD,-0.06,-0.06,0,0,126624000
2023-03-24,0.71,0.71,0.67,0.7,0.7,140900,7,USD,-0.06,-0.06,0,0,126624000
2023-03-23,0.72,0.73,0.67,0.68,0.68,323700,8,USD,-0.06,-0.06,0,0,126624000
2023-03-22,0.67,0.74,0.66,0.72,0.72,383900,9,USD,-0.06,-0.06,0,0,126624000
2023-03-21,0.69,0.69,0.65,0.67,0.67,308100,10,USD,-0.06,-0.06,0,0,126624000
2023-03-20,0.68,0.7,0.66,0.66,0.66,286900,11,USD,-0.06,-0.06,0,0,126624000
2023-03-17,0.66,0.69,0.65,0.69,0.69,177400,14,USD,-0.06,-0.06,0,0,126624000
2023-03-16,0.66,0.68,0.66,0.68,0.68,187600,15,USD,-0.06,-0.06,0,0,126624000
2023-03-15,0.67,0.67,0.65,0.65,0.65,430400,16,USD,-0.06,-0.06,0,0,126624000
2023-03-14,0.65,0.68,0.65,0.67,0.67,283200,17,USD,-0.06,-0.06,0,0,126624000
2023-03-13,0.67,0.67,0.64,0.65,0.65,383500,18,USD,-0.06,-0.06,0,0,126624000
2023-03-10,0.7,0.71,0.66,0.67,0.67,566300,21,USD,-0.06,-0.06,0,0,126624000
2023-03-09,0.7,0.72,0.7,0.71,0.71,247200,22,USD,-0.06,-0.06,0,0,126624000
2023-03-08,0.72,0.72,0.7,0.71,0.71,346600,23,USD,-0.06,-0.06,0,0,126624000
2023-03-07,0.73,0.73,0.71,0.72,0.72,269900,24,USD,-0.06,-0.06,0,0,126624000
2023-03-06,0.72,0.73,0.7,0.72,0.72,310300,25,USD,-0.06,-0.06,0,0,126624000
2023-03-03,0.72,0.75,0.69,0.72,0.72,560700,28,USD,-0.06,-0.06,0,0,126624000
2023-03-02,0.73,0.74,0.72,0.72,0.72,240500,29,USD,-0.06,-0.06,0,0,126624000
2023-03-01,0.73,0.76,0.73,0.73,0.73,170000,30,USD,-0.06,-0.06,0,0,126624000
2023-02-28,0.76,0.76,0.73,0.74,0.74,261400,31,USD,-0.06,-0.06,0,0,126624000
2023-02-27,0.75,0.77,0.73,0.76,0.76,303000,32,USD,-0.06,-0.06,0,0,126624000
2023-02-24,0.75,0.77,0.73,0.75,0.75,312700,35,USD,-0.06,-0.06,0,0,126624000
2023-02-23,0.72,0.77,0.72,0.74,0.74,286600,36,USD,-0.06,-0.06,0,0,126624000
2023-02-22,0.75,0.77,0.72,0.72,0.72,216200,37,USD,-0.06,-0.06,0,0,126624000
2023-02-21,0.8,0.8,0.74,0.75,0.75,394300,38,USD,-0.06,-0.06,0,0,126624000
2023-02-17,0.82,0.82,0.78,0.8,0.8,205800,42,USD,-0.06,-0.06,0,0,126624000
2023-02-16,0.77,0.84,0.77,0.81,0.81,447000,43,USD,-0.06,-0.06,0,0,126624000
2023-02-15,0.78,0.79,0.75,0.77,0.77,234000,44,USD,-0.06,-0.06,0,0,126624000
2023-02-14,0.79,0.81,0.76,0.78,0.78,309200,45,USD,-0.06,-0.06,0,0,126624000
2023-02-13,0.73,0.82,0.71,0.8,0.8,830100,46,USD,-0.06,-0.06,0,0,126624000
2023-02-10,0.76,0.76,0.72,0.73,0.73,302700,49,USD,-0.06,-0.06,0,0,126624000
2023-02-09,0.78,0.8,0.74,0.76,0.76,295600,50,USD,-0.06,-0.06,0,0,126624000
2023-02-08,0.8,0.82,0.76,0.77,0.77,875600,51,USD,-0.06,-0.06,0,0,126624000
2023-02-07,0.82,0.84,0.81,0.83,0.83,335500,52,USD,-0.06,-0.06,0,0,126624000
2023-02-06,0.83,0.85,0.81,0.82,0.82,590000,53,USD,-0.06,-0.06,0,0,126624000
2023-02-03,0.81,0.87,0.81,0.83,0.83,530800,56,USD,-0.06,-0.06,0,0,126624000
2023-02-02,0.81,0.85,0.81,0.83,0.83,554600,57,USD,-0.06,-0.06,0,0,126624000
2023-02-01,0.82,0.82,0.78,0.8,0.8,423600,58,USD,-0.06,-0.06,0,0,126624000
2023-01-31,0.83,0.85,0.78,0.8,0.8,312800,59,USD,-0.06,-0.06,0,0,126624000
2023-01-30,0.83,0.84,0.8,0.8,0.8,335000,60,USD,-0.06,-0.06,0,0,126624000
2023-01-27,0.82,0.84,0.79,0.82,0.82,353900,63,USD,-0.06,-0.06,0,0,126624000
2023-01-26,0.85,0.85,0.8,0.81,0.81,352500,64,USD,-0.06,-0.06,0,0,126624000
2023-01-25,0.75,0.85,0.72,0.84,0.84,710800,65,USD,-0.06,-0.06,0,0,126624000
2023-01-24,0.8,0.8,0.75,0.76,0.76,221300,66,USD,-0.06,-0.06,0,0,126624000
2023-01-23,0.81,0.82,0.75,0.78,0.78,645700,67,USD,-0.06,-0.06,0,0,126624000
2023-01-20,0.83,0.87,0.8,0.81,0.81,674100,70,USD,-0.06,-0.06,0,0,126624000
2023-01-19,0.86,0.91,0.78,0.84,0.84,1579400,71,USD,-0.06,-0.06,0,0,126624000
2023-01-18,0.92,1.0,0.9,0.91,0.91,1897200,72,USD,-0.06,-0.06,0,0,126624000
2023-01-17,0.85,0.94,0.84,0.91,0.91,1046000,73,USD,-0.06,-0.06,0,0,126624000
2023-01-13,0.77,0.89,0.75,0.85,0.85,1268400,77,USD,-0.06,-0.06,0,0,126624000
2023-01-12,0.72,0.78,0.7,0.75,0.75,628100,78,USD,-0.06,-0.06,0,0,126624000
2023-01-11,0.67,0.72,0.66,0.72,0.72,584600,79,USD,-0.06,-0.06,0,0,126624000
2023-01-10,0.7,0.72,0.67,0.67,0.67,582000,80,USD,-0.06,-0.06,0,0,126624000
2023-01-09,0.71,0.74,0.7,0.7,0.7,467600,81,USD,-0.06,-0.06,0,0,126624000
2023-01-06,0.72,0.73,0.68,0.72,0.72,632600,84,USD,-0.06,-0.06,0,0,126624000
2023-01-05,0.63,0.72,0.59,0.71,0.71,886000,85,USD,-0.06,-0.06,0,0,126624000
2023-01-04,0.62,0.63,0.61,0.62,0.62,497200,86,USD,-0.06,-0.06,0,0,126624000
2023-01-03,0.56,0.63,0.55,0.59,0.59,691900,87,USD,-0.06,-0.06,0,0,126624000
2022-12-30,0.51,0.55,0.5,0.53,0.53,890900,91,USD,-0.06,-0.06,0,0,126624000
2022-12-29,0.5,0.55,0.5,0.52,0.52,829900,92,USD,-0.06,-0.06,0,0,126624000
2022-12-28,0.51,0.52,0.5,0.5,0.5,588800,93,USD,-0.06,-0.06,0,0,126624000
2022-12-27,0.58,0.58,0.51,0.52,0.52,754800,94,USD,-0.06,-0.06,0,0,126624000
2022-12-23,0.56,0.6,0.55,0.58,0.58,347200,98,USD,-0.06,-0.06,0,0,126624000
2022-12-22,0.57,0.59,0.55,0.56,0.56,432200,99,USD,-0.06,-0.06,0,0,126624000
2022-12-21,0.59,0.61,0.57,0.57,0.57,510900,100,USD,-0.06,-0.06,0,0,126624000
2022-12-20,0.58,0.6,0.56,0.59,0.59,495000,101,USD,-0.06,-0.06,0,0,126624000
2022-12-19,0.58,0.58,0.54,0.57,0.57,695600,102,USD,-0.06,-0.06,0,0,126624000
2022-12-16,0.58,0.6,0.57,0.58,0.58,525900,105,USD,-0.06,-0.06,0,0,126624000
2022-12-15,0.61,0.61,0.58,0.59,0.59,577500,106,USD,-0.06,-0.06,0,0,126624000
2022-12-14,0.63,0.65,0.61,0.61,0.61,512200,107,USD,-0.06,-0.06,0,0,126624000
2022-12-13,0.67,0.68,0.63,0.63,0.63,375446,108,USD,-0.06,-0.06,0,0,126624000
2022-12-12,0.66,0.7,0.64,0.665,0.665,480091,109,USD,-0.06,-0.06,0,0,126624000
2022-12-09,0.68,0.7,0.66,0.67,0.67,814300,112,USD,-0.06,-0.06,0,0,126624000
2022-12-08,0.68,0.68,0.65,0.67,0.67,572800,113,USD,-0.06,-0.06,0,0,126624000
2022-12-07,0.7,0.71,0.63,0.67,0.67,905800,114,USD,-0.06,-0.06,0,0,126624000
2022-12-06,0.72,0.76,0.67,0.71,0.71,688800,115,USD,-0.06,-0.06,0,0,126624000
2022-12-05,0.77,0.77,0.73,0.73,0.73,480900,116,USD,-0.06,-0.06,0,0,126624000
2022-12-02,0.76,0.77,0.75,0.77,0.77,242700,119,USD,-0.06,-0.06,0,0,126624000
2022-12-01,0.75,0.78,0.75,0.77,0.77,319900,120,USD,-0.06,-0.06,0,0,126624000
2022-11-30,0.76,0.77,0.75,0.75,0.75,353200,121,USD,-0.06,-0.06,0,0,126624000
2022-11-29,0.78,0.8,0.76,0.76,0.76,238400,122,USD,-0.06,-0.06,0,0,126624000
2022-11-28,0.77,0.81,0.76,0.77,0.77,326600,123,USD,-0.06,-0.06,0,0,126624000
2022-11-25,0.77,0.82,0.76,0.82,0.82,386800,126,USD,-0.06,-0.06,0,0,126624000
2022-11-23,0.79,0.8,0.78,0.79,0.79,153200,128,USD,-0.06,-0.06,0,0,126624000
2022-11-22,0.78,0.8,0.76,0.78,0.78,352500,129,USD,-0.06,-0.06,0,0,126624000
2022-11-21,0.78,0.8,0.76,0.76,0.76,343800,130,USD,-0.06,-0.06,0,0,126624000
2022-11-18,0.81,0.81,0.78,0.8,0.8,229400,133,USD,-0.06,-0.06,0,0,126624000
2022-11-17,0.8,0.81,0.78,0.79,0.79,364300,134,USD,-0.06,-0.06,0,0,126624000
2022-11-16,0.84,0.84,0.79,0.8,0.8,491800,135,USD,-0.06,-0.06,0,0,126624000
2022-11-15,0.83,0.84,0.81,0.82,0.82,282800,136,USD,-0.06,-0.06,0,0,126624000
2022-11-14,0.82,0.85,0.81,0.81,0.81,321100,137,USD,-0.06,-0.06,0,0,126624000
2022-11-11,0.8,0.85,0.79,0.84,0.84,618900,140,USD,-0.06,-0.06,0,0,126624000
2022-11-10,0.82,0.84,0.81,0.82,0.82,326300,141,USD,-0.06,-0.06,0,0,126624000
2022-11-09,0.81,0.84,0.79,0.8,0.8,506100,142,USD,-0.06,-0.06,0,0,126624000
2022-11-08,0.88,0.88,0.81,0.81,0.81,976500,143,USD,-0.06,-0.06,0,0,126624000
2022-11-07,0.86,0.88,0.84,0.85,0.85,312800,144,USD,-0.06,-0.06,0,0,126624000
2022-11-04,0.84,0.89,0.83,0.86,0.86,318300,147,USD,-0.06,-0.06,0,0,126624000
2022-11-03,0.92,0.93,0.81,0.87,0.87,394000,148,USD,-0.06,-0.06,0,0,126624000
2022-11-02,0.92,0.95,0.9,0.92,0.92,492500,149,USD,-0.06,-0.06,0,0,126624000
2022-11-01,0.98,1.02,0.91,0.93,0.93,526400,150,USD,-0.06,-0.06,0,0,126624000
