date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,8.45,8.49,8.3,8.35,8.35,2597900,28,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-06-01,8.26,8.49,8.1,8.39,8.39,2789400,29,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-31,8.0,8.3,7.93,8.27,8.27,2986800,30,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-30,7.99,8.12,7.86,7.96,7.96,2647500,31,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-26,7.96,8.11,7.82,8.01,8.01,2244000,35,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-25,8.21,8.21,7.91,7.99,7.99,2347500,36,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-24,8.78,8.78,8.15,8.22,8.22,3003000,37,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-23,8.59,8.92,8.56,8.77,8.77,3198200,38,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-22,8.43,8.62,8.43,8.57,8.57,2633700,39,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-19,8.48,8.51,8.32,8.44,8.44,2057000,42,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-18,8.49,8.49,8.26,8.37,8.37,2031900,43,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-17,8.48,8.65,8.41,8.47,8.47,2850600,44,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-16,8.55,8.55,8.36,8.46,8.46,2320500,45,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-15,8.36,8.91,8.31,8.77,8.77,2514800,46,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-12,8.37,8.45,8.25,8.3,8.3,1851800,49,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-11,8.56,8.59,8.35,8.36,8.36,2075300,50,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-10,8.66,8.82,8.57,8.63,8.63,1559600,51,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-09,8.41,8.65,8.38,8.58,8.58,2223900,52,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-08,8.54,8.62,8.41,8.49,8.49,2796600,53,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-05,8.52,8.62,8.21,8.56,8.56,3223600,56,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-04,8.35,8.53,8.0,8.47,8.47,3242000,57,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-03,8.13,9.07,8.0,8.29,8.29,7329200,58,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-02,7.5,7.55,7.28,7.37,7.37,3387900,59,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-05-01,7.59,7.63,7.45,7.51,7.51,2851500,60,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-28,7.49,7.67,7.48,7.61,7.61,1888700,63,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-27,7.72,7.75,7.45,7.53,7.53,1981400,64,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-26,7.48,7.69,7.42,7.62,7.62,2399500,65,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-25,7.58,7.59,7.41,7.49,7.49,2407000,66,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-24,7.51,7.61,7.35,7.61,7.61,2772700,67,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-21,7.4,7.55,7.27,7.52,7.52,2594900,70,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-20,7.39,7.55,7.27,7.38,7.38,3213700,71,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-19,7.46,7.5434,7.4,7.49,7.49,3267129,72,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-18,7.96,7.97,7.2,7.5,7.5,6894296,73,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-17,8.15,8.26,8.045,8.07,8.07,5541934,74,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-14,8.38,8.38,8.0,8.07,8.07,3675010,77,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-13,8.41,8.6147,8.385,8.41,8.41,2995633,78,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-12,8.59,8.62,8.335,8.34,8.34,1371309,79,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-11,8.57,8.58,8.45,8.5,8.5,1650442,80,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-10,8.61,8.8,8.37,8.52,8.52,1862880,81,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-06,8.56,8.775,8.44,8.68,8.68,2703038,85,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-05,8.32,8.575,8.29,8.53,8.53,2510366,86,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-04,8.41,8.43,8.22,8.3,8.3,3001508,87,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-04-03,8.31,8.485,8.23,8.37,8.37,1935368,88,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-03-31,8.48,8.56,8.3,8.34,8.34,2753210,91,USD,-0.28,-0.3,0.02,6.6667,188509000
2023-03-30,8.64,8.705,8.31,8.39,8.39,2042436,92,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-29,8.62,8.69,8.365,8.56,8.56,2567977,93,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-28,8.43,8.65,8.35,8.59,8.59,2047314,94,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-27,8.48,8.57,8.37,8.46,8.46,1449501,95,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-24,8.11,8.565,8.08,8.5,8.5,2697773,98,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-23,7.99,8.315,7.95,8.12,8.12,2018254,99,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-22,8.16,8.24,7.92,7.94,7.94,1952360,100,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-21,8.05,8.24,7.945,8.17,8.17,1985937,101,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-20,8.13,8.13,7.95,8.01,8.01,2025939,102,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-17,8.08,8.18,8.005,8.1,8.1,5228519,105,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-16,8.35,8.43,8.16,8.17,8.17,1860629,106,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-15,8.2,8.61,8.15,8.37,8.37,3073419,107,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-14,8.5,8.6,8.25,8.32,8.32,3416751,108,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-13,8.29,8.54,8.19,8.31,8.31,4117916,109,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-10,8.18,8.31,7.82,8.29,8.29,4765183,112,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-09,8.58,8.62,8.095,8.21,8.21,3794202,113,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-08,8.65,8.7,8.395,8.56,8.56,2374702,114,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-07,8.88,8.9,8.65,8.65,8.65,1590419,115,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-06,8.79,8.9,8.67,8.84,8.84,3768344,116,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-03,8.93,8.9497,8.74,8.79,8.79,2559189,119,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-02,8.75,8.905,8.62,8.86,8.86,2815898,120,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-03-01,8.99,8.99,8.635,8.83,8.83,4085794,121,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-28,9.0,9.14,8.78,8.85,8.85,5700047,122,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-27,9.2,9.2,8.975,9.03,9.03,3542998,123,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-24,9.33,9.33,9.055,9.1,9.1,2221132,126,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-23,9.65,9.73,9.245,9.44,9.44,2889854,127,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-22,9.18,9.85,8.83,9.77,9.77,5243178,128,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-21,8.75,9.1,8.1208,8.64,8.64,13617720,129,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-17,9.97,10.2,9.63,10.2,10.2,2639658,133,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-16,10.11,10.16,9.84,9.92,9.92,2454628,134,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-15,10.31,10.34,10.05,10.16,10.16,1836417,135,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-14,10.17,10.43,10.101,10.34,10.34,2668930,136,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-13,10.35,10.35,10.085,10.27,10.27,1469657,137,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-10,10.26,10.35,10.13,10.31,10.31,1849634,140,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-09,10.36,10.52,10.2,10.21,10.21,1851827,141,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-08,10.62,10.745,10.26,10.26,10.26,2087870,142,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-07,10.67,10.735,10.4,10.68,10.68,1541381,143,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-06,10.54,10.67,10.29,10.64,10.64,2085561,144,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-03,10.58,10.8,10.49,10.55,10.55,1711715,147,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-02,10.575,10.86,10.48,10.74,10.74,2389002,148,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-02-01,10.59,10.65,10.21,10.52,10.52,2302496,149,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-31,10.34,10.595,10.34,10.55,10.55,2306142,150,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-30,10.55,10.63,10.3,10.34,10.34,1390862,151,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-27,10.8,10.98,10.56,10.58,10.58,1780525,154,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-26,10.9,10.9446,10.64,10.78,10.78,1425269,155,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-25,10.88,11.03,10.575,10.79,10.79,2152985,156,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-24,10.64,11.11,10.54,11.01,11.01,1994561,157,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-23,10.46,10.74,10.33,10.63,10.63,2247631,158,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-20,10.12,10.4792,9.98,10.4,10.4,2556952,161,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-19,10.13,10.34,9.98,10.01,10.01,2225452,162,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-18,10.06,10.37,9.995,10.11,10.11,2756489,163,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-17,10.14,10.19,9.94,10.0,10.0,2626791,164,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-13,10.2,10.46,10.04,10.16,10.16,4724688,168,USD,-0.38,-0.17,-0.21,-123.5294,186922000
2023-01-12,10.0,10.34,9.85,10.32,10.32,3666529,169,USD,-0.38,-0.17,-0.21,-123.5294,186922000
