date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,277.59,282.89,275.17,281.51,280.7571,287173,28,USD,1.96,1.9,0.06,3.1579,37645000
2023-06-01,273.7,277.43,272.845,277.33,276.5883,270677,29,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-31,277.97,278.58,270.59,272.41,271.6815,905259,30,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-30,279.33,281.785,277.83,278.92,278.1741,354590,31,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-26,274.35,279.44,273.63,279.28,278.5331,234310,35,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-25,276.33,276.33,271.945,274.64,273.9055,213514,36,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-24,278.35,279.28,275.08,276.15,275.4115,215613,37,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-23,284.05,284.8,277.36,278.49,277.7452,364399,38,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-22,285.48,289.62,284.41,286.6,285.8335,304146,39,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-19,289.22,289.22,282.79,284.59,283.8289,513733,42,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-18,288.09,289.88,283.9,288.03,287.2597,218576,43,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-17,290.27,292.0,287.39,289.66,288.8853,160956,44,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-16,291.34,292.855,288.87,291.46,290.6805,285362,45,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-15,299.31,301.22,293.38,293.57,292.7849,252549,46,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-12,300.72,303.85,297.95,299.23,298.4297,138436,49,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-11,300.81,302.9,297.04,300.25,299.447,184293,50,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-10,302.34,303.765,299.0,301.18,300.3745,264986,51,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-09,297.62,301.33,297.24,299.77,298.9683,231327,52,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-08,299.77,301.17,297.835,299.49,297.971,224855,53,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-05,298.71,300.42,296.335,300.33,298.8067,246192,56,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-04,298.48,301.27,294.25,297.09,295.5831,347260,57,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-03,316.07,316.07,297.24,298.56,297.0457,510200,58,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-02,316.63,320.23,312.76,319.07,317.4517,277436,59,USD,1.96,1.9,0.06,3.1579,37645000
2023-05-01,318.16,322.25,315.73,317.29,315.6807,297229,60,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-28,312.99,318.98,311.28,318.37,316.7552,297400,63,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-27,312.2,314.99,301.92,313.16,311.5716,297699,64,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-26,324.97,324.97,308.05,310.54,308.9649,357471,65,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-25,318.13,319.06,311.97,315.76,314.1584,516792,66,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-24,327.1,329.15,318.56,320.17,318.5461,434883,67,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-21,331.89,333.06,326.05,327.01,325.3514,394766,70,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-20,335.37,336.56,330.85,332.7,331.0125,320545,71,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-19,334.38,339.43,332.99,335.81,334.1068,356494,72,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-18,340.48,341.92,335.0,336.84,335.1315,312708,73,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-17,334.7,340.52,334.45,340.19,338.4645,264658,74,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-14,340.5,344.435,334.93,336.0,334.2958,279479,77,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-13,339.72,343.4,337.39,340.5,338.773,315505,78,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-12,340.15,342.295,334.18,337.59,335.8777,365089,79,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-11,335.7,340.92,333.9,338.37,336.6538,296757,80,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-10,339.9,343.13,333.77,335.7,333.9973,420576,81,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-06,334.59,345.09,332.3,343.29,341.5488,477267,85,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-05,386.75,387.87,335.59,337.74,336.027,1042233,86,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-04,388.18,399.78,386.135,392.29,390.3003,381238,87,USD,1.96,1.9,0.06,3.1579,37645000
2023-04-03,388.07,390.698,387.53,389.16,387.1862,206510,88,USD,1.96,1.9,0.06,3.1579,37645000
2023-03-31,389.52,392.07,383.42,391.29,389.3054,376458,91,USD,1.96,1.9,0.06,3.1579,37645000
2023-03-30,387.93,392.68,387.44,387.86,385.8928,357374,92,USD,1.58,1.56,0.02,1.2821,37573000
2023-03-29,385.29,387.54,379.01,384.52,382.5697,200470,93,USD,1.58,1.56,0.02,1.2821,37573000
