date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,4.6,4.92,4.6,4.82,4.82,4900,28,USD,0.07,-0.01,0.08,800,20122100
2023-06-01,4.51,4.7,4.5,4.63,4.63,9200,29,USD,0.07,-0.01,0.08,800,20122100
2023-05-31,4.9,4.9,4.47,4.57,4.57,10100,30,USD,0.07,-0.01,0.08,800,20122100
2023-05-30,4.75,4.9,4.54,4.55,4.55,6700,31,USD,0.07,-0.01,0.08,800,20122100
2023-05-26,5.02,5.02,4.75,4.85,4.85,9700,35,USD,0.07,-0.01,0.08,800,20122100
2023-05-25,5.0,5.0,4.79,4.79,4.79,11100,36,USD,0.07,-0.01,0.08,800,20122100
2023-05-24,4.98,4.99,4.91,4.95,4.95,24000,37,USD,0.07,-0.01,0.08,800,20122100
2023-05-23,4.82,5.09,4.82,4.96,4.96,9200,38,USD,0.07,-0.01,0.08,800,20122100
2023-05-22,4.78,4.91,4.76,4.77,4.77,33500,39,USD,0.07,-0.01,0.08,800,20122100
2023-05-19,4.62,4.78,4.62,4.77,4.77,8400,42,USD,0.07,-0.01,0.08,800,20122100
2023-05-18,4.42,4.79,4.42,4.79,4.79,16400,43,USD,0.07,-0.01,0.08,800,20122100
2023-05-17,4.47,4.52,4.37,4.37,4.37,31300,44,USD,0.07,-0.01,0.08,800,20122100
2023-05-16,4.61,4.7,4.45,4.54,4.54,13700,45,USD,0.07,-0.01,0.08,800,20122100
2023-05-15,4.69,4.78,4.68,4.7,4.7,36600,46,USD,0.07,-0.01,0.08,800,20122100
2023-05-12,4.73,4.85,4.7,4.73,4.73,9600,49,USD,0.07,-0.01,0.08,800,20122100
2023-05-11,4.87,4.92,4.68,4.69,4.69,13600,50,USD,0.07,-0.01,0.08,800,20122100
2023-05-10,4.86,4.97,4.79,4.81,4.81,14000,51,USD,0.07,-0.01,0.08,800,20122100
2023-05-09,4.9,5.01,4.8,4.94,4.94,18000,52,USD,0.07,-0.01,0.08,800,20122100
2023-05-08,4.91,5.02,4.91,4.93,4.93,21700,53,USD,0.07,-0.01,0.08,800,20122100
2023-05-05,5.09,5.09,4.9,4.96,4.96,29500,56,USD,0.07,-0.01,0.08,800,20122100
2023-05-04,5.6,5.73,4.75,5.04,5.04,34100,57,USD,0.07,-0.01,0.08,800,20122100
2023-05-03,5.13,5.25,5.13,5.21,5.21,46100,58,USD,0.07,-0.01,0.08,800,20122100
2023-05-02,5.19,5.23,5.1,5.15,5.15,16500,59,USD,0.07,-0.01,0.08,800,20122100
2023-05-01,5.21,5.21,5.15,5.18,5.18,11700,60,USD,0.07,-0.01,0.08,800,20122100
2023-04-28,5.11,5.23,5.11,5.17,5.17,7000,63,USD,0.07,-0.01,0.08,800,20122100
2023-04-27,4.99,5.18,4.93,5.09,5.09,8700,64,USD,0.07,-0.01,0.08,800,20122100
2023-04-26,5.15,5.2,5.05,5.05,5.05,12200,65,USD,0.07,-0.01,0.08,800,20122100
2023-04-25,5.19,5.28,5.14,5.18,5.18,16100,66,USD,0.07,-0.01,0.08,800,20122100
2023-04-24,5.1,5.2,5.1,5.2,5.2,6300,67,USD,0.07,-0.01,0.08,800,20122100
2023-04-21,5.23,5.23,5.11,5.23,5.23,14100,70,USD,0.07,-0.01,0.08,800,20122100
2023-04-20,4.95,5.31,4.95,5.18,5.18,12900,71,USD,0.07,-0.01,0.08,800,20122100
2023-04-19,5.187,5.27,4.75,5.0,5.0,54846,72,USD,0.07,-0.01,0.08,800,20122100
2023-04-18,5.21,5.21,5.18,5.2,5.2,5856,73,USD,0.07,-0.01,0.08,800,20122100
2023-04-17,5.2,5.25,5.1,5.19,5.19,19644,74,USD,0.07,-0.01,0.08,800,20122100
2023-04-14,5.16,5.29,5.16,5.2,5.2,9811,77,USD,0.07,-0.01,0.08,800,20122100
2023-04-13,5.3,5.3,5.205,5.22,5.22,23760,78,USD,0.07,-0.01,0.08,800,20122100
2023-04-12,5.175,5.3,5.15,5.3,5.3,21214,79,USD,0.07,-0.01,0.08,800,20122100
2023-04-11,5.15,5.3,5.15,5.1997,5.1997,10268,80,USD,0.07,-0.01,0.08,800,20122100
2023-04-10,5.18,5.23,5.18,5.2,5.2,4857,81,USD,0.07,-0.01,0.08,800,20122100
2023-04-06,5.27,5.36,5.14,5.2,5.2,8079,85,USD,0.07,-0.01,0.08,800,20122100
2023-04-05,5.1,5.13,5.08,5.13,5.13,5616,86,USD,0.07,-0.01,0.08,800,20122100
2023-04-04,5.15,5.23,5.1,5.16,5.16,18247,87,USD,0.07,-0.01,0.08,800,20122100
2023-04-03,5.11,5.22,5.1,5.15,5.15,15710,88,USD,0.07,-0.01,0.08,800,20122100
2023-03-31,5.1,5.34,5.1,5.21,5.21,16105,91,USD,0.07,-0.01,0.08,800,20122100
2023-03-30,5.12,5.2216,5.09,5.18,5.18,7739,92,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-29,5.2,5.3,5.04,5.16,5.16,21123,93,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-28,5.24,5.3,5.18,5.19,5.19,4912,94,USD,0.1,0.07,0.03,42.8571,20103400
2023-03-27,5.2,5.2,5.15,5.18,5.18,7618,95,USD,0.1,0.07,0.03,42.8571,20103400
