date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2022-09-30,5.37,6.13,5.02,5.42,5.42,83100,0,USD,-0.54,-0.62,0.08,12.9032,47855000
2022-09-29,5.54,5.71,5.01,5.13,5.13,50700,1,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-28,5.56,5.99,5.0,5.57,5.57,76800,2,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-27,6.09,6.16,5.46,5.59,5.59,58200,3,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-26,6.38,6.75,6.01,6.12,6.12,94800,4,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-23,6.17,6.624,6.08,6.47,6.47,111500,7,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-22,6.04,6.12,5.645,6.03,6.03,111800,8,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-21,6.19,6.49,5.87,6.16,6.16,41000,9,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-20,6.21,6.23,6.035,6.21,6.21,44600,10,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-19,5.75,6.29,5.75,6.29,6.29,36300,11,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-16,5.84,6.08,5.35,5.87,5.87,378800,14,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-15,6.07,6.63,5.53,6.17,6.17,114200,15,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-14,7.0,9.0,5.62,6.65,6.65,910800,16,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-13,6.0,6.79,5.95,6.62,6.62,41700,17,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-12,6.14,6.2,5.77,6.02,6.02,27400,18,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-09,6.4,6.825,6.01,6.01,6.01,79500,21,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-08,5.71,6.64,5.71,6.23,6.23,111000,22,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-07,5.14,6.4,5.09,6.06,6.06,62400,23,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-06,4.93,5.98,4.93,5.18,5.18,132300,24,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-02,4.45,5.073,4.41,4.81,4.81,32400,28,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-09-01,4.21,5.07,4.21,4.91,4.91,71500,29,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-31,4.33,4.48,4.26,4.47,4.47,6400,30,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-30,4.42,4.48,4.1,4.25,4.25,22900,31,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-29,4.585,4.74,4.11,4.375,4.375,21100,32,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-26,4.614,4.77,4.38,4.51,4.51,24600,35,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-25,4.48,4.76,4.43,4.72,4.72,8900,36,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-24,4.24,4.56,4.24,4.36,4.36,50000,37,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-23,4.53,4.59,4.22,4.22,4.22,39900,38,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-22,4.42,5.02,4.16,4.49,4.49,95700,39,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-19,4.81,4.9,4.47,4.48,4.48,28500,42,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-18,4.49,4.89,4.38,4.89,4.89,37300,43,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-17,4.54,4.82,4.3,4.56,4.56,39600,44,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-16,4.88,5.04,4.695,4.72,4.72,40100,45,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-15,4.89,5.06,4.46,5.0,5.0,32600,46,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-12,4.75,5.17,4.6,4.94,4.94,53600,49,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-11,4.96,5.5,4.62,4.67,4.67,37800,50,USD,-0.54,-0.52,-0.02,-3.8462,47849600
2022-08-10,4.69,5.37,4.634,4.87,4.87,377000,51,USD,-0.54,-0.52,-0.02,-3.8462,47849600
