date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,1.79,1.83,1.78,1.82,1.82,164100,28,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-06-01,1.74,1.8,1.73,1.8,1.8,217000,29,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-31,1.77,1.78,1.732,1.74,1.74,175600,30,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-30,1.84,1.858,1.74,1.77,1.77,308200,31,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-26,1.8,1.81,1.758,1.77,1.77,122800,35,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-25,1.83,1.87,1.74,1.75,1.75,369500,36,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-24,1.89,1.89,1.84,1.85,1.85,165900,37,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-23,1.9,1.935,1.88,1.91,1.91,295000,38,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-22,1.82,1.94,1.82,1.91,1.91,463600,39,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-19,1.8,1.86,1.8,1.85,1.85,183000,42,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-18,1.79,1.83,1.77,1.8,1.8,332900,43,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-17,1.81,1.845,1.775,1.82,1.82,297300,44,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-16,1.82,1.85,1.775,1.79,1.79,236000,45,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-15,1.87,1.91,1.85,1.87,1.87,253900,46,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-12,1.9,1.93,1.81,1.85,1.85,567700,49,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-11,1.92,1.948,1.89,1.92,1.92,243600,50,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-10,1.94,1.975,1.89,1.9,1.9,361300,51,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-09,1.9,1.97,1.865,1.94,1.94,284700,52,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-08,1.95,1.995,1.9,1.9,1.9,248000,53,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-05,1.89,1.985,1.85,1.95,1.95,554300,56,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-04,1.82,1.9,1.807,1.88,1.88,401400,57,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-03,1.73,1.91,1.73,1.81,1.81,416900,58,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-02,1.88,1.88,1.71,1.73,1.73,355300,59,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-05-01,1.77,1.87,1.77,1.85,1.85,338200,60,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-28,1.78,1.79,1.75,1.77,1.77,195600,63,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-27,1.73,1.785,1.7,1.78,1.78,346400,64,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-26,1.69,1.745,1.66,1.73,1.73,381500,65,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-25,1.69,1.74,1.67,1.69,1.69,283700,66,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-24,1.65,1.71,1.63,1.71,1.71,247800,67,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-21,1.66,1.7,1.64,1.7,1.7,139100,70,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-20,1.73,1.73,1.65,1.68,1.68,306300,71,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-19,1.73,1.76,1.69,1.75,1.75,196900,72,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-18,1.75,1.8,1.72,1.75,1.75,281600,73,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-17,1.69,1.77,1.69,1.76,1.76,316000,74,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-14,1.72,1.73,1.66,1.72,1.72,363300,77,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-13,1.6,1.75,1.58,1.71,1.71,634200,78,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-12,1.62,1.64,1.565,1.62,1.62,260400,79,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-11,1.55,1.64,1.52,1.62,1.62,733100,80,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-10,1.51,1.565,1.475,1.56,1.56,404700,81,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-06,1.45,1.51,1.42,1.51,1.51,354300,85,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-05,1.54,1.54,1.45,1.45,1.45,598800,86,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-04,1.51,1.55,1.5,1.54,1.54,644800,87,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-04-03,1.43,1.57,1.41,1.52,1.52,1374800,88,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-03-31,1.57,1.65,1.41,1.45,1.45,7590600,91,USD,-0.25,-0.33,0.08,24.2424,52527000
2023-03-30,1.48,1.48,1.39,1.44,1.44,1192100,92,USD,0.55,0.04,0.51,1275,37585100
2023-03-29,1.39,1.48,1.375,1.45,1.45,759700,93,USD,0.55,0.04,0.51,1275,37585100
2023-03-28,1.43,1.45,1.35,1.35,1.35,814500,94,USD,0.55,0.04,0.51,1275,37585100
2023-03-27,1.42,1.46,1.37,1.41,1.41,311500,95,USD,0.55,0.04,0.51,1275,37585100
2023-03-24,1.35,1.45,1.35,1.43,1.43,300800,98,USD,0.55,0.04,0.51,1275,37585100
2023-03-23,1.38,1.43,1.35,1.37,1.37,365200,99,USD,0.55,0.04,0.51,1275,37585100
2023-03-22,1.4,1.46,1.35,1.36,1.36,606200,100,USD,0.55,0.04,0.51,1275,37585100
2023-03-21,1.36,1.44,1.36,1.4,1.4,259900,101,USD,0.55,0.04,0.51,1275,37585100
2023-03-20,1.39,1.405,1.35,1.38,1.38,403000,102,USD,0.55,0.04,0.51,1275,37585100
2023-03-17,1.46,1.48,1.36,1.36,1.36,475900,105,USD,0.55,0.04,0.51,1275,37585100
2023-03-16,1.42,1.5,1.42,1.47,1.47,364700,106,USD,0.55,0.04,0.51,1275,37585100
2023-03-15,1.48,1.5,1.38,1.47,1.47,423800,107,USD,0.55,0.04,0.51,1275,37585100
2023-03-14,1.42,1.525,1.42,1.48,1.48,702300,108,USD,0.55,0.04,0.51,1275,37585100
2023-03-13,1.41,1.51,1.38,1.44,1.44,1408100,109,USD,0.55,0.04,0.51,1275,37585100
2023-03-10,1.5,1.51,1.42,1.48,1.48,905000,112,USD,0.55,0.04,0.51,1275,37585100
2023-03-09,1.57,1.67,1.51,1.51,1.51,869000,113,USD,0.55,0.04,0.51,1275,37585100
2023-03-08,1.71,1.72,1.57,1.59,1.59,652100,114,USD,0.55,0.04,0.51,1275,37585100
2023-03-07,1.51,1.73,1.505,1.69,1.69,954100,115,USD,0.55,0.04,0.51,1275,37585100
2023-03-06,1.48,1.565,1.47,1.52,1.52,398300,116,USD,0.55,0.04,0.51,1275,37585100
2023-03-03,1.48,1.55,1.47,1.49,1.49,264500,119,USD,0.55,0.04,0.51,1275,37585100
2023-03-02,1.51,1.52,1.47,1.48,1.48,280600,120,USD,0.55,0.04,0.51,1275,37585100
2023-03-01,1.49,1.54,1.48,1.51,1.51,299000,121,USD,0.55,0.04,0.51,1275,37585100
2023-02-28,1.5,1.57,1.48,1.48,1.48,248500,122,USD,0.55,0.04,0.51,1275,37585100
2023-02-27,1.5,1.54,1.475,1.51,1.51,590400,123,USD,0.55,0.04,0.51,1275,37585100
2023-02-24,1.59,1.599,1.5,1.51,1.51,1288200,126,USD,0.55,0.04,0.51,1275,37585100
2023-02-23,1.62,1.63,1.58,1.59,1.59,273600,127,USD,0.55,0.04,0.51,1275,37585100
2023-02-22,1.69,1.69,1.61,1.61,1.61,199100,128,USD,0.55,0.04,0.51,1275,37585100
2023-02-21,1.68,1.7,1.62,1.66,1.66,425900,129,USD,0.55,0.04,0.51,1275,37585100
2023-02-17,1.74,1.75,1.67,1.71,1.71,351200,133,USD,0.55,0.04,0.51,1275,37585100
2023-02-16,1.76,1.78,1.71,1.72,1.72,332600,134,USD,0.55,0.04,0.51,1275,37585100
2023-02-15,1.78,1.81,1.735,1.79,1.79,313500,135,USD,0.55,0.04,0.51,1275,37585100
2023-02-14,1.78,1.85,1.74,1.79,1.79,336800,136,USD,0.55,0.04,0.51,1275,37585100
2023-02-13,1.79,1.81,1.73,1.78,1.78,270400,137,USD,0.55,0.04,0.51,1275,37585100
2023-02-10,1.8,1.82,1.76,1.79,1.79,377200,140,USD,0.55,0.04,0.51,1275,37585100
2023-02-09,1.87,1.87,1.765,1.79,1.79,480500,141,USD,0.55,0.04,0.51,1275,37585100
2023-02-08,1.85,1.88,1.83,1.84,1.84,263200,142,USD,0.55,0.04,0.51,1275,37585100
2023-02-07,1.88,1.9,1.85,1.86,1.86,169200,143,USD,0.55,0.04,0.51,1275,37585100
2023-02-06,1.87,1.93,1.86,1.89,1.89,247200,144,USD,0.55,0.04,0.51,1275,37585100
2023-02-03,1.83,1.93,1.81,1.9,1.9,398200,147,USD,0.55,0.04,0.51,1275,37585100
2023-02-02,1.86,1.92,1.83,1.83,1.83,274300,148,USD,0.55,0.04,0.51,1275,37585100
