date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,3.73,3.9,3.645,3.89,3.89,110600,28,USD,0.17,0.09,0.08,88.8889,48002000
2023-06-01,3.54,3.76,3.515,3.65,3.65,180600,29,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-31,3.6,3.65,3.53,3.54,3.54,103600,30,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-30,3.69,3.73,3.454,3.68,3.68,216500,31,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-26,3.8,3.9,3.63,3.79,3.79,89100,35,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-25,3.88,3.97,3.71,3.74,3.74,92000,36,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-24,3.97,3.97,3.82,3.91,3.91,71700,37,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-23,4.14,4.14,3.935,4.0,4.0,80500,38,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-22,3.98,4.1,3.94,4.08,4.08,96900,39,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-19,3.89,4.08,3.89,3.95,3.95,83500,42,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-18,3.86,3.88,3.7,3.88,3.88,102600,43,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-17,3.68,3.93,3.68,3.86,3.86,148300,44,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-16,3.7,3.73,3.62,3.64,3.64,131400,45,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-15,3.54,3.785,3.482,3.74,3.74,130300,46,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-12,3.57,3.65,3.52,3.54,3.54,56700,49,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-11,3.63,3.68,3.48,3.56,3.56,66000,50,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-10,3.62,3.66,3.553,3.66,3.66,111500,51,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-09,3.64,3.71,3.52,3.62,3.62,209900,52,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-08,3.86,3.93,3.66,3.71,3.71,145800,53,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-05,3.92,3.95,3.795,3.83,3.83,108100,56,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-04,3.81,3.9,3.76,3.81,3.81,195800,57,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-03,3.57,3.91,3.56,3.82,3.82,417100,58,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-02,3.6,3.65,3.405,3.5,3.5,329400,59,USD,0.17,0.09,0.08,88.8889,48002000
2023-05-01,3.59,3.73,3.52,3.65,3.65,139400,60,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-28,3.95,3.985,3.58,3.69,3.69,233600,63,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-27,4.0,4.0,3.897,3.9,3.9,80300,64,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-26,3.98,4.09,3.865,3.95,3.95,113000,65,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-25,4.2,4.21,3.94,4.03,4.03,177700,66,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-24,4.12,4.26,4.08,4.19,4.19,102500,67,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-21,4.34,4.34,4.12,4.15,4.15,101400,70,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-20,4.32,4.41,4.25,4.28,4.28,75400,71,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-19,4.33,4.38,4.269,4.33,4.33,97300,72,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-18,4.53,4.53,4.3,4.37,4.37,69900,73,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-17,4.65,4.686,4.45,4.47,4.47,77800,74,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-14,4.64,4.69,4.58,4.66,4.66,104000,77,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-13,4.7,4.741,4.47,4.62,4.62,141200,78,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-12,4.72,4.77,4.52,4.7,4.7,109100,79,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-11,4.33,4.65,4.251,4.6,4.6,129500,80,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-10,4.24,4.4,4.23,4.33,4.33,74500,81,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-06,4.25,4.345,4.14,4.23,4.23,59800,85,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-05,4.36,4.36,4.19,4.29,4.29,79400,86,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-04,4.71,4.71,4.335,4.4,4.4,149000,87,USD,0.17,0.09,0.08,88.8889,48002000
2023-04-03,4.35,4.99,4.35,4.67,4.67,325100,88,USD,0.17,0.09,0.08,88.8889,48002000
2023-03-31,4.2,4.322,4.17,4.22,4.22,64500,91,USD,0.17,0.09,0.08,88.8889,48002000
2023-03-30,4.35,4.44,4.17,4.2,4.2,79800,92,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-29,4.22,4.38,4.19,4.27,4.27,111800,93,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-28,4.16,4.31,4.13,4.19,4.19,173000,94,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-27,4.02,4.19,3.965,4.175,4.175,136000,95,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-24,3.93,4.03,3.75,3.95,3.95,200800,98,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-23,4.3,4.46,3.92,4.02,4.02,308000,99,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-22,4.59,4.63,4.3,4.3,4.3,260100,100,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-21,4.38,4.64,4.35,4.62,4.62,269000,101,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-20,4.31,4.59,4.25,4.31,4.31,201900,102,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-17,4.72,4.772,4.25,4.38,4.38,466600,105,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-16,4.73,4.86,4.68,4.82,4.82,284300,106,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-15,4.94,4.94,4.52,4.82,4.82,369400,107,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-14,5.14,5.33,5.09,5.22,5.22,193200,108,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-13,5.34,5.46,5.016,5.1,5.1,210900,109,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-10,5.65,5.65,5.25,5.43,5.43,316400,112,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-09,5.9,5.94,5.63,5.65,5.65,224900,113,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-08,5.58,5.9,5.57,5.85,5.85,161300,114,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-07,5.54,5.715,5.47,5.62,5.62,101600,115,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-06,5.58,5.71,5.39,5.62,5.62,155700,116,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-03,5.15,5.62,5.051,5.55,5.55,272200,119,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-02,5.54,5.611,5.16,5.25,5.25,428700,120,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-03-01,5.61,5.69,5.51,5.58,5.58,297800,121,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-28,5.71,5.77,5.51,5.61,5.61,352800,122,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-27,5.7,5.95,5.608,5.69,5.69,205500,123,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-24,6.0,6.156,5.53,5.625,5.625,455300,126,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-23,5.74,5.96,5.6,5.8,5.8,221500,127,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-22,5.62,5.76,5.5,5.61,5.61,155700,128,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-21,5.65,5.84,5.51,5.67,5.67,189500,129,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-17,6.18,6.27,5.51,5.63,5.63,373800,133,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-16,6.28,6.59,6.23,6.29,6.29,194600,134,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-15,6.33,6.485,6.15,6.41,6.41,147600,135,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-14,6.34,6.65,6.3,6.46,6.46,88000,136,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-13,6.11,6.54,5.89,6.5,6.5,181900,137,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-10,6.2,6.28,5.79,6.2,6.2,315500,140,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-09,6.98,7.019,6.16,6.19,6.19,244100,141,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-08,6.89,7.11,6.724,6.93,6.93,288300,142,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-07,6.45,6.85,6.3,6.77,6.77,271200,143,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-06,6.35,6.58,6.24,6.3,6.3,150900,144,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-03,6.3,6.62,6.15,6.37,6.37,218000,147,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-02,6.49,6.51,6.25,6.26,6.26,127800,148,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-02-01,6.52,6.625,6.245,6.49,6.49,144200,149,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-31,6.23,6.663,6.22,6.53,6.53,120600,150,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-30,6.17,6.42,6.11,6.25,6.25,126900,151,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-27,6.28,6.6,6.234,6.26,6.26,156000,154,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-26,6.45,6.45,6.11,6.28,6.28,207200,155,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-25,6.4,6.55,6.115,6.45,6.45,264200,156,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-24,6.78,6.84,6.43,6.45,6.45,167100,157,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-23,7.04,7.32,6.581,6.78,6.78,353300,158,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-20,7.03,7.36,6.84,7.13,7.13,170900,161,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-19,7.21,7.311,6.81,7.04,7.04,160600,162,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-18,8.25,8.25,7.22,7.27,7.27,268400,163,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-17,8.09,8.138,7.75,7.99,7.99,204500,164,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-13,7.93,8.27,7.78,8.09,8.09,285300,168,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-12,7.4,7.99,7.4,7.88,7.88,303000,169,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-11,7.6,7.692,7.09,7.36,7.36,229700,170,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-10,7.68,7.7,7.218,7.6,7.6,297100,171,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-09,7.55,7.945,7.45,7.65,7.65,282000,172,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-06,7.14,7.622,7.093,7.32,7.32,219700,175,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-05,7.04,7.433,6.8,7.06,7.06,323200,176,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-04,6.65,7.255,6.62,7.06,7.06,356600,177,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2023-01-03,8.72,8.74,6.563,6.73,6.73,788800,178,USD,-0.28,-0.23,-0.05,-21.7391,47963000
2022-12-30,8.59,8.79,7.97,8.65,8.65,461600,182,USD,0.16,-0.01,0.17,1700,47843000
2022-12-29,7.8,8.58,7.79,8.42,8.42,348000,183,USD,0.16,-0.01,0.17,1700,47843000
2022-12-28,8.25,8.48,7.27,7.76,7.76,390500,184,USD,0.16,-0.01,0.17,1700,47843000
2022-12-27,7.49,8.575,7.49,8.12,8.12,694000,185,USD,0.16,-0.01,0.17,1700,47843000
2022-12-23,7.5,7.61,7.17,7.48,7.48,225600,189,USD,0.16,-0.01,0.17,1700,47843000
2022-12-22,7.42,7.525,7.044,7.5,7.5,256000,190,USD,0.16,-0.01,0.17,1700,47843000
2022-12-21,7.71,7.943,7.31,7.4,7.4,380200,191,USD,0.16,-0.01,0.17,1700,47843000
2022-12-20,7.37,7.95,7.37,7.62,7.62,530700,192,USD,0.16,-0.01,0.17,1700,47843000
2022-12-19,6.87,7.35,6.8,7.16,7.16,241800,193,USD,0.16,-0.01,0.17,1700,47843000
2022-12-16,6.5,7.08,6.363,6.92,6.92,350000,196,USD,0.16,-0.01,0.17,1700,47843000
2022-12-15,6.2,6.71,5.92,6.6,6.6,233700,197,USD,0.16,-0.01,0.17,1700,47843000
2022-12-14,6.21,6.66,6.21,6.36,6.36,251900,198,USD,0.16,-0.01,0.17,1700,47843000
2022-12-13,5.9,6.207,5.78,6.16,6.16,227400,199,USD,0.16,-0.01,0.17,1700,47843000
2022-12-12,5.5,5.947,5.48,5.79,5.79,209100,200,USD,0.16,-0.01,0.17,1700,47843000
2022-12-09,5.62,5.73,5.43,5.5,5.5,120500,203,USD,0.16,-0.01,0.17,1700,47843000
