date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,21.9,22.35,21.79,22.2,22.2,116700,28,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-06-01,21.4,22.06,20.85,21.65,21.65,81300,29,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-31,22.13,22.17,21.36,21.48,21.32,145100,30,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-30,22.19,22.54,21.96,22.08,21.9155,55200,31,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-26,22.32,22.5675,22.11,22.18,22.0148,52524,35,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-25,22.85,22.99,22.055,22.42,22.253,58948,36,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-24,23.35,23.35,22.85,23.01,22.8386,57927,37,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-23,23.2,23.49,23.11,23.27,23.0967,81104,38,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-22,23.42,23.63,22.975,23.2,23.0272,65956,39,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-19,24.13,24.13,23.35,23.42,23.2455,61607,42,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-18,23.83,23.89,23.27,23.7,23.5235,49264,43,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-17,23.76,24.05,23.6,23.9,23.722,71813,44,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-16,24.07,24.185,23.61,23.66,23.4838,45866,45,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-15,24.51,24.525,24.13,24.23,24.0495,62100,46,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-12,24.47,24.7399,24.335,24.53,24.3473,63015,49,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-11,24.21,24.6899,23.69,24.4,24.2182,85193,50,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-10,24.75,24.82,23.945,24.5,24.3175,82226,51,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-09,26.03,27.23,24.2546,24.65,24.4664,95827,52,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-08,27.54,27.57,27.1082,27.41,27.2058,50286,53,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-05,27.41,27.72,27.09,27.43,27.2257,67816,56,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-04,26.99,27.14,26.25,27.0,26.7989,67413,57,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-03,26.98,27.56,26.9701,27.26,27.0569,65723,58,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-02,26.93,27.12,26.37,26.92,26.7195,63693,59,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-05-01,26.89,27.465,26.89,27.01,26.8088,52164,60,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-28,26.91,27.21,26.75,26.9,26.6996,52194,63,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-27,26.45,26.95,26.25,26.94,26.7393,37022,64,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-26,26.84,26.93,26.19,26.52,26.3225,44565,65,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-25,26.76,27.05,26.485,26.97,26.7691,40664,66,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-24,27.18,27.34,26.8368,26.9,26.6996,36427,67,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-21,27.3,27.58,26.66,27.16,26.9577,54922,70,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-20,27.18,27.615,27.18,27.45,27.2455,49420,71,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-19,27.35,27.58,27.165,27.32,27.1165,41052,72,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-18,27.65,27.65,27.01,27.36,27.1562,55565,73,USD,0.08,0.56,-0.48,-85.7143,25500100
2023-04-17,27.22,27.76,27.095,27.45,27.2455,57553,74,USD,0.08,0.56,-0.48,-85.7143,25500100
