date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,22.8,23.44,22.8,23.39,23.2746,23950,28,USD,0.96,0.91,0.05,5.4945,10686000
2023-06-01,22.93,22.955,22.75,22.76,22.6477,20167,29,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-31,22.7,22.9,22.64,22.75,22.6378,13478,30,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-30,22.87,22.9,22.615,22.76,22.6477,24712,31,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-26,22.7,22.85,22.6,22.71,22.598,18044,35,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-25,22.87,22.87,22.5019,22.75,22.6378,21220,36,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-24,22.53,22.89,22.53,22.7,22.588,11030,37,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-23,22.39,22.77,22.33,22.7,22.588,16304,38,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-22,22.12,22.32,21.94,22.25,22.1403,9703,39,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-19,22.27,22.27,21.9,22.0,21.8915,11385,42,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-18,21.83,22.15,21.83,22.13,22.0209,14262,43,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-17,21.47,21.99,21.3965,21.99,21.8815,20109,44,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-16,21.62,21.7,21.3,21.3,21.1949,10678,45,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-15,21.28,21.61,21.28,21.55,21.4437,26458,46,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-12,21.34,21.35,21.0,21.22,21.1153,13666,49,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-11,21.5,21.74,21.09,21.19,21.0855,12072,50,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-10,21.52,21.72,21.1401,21.5,21.394,19578,51,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-09,21.53,21.7775,21.12,21.4,21.2945,26216,52,USD,0.96,0.91,0.05,5.4945,10686000
2023-05-08,21.58,22.12,20.7001,21.615,21.5084,42767,53,USD,0.96,0.91,0.05,5.4945,10686000
