date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,3.97,4.03,3.88,4.0,4.0,123100,0,USD,0.27,0.04,0.23,575,10919400
2023-03-30,3.85,4.0,3.85,4.0,4.0,6100,1,USD,0.13,-0.01,0.14,1400,10873600
2023-03-29,3.9,3.97,3.8473,3.86,3.86,19900,2,USD,0.13,-0.01,0.14,1400,10873600
2023-03-28,3.7,3.92,3.7,3.8,3.8,24400,3,USD,0.13,-0.01,0.14,1400,10873600
2023-03-27,3.8,3.81,3.79,3.8,3.8,1000,4,USD,0.13,-0.01,0.14,1400,10873600
2023-03-24,3.73,3.84,3.73,3.79,3.79,26200,7,USD,0.13,-0.01,0.14,1400,10873600
2023-03-23,3.8,3.845,3.71,3.71,3.71,12300,8,USD,0.13,-0.01,0.14,1400,10873600
2023-03-22,3.8178,3.8899,3.8,3.82,3.82,11400,9,USD,0.13,-0.01,0.14,1400,10873600
2023-03-21,3.96,3.96,3.85,3.85,3.85,11400,10,USD,0.13,-0.01,0.14,1400,10873600
2023-03-20,3.87,3.97,3.785,3.8,3.8,19500,11,USD,0.13,-0.01,0.14,1400,10873600
2023-03-17,4.09,4.1301,3.86,3.86,3.86,36200,14,USD,0.13,-0.01,0.14,1400,10873600
2023-03-16,3.96,4.1,3.96,4.1,4.1,6000,15,USD,0.13,-0.01,0.14,1400,10873600
2023-03-15,4.08,4.1299,3.91,3.97,3.97,21900,16,USD,0.13,-0.01,0.14,1400,10873600
2023-03-14,4.03,4.16,3.995,4.02,4.02,18300,17,USD,0.13,-0.01,0.14,1400,10873600
2023-03-13,4.0,4.1999,4.0,4.03,4.03,18200,18,USD,0.13,-0.01,0.14,1400,10873600
2023-03-10,4.15,4.2299,4.12,4.16,4.16,10300,21,USD,0.13,-0.01,0.14,1400,10873600
2023-03-09,4.2081,4.268,4.15,4.15,4.15,9100,22,USD,0.13,-0.01,0.14,1400,10873600
2023-03-08,4.29,4.3199,4.1858,4.31,4.31,3200,23,USD,0.13,-0.01,0.14,1400,10873600
2023-03-07,4.27,4.37,4.22,4.22,4.22,11300,24,USD,0.13,-0.01,0.14,1400,10873600
2023-03-06,4.28,4.36,4.23,4.32,4.32,6500,25,USD,0.13,-0.01,0.14,1400,10873600
2023-03-03,4.27,4.27,4.07,4.25,4.25,58800,28,USD,0.13,-0.01,0.14,1400,10873600
2023-03-02,4.37,4.37,4.3,4.3,4.3,14300,29,USD,0.13,-0.01,0.14,1400,10873600
2023-03-01,4.44,4.58,4.31,4.41,4.41,20700,30,USD,0.13,-0.01,0.14,1400,10873600
2023-02-28,4.42,4.51,4.38,4.41,4.41,18800,31,USD,0.13,-0.01,0.14,1400,10873600
2023-02-27,4.4,4.44,4.2601,4.42,4.42,30000,32,USD,0.13,-0.01,0.14,1400,10873600
2023-02-24,4.4538,4.4884,4.15,4.33,4.33,180300,35,USD,0.13,-0.01,0.14,1400,10873600
2023-02-23,4.45,4.53,4.45,4.46,4.46,14200,36,USD,0.13,-0.01,0.14,1400,10873600
2023-02-22,4.57,4.68,4.42,4.42,4.42,10800,37,USD,0.13,-0.01,0.14,1400,10873600
2023-02-21,4.6,4.7,4.4919,4.6,4.6,20800,38,USD,0.13,-0.01,0.14,1400,10873600
2023-02-17,4.54,4.6899,4.43,4.6899,4.6899,28800,42,USD,0.13,-0.01,0.14,1400,10873600
2023-02-16,4.54,4.6,4.47,4.59,4.59,45000,43,USD,0.13,-0.01,0.14,1400,10873600
2023-02-15,4.6101,4.6863,4.57,4.6,4.6,31000,44,USD,0.13,-0.01,0.14,1400,10873600
2023-02-14,4.6652,4.71,4.6,4.69,4.69,17800,45,USD,0.13,-0.01,0.14,1400,10873600
2023-02-13,4.7,4.74,4.69,4.7,4.7,7200,46,USD,0.13,-0.01,0.14,1400,10873600
2023-02-10,4.8,4.8,4.71,4.74,4.74,6900,49,USD,0.13,-0.01,0.14,1400,10873600
2023-02-09,4.72,4.79,4.7187,4.79,4.79,6300,50,USD,0.13,-0.01,0.14,1400,10873600
2023-02-08,4.77,4.77,4.71,4.7599,4.7599,15800,51,USD,0.13,-0.01,0.14,1400,10873600
2023-02-07,4.79,4.85,4.72,4.8,4.8,13600,52,USD,0.13,-0.01,0.14,1400,10873600
2023-02-06,4.79,4.8299,4.71,4.78,4.78,5400,53,USD,0.13,-0.01,0.14,1400,10873600
2023-02-03,4.73,4.86,4.72,4.72,4.72,10900,56,USD,0.13,-0.01,0.14,1400,10873600
2023-02-02,4.8464,4.87,4.73,4.8,4.8,9400,57,USD,0.13,-0.01,0.14,1400,10873600
2023-02-01,4.75,4.87,4.75,4.77,4.77,5500,58,USD,0.13,-0.01,0.14,1400,10873600
2023-01-31,4.79,4.83,4.75,4.76,4.76,12500,59,USD,0.13,-0.01,0.14,1400,10873600
2023-01-30,4.71,4.84,4.7,4.76,4.76,11700,60,USD,0.13,-0.01,0.14,1400,10873600
2023-01-27,4.84,4.85,4.8,4.8,4.8,10700,63,USD,0.13,-0.01,0.14,1400,10873600
2023-01-26,4.85,4.85,4.83,4.83,4.83,3400,64,USD,0.13,-0.01,0.14,1400,10873600
2023-01-25,4.83,4.905,4.76,4.8627,4.8627,12700,65,USD,0.13,-0.01,0.14,1400,10873600
2023-01-24,4.8,4.9977,4.8,4.9101,4.9101,7700,66,USD,0.13,-0.01,0.14,1400,10873600
2023-01-23,5.05,5.05,4.8295,4.83,4.83,15900,67,USD,0.13,-0.01,0.14,1400,10873600
2023-01-20,4.96,5.09,4.96,5.07,5.07,2600,70,USD,0.13,-0.01,0.14,1400,10873600
2023-01-19,5.0001,5.08,4.94,4.95,4.95,8400,71,USD,0.13,-0.01,0.14,1400,10873600
2023-01-18,5.02,5.13,4.97,5.13,5.13,6600,72,USD,0.13,-0.01,0.14,1400,10873600
2023-01-17,5.06,5.06,4.95,4.95,4.95,16500,73,USD,0.13,-0.01,0.14,1400,10873600
