date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,11.57,11.76,11.56,11.74,11.398,45831,28,USD,0.46,0.43,0.03,6.9767,23243100
2023-06-01,11.52,11.6299,11.47,11.55,11.2135,37736,29,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-31,11.52,11.61,11.42,11.56,11.2232,37177,30,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-30,11.54,11.67,11.45,11.5,11.165,58497,31,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-26,11.66,11.66,11.38,11.57,11.2329,42873,35,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-25,11.53,11.72,11.38,11.62,11.2815,58263,36,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-24,11.59,11.74,11.3,11.52,11.1844,75237,37,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-23,11.75,11.88,11.5,11.65,11.3106,68650,38,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-22,11.66,11.91,11.5613,11.84,11.4951,65621,39,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-19,11.62,11.91,11.5803,11.66,11.3203,43177,42,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-18,11.72,11.8724,11.6,11.63,11.2912,24009,43,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-17,11.65,11.75,11.52,11.67,11.33,43401,44,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-16,11.91,11.91,11.5,11.63,11.2912,69076,45,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-15,11.79,12.02,11.79,11.85,11.5048,30389,46,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-12,11.86,11.96,11.75,11.82,11.4756,26709,49,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-11,11.68,11.9,11.53,11.8,11.4562,38864,50,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-10,11.53,11.9,11.44,11.78,11.4368,57331,51,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-09,11.29,11.63,11.29,11.53,11.1941,82086,52,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-08,11.54,11.6355,11.14,11.2,10.8737,60521,53,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-05,11.15,11.68,11.15,11.45,11.1164,52338,56,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-04,11.65,11.79,11.13,11.35,11.0193,35992,57,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-03,11.6,11.8,11.55,11.685,11.3446,28868,58,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-02,11.92,11.9661,11.5501,11.6,11.262,52690,59,USD,0.46,0.43,0.03,6.9767,23243100
2023-05-01,12.06,12.09,11.83,12.0,11.6504,23056,60,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-28,11.66,12.09,11.64,12.02,11.6698,37351,63,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-27,11.93,12.02,11.2,11.67,11.33,190310,64,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-26,12.14,12.255,11.855,11.87,11.5242,62883,65,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-25,12.4,12.4,12.13,12.18,11.8251,45642,66,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-24,12.3,12.485,12.3,12.38,12.0193,12708,67,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-21,12.42,12.45,12.25,12.34,11.9805,47351,70,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-20,12.38,12.5372,12.36,12.41,12.0484,24021,71,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-19,12.36,12.57,12.36,12.4,12.0387,26539,72,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-18,12.57,12.595,12.36,12.39,12.029,79342,73,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-17,12.66,12.69,12.5,12.69,12.3203,41326,74,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-14,12.66,12.8,12.58,12.71,12.3397,29817,77,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-13,12.56,12.69,12.53,12.66,12.2912,27052,78,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-12,12.44,12.6799,12.44,12.56,12.1941,40282,79,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-11,12.43,12.56,12.4,12.51,12.1455,60639,80,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-10,12.5,12.5687,12.41,12.42,12.0582,23093,81,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-06,12.59,12.6,12.4301,12.44,12.0776,22032,85,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-05,12.54,12.58,12.36,12.55,12.1844,86102,86,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-04,12.63,12.64,12.44,12.54,12.1747,74152,87,USD,0.46,0.43,0.03,6.9767,23243100
2023-04-03,12.43,12.61,12.3602,12.55,12.1844,56445,88,USD,0.46,0.43,0.03,6.9767,23243100
2023-03-31,12.49,12.68,12.4304,12.52,12.1552,58638,91,USD,0.46,0.43,0.03,6.9767,23243100
2023-03-30,12.61,12.61,12.232,12.37,12.0096,77873,92,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-29,12.46,12.7,12.42,12.68,12.3106,45259,93,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-28,12.76,12.9,12.4,12.46,12.097,51348,94,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-27,12.79,12.88,12.655,12.71,12.3397,39463,95,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-24,12.14,12.75,12.14,12.62,12.2523,38690,98,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-23,12.32,12.58,12.23,12.24,11.8834,49325,99,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-22,12.73,13.0,12.6941,12.71,11.9271,90879,100,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-21,12.75,12.9684,12.75,12.8,12.0115,34698,101,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-20,12.66,12.88,12.555,12.57,11.7957,52019,102,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-17,12.81,12.9,12.5,12.55,11.7769,102301,105,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-16,12.66,12.8999,12.5001,12.81,12.0209,57925,106,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-15,12.72,12.88,12.56,12.79,12.0022,57721,107,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-14,12.85,13.19,12.85,12.89,12.096,121653,108,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-13,12.72,13.0,12.5,12.71,11.9271,64646,109,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-10,13.25,13.4344,12.85,12.9,12.1054,89174,112,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-09,13.21,13.43,13.1566,13.26,12.4432,49870,113,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-08,13.28,13.2999,13.0665,13.17,12.3588,27965,114,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-07,13.1,13.46,13.0,13.25,12.4338,39242,115,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-06,13.16,13.3,12.99,13.02,12.218,253894,116,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-03,13.3,13.59,13.18,13.5,12.6684,67441,119,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-02,13.05,13.3,13.04,13.08,12.2743,44083,120,USD,0.48,0.43,0.05,11.6279,23229600
2023-03-01,13.44,13.5099,13.08,13.2,12.3869,43203,121,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-28,13.16,13.42,13.0808,13.41,12.584,35895,122,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-27,13.28,13.44,13.0668,13.08,12.2743,39025,123,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-24,13.16,13.3376,13.05,13.27,12.4526,12537,126,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-23,13.14,13.3315,13.04,13.16,12.3494,24020,127,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-22,13.46,13.59,13.0501,13.06,12.2555,47696,128,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-21,13.44,13.5472,13.2,13.48,12.6497,33712,129,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-17,13.47,13.57,13.28,13.43,12.6027,32039,133,USD,0.48,0.43,0.05,11.6279,23229600
2023-02-16,13.39,13.58,13.33,13.47,12.6403,38699,134,USD,0.48,0.43,0.05,11.6279,23229600
