date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,24.14,24.455,23.965,24.34,24.34,2758432,28,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-06-01,24.53,24.86,24.08,24.39,24.39,2209113,29,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-31,24.21,24.48,23.62,24.45,24.45,2234366,30,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-30,25.02,25.02,24.03,24.27,24.27,2994734,31,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-26,25.21,25.27,24.64,24.96,24.96,2330142,35,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-25,25.37,25.52,25.0,25.21,25.21,1547401,36,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-24,25.81,26.08,25.26,25.39,25.39,2317336,37,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-23,26.02,26.35,25.64,26.0,26.0,1744688,38,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-22,25.63,26.37,25.37,26.25,26.25,1751304,39,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-19,26.1,26.12,25.51,25.62,25.46,1686079,42,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-18,26.17,26.4,25.77,26.07,25.9072,1399120,43,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-17,25.6,26.44,25.6,26.18,26.0165,1128139,44,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-16,26.23,26.26,25.43,25.5,25.3407,2378701,45,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-15,25.17,26.66,25.115,26.34,26.1755,1920452,46,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-12,25.78,25.93,24.84,25.29,25.1321,2660802,49,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-11,26.04,26.27,25.61,25.85,25.6886,2242697,50,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-10,26.0,26.62,25.43,26.22,26.0563,6896039,51,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-09,28.5,28.67,25.01,25.76,25.5991,5521281,52,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-08,27.63,28.66,27.63,28.49,28.3121,2541648,53,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-05,26.84,27.58,26.73,27.56,27.3879,1817346,56,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-04,27.73,27.87,26.571,26.63,26.4637,2107441,57,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-03,29.33,29.79,27.905,27.925,27.7506,2396560,58,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-02,30.98,31.0,29.225,29.39,29.2065,2123052,59,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-05-01,30.47,31.07,30.47,31.07,30.876,1430059,60,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-28,30.45,30.69,30.13,30.47,30.2797,1784565,63,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-27,30.57,30.645,29.945,30.4,30.2101,1158462,64,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-26,31.14,31.56,30.49,30.7,30.5083,1401068,65,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-25,31.26,31.64,30.75,30.98,30.7865,1921185,66,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-24,31.06,31.91,30.89,31.35,31.1542,1447383,67,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-21,31.37,31.41,30.87,31.13,30.9356,722101,70,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-20,30.64,31.41,30.53,31.25,31.0548,1232186,71,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-19,30.59,30.995,30.45,30.75,30.558,1551481,72,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-18,31.32,31.49,30.69,30.72,30.5281,944583,73,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-17,31.35,31.35,30.8595,31.07,30.876,1046809,74,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-14,31.61,31.8,31.0,31.36,31.1642,692977,77,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-13,31.87,32.56,31.73,31.84,31.6412,1388975,78,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-12,32.25,32.31,31.55,31.66,31.4623,779978,79,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-11,32.33,33.01,31.955,31.98,31.7803,785934,80,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
2023-04-10,31.34,32.34,31.17,32.12,31.9194,950177,81,USD,0.06,0.18,-0.12,-66.6667,515907000.00000006
